#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %     MB     MB     MB 
 20260707    02:40:49       0      0      0      0      0      0      0     92     13      0 
 20260707    02:40:50       0      0      0      0      0      0      0     92     13      0 
 20260707    02:40:51       0      0      0      0      0      0      0     92     13      0 
 20260707    02:40:52       0      0      0      0      0      0      0     92     13      0 
 20260707    02:40:53       0      0      0      0      0      0      0     92     13      0 
 20260707    02:40:54       0      0      0      0      0      0      0     92     13      0 
 20260707    02:40:55       0      0      0      0      0      0      0     92     13      0 
 20260707    02:40:56       0      0      0      0      0      0      0     92     13      0 
 20260707    02:40:57       0      0      0      0      0      0      0     92     13      0 
 20260707    02:40:58       0      0      0      0      0      0      0     92     13      0 
 20260707    02:40:59       0      0      0      0      0      0      0     92     13      0 
 20260707    02:41:00       0      0      0      0      0      0      0     92     13      0 
 20260707    02:41:01       0      0      0      0      0      0      0     92     13      0 
 20260707    02:41:02       0      0      0      0      0      0      0     92     13      0 
 20260707    02:41:03       0      0      0      0      0      0      0     92     13      0 
 20260707    02:41:04       0      0      0      0      0      0      0     92     13      0 
 20260707    02:41:05       0      0      0      0      0      0      0     92     13      0 
 20260707    02:41:06       0      0      0      0      0      0      0     92     13      0 
 20260707    02:41:07       0      0      0      0      0      0      0     92     13      0 
 20260707    02:41:08       0      0      0      0      0      0      0     92     13      0 
 20260707    02:41:09       0      0      0      0      0      0      0     92     13      0 
 20260707    02:41:10       0      0      0      0      0      0      0     92     13      0 
 20260707    02:41:11       0      0      0      0      0      0      0    685     15      0 
 20260707    02:41:12       0      0      0      0      0      0      0   1969     15      0 
 20260707    02:41:13       0      0      0      0      0      0      0   2097     15      0 
 20260707    02:41:14       0     57     34      0      0      0      0   3849     15      0 
 20260707    02:41:15       0     32     19      0      0      0      0   4381     15      0 
 20260707    02:41:16       0      0      0      0      0      0      0   5153     15      0 
 20260707    02:41:17       0     30     18      0      0      0      0   5153     15      0 
 20260707    02:41:18       0      0      0      0      0      0      0   5153     15      0 
 20260707    02:41:19       0      0      0      0      0      0      0   5153     15      0 
 20260707    02:41:20       0      0      0      0      0      0      0   5155     15      0 
 20260707    02:41:21       0      0      0      0      0      0      0   5155     15      0 
 20260707    02:41:22       0     19     11      0      0      0      0   5155     15      0 
 20260707    02:41:23       0     15     10      0      0      0      0   5155     15      0 
 20260707    02:41:24       0      0      0      0      0      0      0   5153     15      0 
 20260707    02:41:25       0     48     33      0      0      0      0   5153     15      0 
 20260707    02:41:26       0      0      0      0      0      0      0   5153     15      0 
 20260707    02:41:27       0      0      0      0      0      0      0   5153     15      0 
 20260707    02:41:28       0     92     60      0      0      0      0   5155     15      0 
 20260707    02:41:29       0      0      0      0      0      0      0   5153     15      0 
 20260707    02:41:30       0     95     63      0      0      0      0   5153     15      0 
 20260707    02:41:31       0      0      0      0      0      0      0   5153     15      0 
 20260707    02:41:32       0      5      4      0      0      0      0   5155     15      0 
#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %     MB     MB     MB 
 20260707    02:41:33       0     52     29      0      0      0      0   5155     15      0 
 20260707    02:41:34       0      0      0      0      0      0      0   5153     15      0 
 20260707    02:41:35       0     96     66      0      0      0      0   5155     15      0 
 20260707    02:41:36       0      0      0      0      0      0      0   5155     15      0 
 20260707    02:41:37       0      0      0      0      0      0      0   5155     15      0 
 20260707    02:41:38       0      0      0      0      0      0      0   5153     15      0 
 20260707    02:41:39       0     94     64      0      0      0      0   5155     15      0 
 20260707    02:41:40       0      0      0      0      0      0      0   5153     15      0 
 20260707    02:41:41       0     99     68      0      0      0      0   5155     15      0 
 20260707    02:41:42       0      0      0      0      0      0      0   5155     15      0 
 20260707    02:41:43       0     37     15      0      0      0      0   5155     15      0 
 20260707    02:41:44       0      0      0      0      0      0      0   5153     15      0 
 20260707    02:41:45       0     48     31      0      0      0      0   5155     15      0 
 20260707    02:41:46       0      0      0      0      0      0      0   5155     15      0 
 20260707    02:41:47       0      0      0      0      0      0      0   5153     15      0 
 20260707    02:41:48       0     91     60      0      0      0      0   5155     15      0 
 20260707    02:41:49       0      0      0      0      0      0      0   5153     15      0 
 20260707    02:41:50       0     95     63      0      0      0      0   5157     15      0 
 20260707    02:41:51       0      0      0      0      0      0      0   5155     15      0 
 20260707    02:41:52       0     49     29      0      0      0      0   5155     15      0 
