t_s,rss_gb,cuda_alloc_gb,cuda_reserved_gb
0.0,0.649,0.0,0.0
0.54,0.783,0.0,0.0
1.05,0.784,0.0,0.0
1.56,0.784,0.0,0.0
2.07,0.816,0.0,0.0
2.57,0.816,0.0,0.0
3.08,0.817,0.0,0.0
3.58,0.908,0.0,0.0
4.09,0.913,0.0,0.0
4.59,0.929,0.0,0.0
5.1,0.959,0.0,0.0
5.6,0.95,0.0,0.0
6.11,0.974,0.0,0.0
6.61,0.965,0.0,0.0
7.13,0.965,0.0,0.0
7.63,0.955,0.0,0.0
8.15,0.995,0.0,0.0
8.65,1.017,0.0,0.0
9.16,0.99,0.0,0.0
9.67,1.006,0.0,0.0
10.17,1.024,0.0,0.0
10.68,1.038,0.0,0.0
11.18,1.022,0.0,0.0
11.69,1.023,0.0,0.0
12.19,1.008,0.0,0.0
12.7,1.016,0.0,0.0
13.21,1.027,0.0,0.0
13.71,1.028,0.0,0.0
14.22,1.049,0.0,0.0
14.73,1.017,0.0,0.0
15.24,1.024,0.0,0.0
15.74,1.032,0.0,0.0
16.25,1.02,0.0,0.0
16.75,1.053,0.0,0.0
17.26,1.057,0.0,0.0
17.77,1.059,0.0,0.0
18.28,1.039,0.0,0.0
18.78,1.039,0.0,0.0
19.29,1.044,0.0,0.0
19.79,1.057,0.0,0.0
20.31,1.044,0.0,0.0
20.83,1.106,0.0,0.0
21.42,1.186,0.0,0.0
21.93,1.437,0.084,0.094
22.49,2.424,0.084,0.094
23.0,1.798,0.694,1.355
23.51,2.684,0.694,1.355
24.02,1.939,1.451,1.627
24.53,2.082,1.407,1.476
25.04,2.142,1.304,1.739
25.54,2.696,1.771,2.466
26.05,2.988,2.126,3.859
26.56,3.019,1.314,3.859
27.07,2.946,1.314,3.058
27.58,2.982,1.314,4.668
28.09,3.057,1.353,4.668
28.6,3.044,1.314,4.668
29.93,3.044,1.314,3.058
30.44,3.003,1.314,4.668
30.95,3.003,1.314,4.67
31.48,3.047,1.314,4.67
32.52,3.046,2.126,4.668
33.04,3.004,2.126,4.67
33.55,3.004,1.314,4.67
