t_s,rss_gb,cuda_alloc_gb,cuda_reserved_gb
0.0,0.649,0.0,0.0
0.54,0.725,0.0,0.0
1.04,0.815,0.0,0.0
1.55,0.85,0.0,0.0
2.06,0.868,0.0,0.0
2.56,0.866,0.0,0.0
3.07,0.882,0.0,0.0
3.58,0.895,0.0,0.0
4.08,0.903,0.0,0.0
4.59,0.91,0.0,0.0
5.1,0.913,0.0,0.0
5.6,0.901,0.0,0.0
6.27,1.074,0.0,0.0
6.84,1.315,0.084,0.094
7.49,2.312,0.084,0.094
8.0,1.633,0.694,1.355
8.51,2.571,0.694,1.355
9.03,1.827,1.43,1.627
9.54,1.963,1.393,1.476
10.05,2.008,1.304,1.739
10.56,2.584,1.771,2.466
11.07,2.879,2.126,3.362
11.58,2.846,1.314,3.899
12.09,2.835,1.314,3.899
12.64,2.881,2.126,4.668
13.15,2.858,1.314,4.668
13.66,2.85,1.314,4.67
14.17,2.848,1.314,4.67
15.4,2.856,1.314,3.058
15.91,2.864,1.314,4.668
16.42,2.822,1.314,4.67
16.93,2.854,1.314,4.67
17.78,2.889,2.126,4.668
18.29,2.87,1.314,4.67
18.8,2.896,1.314,4.67
19.39,2.85,1.314,1.407
19.9,2.87,1.314,4.67
20.41,2.881,1.314,4.67
20.92,2.849,1.314,4.67
21.55,2.888,2.126,4.668
22.06,2.865,1.314,4.668
22.57,2.865,1.314,4.67
23.11,2.849,1.314,4.67
24.09,2.848,1.314,3.058
24.59,2.87,1.314,4.668
25.1,2.861,1.318,4.668
25.62,2.849,1.314,4.668
26.96,2.849,1.427,1.558
27.47,2.869,1.314,4.668
27.98,2.861,1.335,4.67
28.5,2.849,1.314,4.67
29.62,2.888,2.126,4.668
30.13,2.901,2.126,4.67
30.64,2.901,1.314,4.67
31.16,2.849,1.314,4.67
31.92,2.888,2.126,4.668
32.43,2.865,1.314,4.668
32.94,2.892,1.314,4.67
33.46,2.849,1.314,4.67
34.44,2.861,1.314,3.058
34.95,2.869,1.314,4.67
35.46,2.861,1.314,4.67
35.97,2.849,1.314,4.67
36.68,2.888,2.126,4.668
37.19,2.865,1.314,4.668
37.7,2.902,1.314,4.668
38.21,2.85,1.314,4.668
39.43,2.849,1.407,2.062
39.95,2.877,1.314,4.67
40.46,2.861,1.375,4.67
41.02,2.854,1.314,4.67
41.96,2.861,1.314,3.058
42.48,2.87,1.314,4.672
42.99,2.901,1.314,4.672
43.5,2.853,1.314,4.672
44.01,2.846,1.322,4.668
44.53,2.861,1.355,4.67
45.04,2.888,2.126,4.668
45.55,2.901,2.126,4.672
46.06,2.853,1.314,4.672
46.68,2.914,1.771,4.668
47.19,2.926,1.771,4.672
47.7,2.853,1.314,4.672
48.21,2.914,1.346,4.668
48.72,2.926,1.771,4.675
49.23,2.854,1.314,4.675
49.83,2.888,1.771,4.668
50.34,2.901,2.126,4.67
50.86,2.854,1.314,4.67
51.91,2.888,2.126,4.668
52.42,2.901,2.126,4.67
52.93,2.853,1.314,4.67
53.48,2.914,2.092,4.668
54.0,2.926,1.771,4.672
54.52,2.849,1.314,1.407
55.04,2.859,1.388,4.668
55.55,2.944,1.314,4.668
56.06,2.854,1.314,4.67
57.52,2.853,1.314,1.407
58.03,2.859,1.356,4.668
58.54,2.959,1.314,4.668
59.08,2.85,1.314,4.67
60.35,2.849,1.343,3.058
60.86,2.87,1.314,4.672
61.37,2.824,1.314,4.672
61.88,2.853,1.314,4.672
62.38,2.888,2.126,4.668
62.9,2.901,2.126,4.672
63.41,2.854,1.314,4.672
64.01,2.888,2.126,4.668
64.52,2.901,2.126,4.675
65.03,2.853,1.314,4.675
65.99,2.888,2.126,4.668
66.5,2.901,2.126,4.675
67.01,2.937,1.314,4.675
67.52,2.854,1.314,4.675
68.04,2.888,2.126,4.668
68.55,2.901,2.126,4.672
69.06,2.854,1.314,4.672
69.61,2.914,1.771,4.668
70.11,2.926,1.771,4.672
70.62,2.854,1.314,4.672
71.17,2.914,1.771,4.668
71.67,2.926,1.771,4.67
72.18,2.853,1.314,4.67
72.69,2.914,1.771,4.668
73.2,2.926,1.771,4.672
73.78,2.853,1.314,1.407
74.3,2.87,1.314,4.672
74.81,2.878,1.314,4.672
75.38,2.849,1.327,1.407
75.9,2.87,1.314,4.67
76.41,2.861,1.333,4.67
76.92,2.854,1.314,4.67
77.65,2.888,2.126,4.668
78.16,2.824,1.314,4.668
78.67,2.884,1.314,4.67
79.21,2.85,1.314,4.67
80.38,2.849,1.478,1.609
80.9,2.87,1.314,4.67
81.41,2.861,1.341,4.67
81.93,2.854,1.314,4.67
82.52,2.889,1.387,4.668
83.03,2.901,2.126,4.672
83.55,2.854,1.314,4.672
84.4,2.889,2.126,4.668
84.91,2.901,2.126,4.672
85.43,2.854,1.314,4.672
86.05,2.889,2.193,4.668
86.55,2.901,2.126,4.672
87.06,2.854,1.314,4.672
87.67,2.914,1.771,4.668
88.18,2.915,1.771,4.672
88.69,2.854,1.314,4.672
89.27,2.889,2.126,4.668
89.78,2.901,2.126,4.672
90.29,2.854,1.314,4.672
90.82,2.914,1.771,4.668
91.33,2.901,1.318,4.672
91.84,2.854,1.314,4.672
92.42,2.914,1.771,4.668
92.93,2.926,1.771,4.672
93.44,2.854,1.314,4.672
94.08,2.889,2.126,4.668
94.59,2.901,2.126,4.672
95.09,2.85,1.314,4.672
95.6,2.914,1.771,4.668
96.11,2.901,2.126,4.668
96.62,2.921,1.314,4.67
97.14,2.853,1.314,4.67
97.64,2.861,1.314,3.058
98.15,2.87,1.314,4.672
98.66,2.86,1.314,4.672
99.17,2.882,2.126,4.668
99.68,2.824,1.314,4.668
100.19,2.872,1.314,4.67
100.71,2.854,1.314,4.67
101.72,2.853,1.314,1.407
102.24,2.871,1.314,4.668
102.75,2.857,1.329,4.67
103.27,2.854,1.314,4.67
104.31,2.853,1.343,3.058
104.81,2.859,1.349,4.668
105.32,2.96,1.314,4.668
105.84,2.854,1.314,4.67
106.77,2.853,1.343,3.058
107.28,2.87,1.314,4.668
107.79,2.862,1.323,4.67
108.31,2.854,1.314,4.67
109.15,2.86,1.314,3.058
109.66,2.87,1.314,4.67
110.17,2.882,1.314,4.67
110.67,2.853,1.314,4.67
111.18,2.889,2.126,4.668
