         7879246 function calls (7616063 primitive calls) in 54.932 seconds

   Ordered by: cumulative time
   List reduced from 12274 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001   54.942   54.942 /data/taro_Projects/tsgh/backend/algorithms/hybrid/hybrid_pipeline.py:575(run_batch)
   418/31    0.010    0.000   52.659    1.699 /data/taro_Projects/tsgh/scripts/perf_measure.py:73(shim)
       25    0.009    0.000   48.101    1.924 /data/taro_Projects/tsgh/backend/algorithms/hybrid/hybrid_pipeline.py:203(process_precut_tile)
       25    0.001    0.000   42.620    1.705 /data/taro_Projects/tsgh/backend/algorithms/hybrid/hybrid_pipeline.py:413(_process_one_chunk)
       24    0.001    0.000   27.551    1.148 /data/taro_Projects/tsgh/backend/algorithms/hybrid/hybrid_pipeline.py:514(_run_m3_analysis_stage)
       48    0.038    0.001   23.323    0.486 /data/taro_Projects/tsgh/backend/algorithms/hybrid/m2_segmentation.py:94(segment_windowed)
       48    0.001    0.000   23.153    0.482 /data/taro_Projects/tsgh/backend/algorithms/hybrid/m2_segmentation.py:71(predict)
       48    0.125    0.003   23.140    0.482 /data/taro_Projects/tsgh/.venv/lib/python3.11/site-packages/cellpose/models.py:156(eval)
       24    0.029    0.001   14.891    0.620 /data/taro_Projects/tsgh/backend/algorithms/hybrid/m3_module/m3_dot_detection.py:97(detect_all_dots)
       48    0.003    0.000   14.649    0.305 /data/taro_Projects/tsgh/.venv/lib/python3.11/site-packages/cellpose/models.py:371(_run_net)
       48    0.646    0.013   14.646    0.305 /data/taro_Projects/tsgh/.venv/lib/python3.11/site-packages/cellpose/core.py:165(run_net)
43529/121    0.020    0.000   13.495    0.112 /data/taro_Projects/tsgh/.venv/lib/python3.11/site-packages/torch/nn/modules/module.py:1772(_wrapped_call_impl)
43529/121    0.042    0.000   13.495    0.112 /data/taro_Projects/tsgh/.venv/lib/python3.11/site-packages/torch/nn/modules/module.py:1780(_call_impl)
       96    0.003    0.000   12.645    0.132 /data/taro_Projects/tsgh/.venv/lib/python3.11/site-packages/cellpose/core.py:145(_forward)
       24    0.000    0.000   12.051    0.502 /data/taro_Projects/tsgh/backend/algorithms/hybrid/m2_segmentation.py:248(segment_masked_dish)
       96    0.006    0.000   11.906    0.124 /data/taro_Projects/tsgh/.venv/lib/python3.11/site-packages/cellpose/vit_sam.py:56(forward)
       24    0.001    0.000   11.743    0.489 /data/taro_Projects/tsgh/.venv/lib/python3.11/site-packages/joblib/parallel.py:1969(__call__)
      749    0.002    0.000   11.739    0.016 /data/taro_Projects/tsgh/.venv/lib/python3.11/site-packages/joblib/parallel.py:1670(_get_outputs)
     2304    0.031    0.000   11.667    0.005 /data/taro_Projects/tsgh/.venv/lib/python3.11/site-packages/segment_anything/modeling/image_encoder.py:166(forward)
      532    0.013    0.000   11.547    0.022 /data/taro_Projects/tsgh/.venv/lib/python3.11/site-packages/joblib/parallel.py:1776(_retrieve)
      739   11.528    0.016   11.528    0.016 {built-in method time.sleep}
     2304    0.093    0.000   11.460    0.005 /data/taro_Projects/tsgh/.venv/lib/python3.11/site-packages/segment_anything/modeling/image_encoder.py:224(forward)
     2304    0.047    0.000   11.137    0.005 /data/taro_Projects/tsgh/.venv/lib/python3.11/site-packages/segment_anything/modeling/image_encoder.py:325(add_decomposed_rel_pos)
     4608   10.873    0.002   10.978    0.002 /data/taro_Projects/tsgh/.venv/lib/python3.11/site-packages/segment_anything/modeling/image_encoder.py:292(get_rel_pos)
       48    0.002    0.000    4.821    0.100 /data/taro_Projects/tsgh/.venv/lib/python3.11/site-packages/cellpose/models.py:413(_compute_masks)
       48    0.002    0.000    4.819    0.100 /data/taro_Projects/tsgh/.venv/lib/python3.11/site-packages/cellpose/dynamics.py:587(resize_and_compute_masks)
      200    0.001    0.000    4.667    0.023 /data/taro_Projects/tsgh/.venv/lib/python3.11/site-packages/skimage/_shared/utils.py:281(fixed_func)
  325/200    0.001    0.000    4.655    0.023 /data/taro_Projects/tsgh/.venv/lib/python3.11/site-packages/skimage/_shared/utils.py:534(wrapped)
      200    0.001    0.000    4.651    0.023 /data/taro_Projects/tsgh/.venv/lib/python3.11/site-packages/skimage/io/manage_plugins.py:211(call_plugin)
       48    0.369    0.008    4.477    0.093 /data/taro_Projects/tsgh/.venv/lib/python3.11/site-packages/cellpose/dynamics.py:624(compute_masks)
      150    0.001    0.000    4.274    0.028 /data/taro_Projects/tsgh/scripts/perf_measure.py:96(shim)
      150    0.001    0.000    4.267    0.028 /data/taro_Projects/tsgh/backend/algorithms/hybrid/hybrid_pipeline.py:338(_save_tile_array)
      150    0.001    0.000    4.259    0.028 /data/taro_Projects/tsgh/.venv/lib/python3.11/site-packages/skimage/io/_io.py:154(imsave)
       75    0.001    0.000    4.176    0.056 /data/taro_Projects/tsgh/.venv/lib/python3.11/site-packages/imageio/v3.py:104(imwrite)
      150    0.000    0.000    4.075    0.027 /data/taro_Projects/tsgh/.venv/lib/python3.11/site-packages/imageio/plugins/pillow.py:144(close)
       75    0.000    0.000    4.075    0.054 /data/taro_Projects/tsgh/.venv/lib/python3.11/site-packages/imageio/core/v3_plugin_api.py:366(__exit__)
      150    0.001    0.000    4.073    0.027 /data/taro_Projects/tsgh/.venv/lib/python3.11/site-packages/imageio/plugins/pillow.py:476(_flush_writer)
       75    0.002    0.000    4.066    0.054 /data/taro_Projects/tsgh/.venv/lib/python3.11/site-packages/PIL/Image.py:2457(save)
       75    0.001    0.000    4.063    0.054 /data/taro_Projects/tsgh/.venv/lib/python3.11/site-packages/PIL/PngImagePlugin.py:1307(_save)
       75    0.001    0.000    4.060    0.054 /data/taro_Projects/tsgh/.venv/lib/python3.11/site-packages/PIL/ImageFile.py:629(_save)


         7879246 function calls (7616063 primitive calls) in 54.932 seconds

   Ordered by: internal time
   List reduced from 12274 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      739   11.528    0.016   11.528    0.016 {built-in method time.sleep}
     4608   10.873    0.002   10.978    0.002 /data/taro_Projects/tsgh/.venv/lib/python3.11/site-packages/segment_anything/modeling/image_encoder.py:292(get_rel_pos)
      437    4.044    0.009    4.044    0.009 {method 'encode' of 'ImagingEncoder' objects}
       25    2.115    0.085    2.115    0.085 {built-in method gc.collect}
       24    1.565    0.065    1.566    0.065 /data/taro_Projects/tsgh/.venv/lib/python3.11/site-packages/skimage/color/colorconv.py:1052(xyz2lab)
     4934    1.541    0.000    1.541    0.000 {built-in method torch.conv2d}
      408    1.523    0.004    1.523    0.004 {method 'partition' of 'numpy.ndarray' objects}
      886    1.365    0.002    1.365    0.002 {method 'uniform_' of 'torch._C.TensorBase' objects}
       48    1.344    0.028    1.622    0.034 /data/taro_Projects/tsgh/.venv/lib/python3.11/site-packages/cellpose/dynamics.py:21(_extend_centers_gpu)
     7194    1.182    0.000    1.239    0.000 /data/taro_Projects/tsgh/.venv/lib/python3.11/site-packages/scipy/ndimage/_measurements.py:591(_stats)
    36495    0.797    0.000    0.797    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       48    0.793    0.017    0.821    0.017 /data/taro_Projects/tsgh/.venv/lib/python3.11/site-packages/cellpose/transforms.py:63(average_tiles)
       48    0.758    0.016    1.773    0.037 /data/taro_Projects/tsgh/.venv/lib/python3.11/site-packages/cellpose/plot.py:25(dx_to_circ)
       24    0.733    0.031    0.867    0.036 /data/taro_Projects/tsgh/.venv/lib/python3.11/site-packages/skimage/color/colorconv.py:810(rgb2xyz)
      457    0.709    0.002    0.709    0.002 {method 'cpu' of 'torch._C.TensorBase' objects}
       24    0.701    0.029    0.701    0.029 {built-in method scipy.ndimage._nd_image.euclidean_feature_transform}
       48    0.646    0.013   14.646    0.305 /data/taro_Projects/tsgh/.venv/lib/python3.11/site-packages/cellpose/core.py:165(run_net)
     3541    0.604    0.000    0.604    0.000 {method 'to' of 'torch._C.TensorBase' objects}
      309    0.445    0.001    0.445    0.001 {built-in method scipy.ndimage._nd_image.find_objects}
       50    0.411    0.008    0.416    0.008 /data/taro_Projects/tsgh/.venv/lib/python3.11/site-packages/pyvips/voperation.py:217(call)
     7177    0.402    0.000    0.402    0.000 {method 'acquire' of '_thread.lock' objects}
       48    0.369    0.008    4.477    0.093 /data/taro_Projects/tsgh/.venv/lib/python3.11/site-packages/cellpose/dynamics.py:624(compute_masks)
     9586    0.343    0.000    0.343    0.000 {method 'astype' of 'numpy.ndarray' objects}
       48    0.331    0.007    0.661    0.014 /data/taro_Projects/tsgh/.venv/lib/python3.11/site-packages/cellpose/dynamics.py:488(get_masks_torch)
       48    0.254    0.005    2.839    0.059 /data/taro_Projects/tsgh/.venv/lib/python3.11/site-packages/cellpose/dynamics.py:276(flow_error)
       48    0.248    0.005    0.340    0.007 /data/taro_Projects/tsgh/.venv/lib/python3.11/site-packages/cellpose/utils.py:619(fill_holes_and_remove_small_masks)
       48    0.231    0.005    0.237    0.005 /data/taro_Projects/tsgh/.venv/lib/python3.11/site-packages/cellpose/transforms.py:88(make_tiles)
       48    0.224    0.005    0.474    0.010 /data/taro_Projects/tsgh/.venv/lib/python3.11/site-packages/cellpose/dynamics.py:311(steps_interp)
       24    0.224    0.009    0.276    0.012 /data/taro_Projects/tsgh/backend/algorithms/hybrid/m1_overlay.py:130(apply_mask_to_ihc_image)
       24    0.220    0.009    0.235    0.010 /data/taro_Projects/tsgh/backend/algorithms/hybrid/m3_module/m3_dot_detection.py:49(_filter_dish_nucleus_by_core_mask)
       48    0.189    0.004    0.190    0.004 /data/taro_Projects/tsgh/.venv/lib/python3.11/site-packages/numpy/lib/_arraypad_impl.py:86(_pad_simple)
       24    0.187    0.008    0.210    0.009 /data/taro_Projects/tsgh/backend/algorithms/hybrid/m2_segmentation.py:316(_relabel_sequential)
     9216    0.177    0.000    0.177    0.000 {built-in method torch._C._nn.linear}
       24    0.174    0.007    0.230    0.010 /data/taro_Projects/tsgh/backend/algorithms/hybrid/m1_overlay.py:91(overlay_ihc_mask_on_dish)
      999    0.174    0.000    0.174    0.000 {method 'flatten' of 'numpy.ndarray' objects}
      192    0.172    0.001    1.889    0.010 /data/taro_Projects/tsgh/.venv/lib/python3.11/site-packages/cellpose/transforms.py:162(normalize99)
     1495    0.160    0.000    0.160    0.000 {built-in method numpy.zeros}
       25    0.156    0.006    0.156    0.006 {built-in method torch._C._cuda_emptyCache}
      139    0.154    0.001    0.154    0.001 {resize}
       48    0.148    0.003    2.033    0.042 /data/taro_Projects/tsgh/.venv/lib/python3.11/site-packages/cellpose/dynamics.py:87(masks_to_flows_gpu)


