t_s,rss_gb,cuda_alloc_gb,cuda_reserved_gb
0.0,0.649,0.0,0.0
0.54,0.848,0.0,0.0
1.05,0.87,0.0,0.0
1.56,0.8,0.0,0.0
2.4,0.958,0.0,0.0
3.07,1.184,0.0,0.094
3.6,1.241,0.084,0.094
4.11,2.16,0.084,0.094
4.62,1.335,0.694,1.355
5.13,2.279,0.694,1.355
5.64,1.475,1.418,1.598
6.15,1.795,1.402,1.493
6.66,1.85,8.398,8.535
7.17,2.229,2.662,3.303
7.68,2.502,1.34,1.42
8.19,2.749,2.126,3.953
8.71,2.781,1.314,3.955
10.21,2.702,1.407,2.062
10.73,2.738,1.314,4.672
11.24,2.729,1.334,4.672
11.76,2.727,1.314,4.672
12.3,2.775,2.126,4.668
12.81,2.775,2.126,4.67
13.32,2.815,1.314,4.67
13.84,2.73,1.314,4.67
14.54,2.779,2.126,4.668
15.05,2.779,2.126,4.67
15.56,2.818,1.314,4.67
16.36,2.779,2.126,4.668
16.87,2.779,2.126,4.675
17.4,2.732,1.314,4.675
18.08,2.779,2.126,4.668
18.59,2.779,2.126,4.67
19.11,2.805,1.314,4.67
19.62,2.731,1.314,4.67
20.13,2.779,1.32,4.668
20.64,2.779,2.126,4.67
21.16,2.732,1.314,4.67
22.07,2.779,2.126,4.668
22.58,2.779,2.126,4.672
23.09,2.732,1.314,4.672
23.67,2.805,1.771,4.668
24.18,2.805,1.771,4.67
24.7,2.732,1.314,4.67
25.3,2.8,1.771,4.668
25.81,2.779,2.126,4.668
26.32,2.809,1.314,4.67
26.83,2.732,1.314,4.67
27.97,2.732,1.314,1.407
28.48,2.752,1.314,4.675
28.99,2.763,1.314,4.675
29.58,2.732,1.314,1.407
30.09,2.732,1.354,4.668
30.6,2.74,1.322,4.67
31.12,2.733,1.314,4.67
32.41,2.762,2.126,4.668
32.93,2.778,2.126,4.672
33.44,2.82,1.314,4.672
33.95,2.732,1.397,2.062
34.47,2.738,1.387,4.668
34.98,2.837,1.314,4.668
35.5,2.733,1.314,4.67
36.84,2.732,1.314,3.058
37.35,2.749,1.314,4.67
37.86,2.77,1.314,4.67
38.37,2.805,1.771,4.668
38.88,2.818,1.771,4.672
39.47,2.736,1.403,2.062
40.0,2.749,1.314,4.67
40.51,2.778,1.314,4.675
41.01,2.805,1.771,4.668
41.52,2.805,1.771,4.67
42.03,2.732,1.343,3.058
42.54,2.749,1.314,4.672
43.05,2.764,1.314,4.672
43.56,2.732,1.314,1.407
44.17,2.732,1.352,4.668
44.68,2.733,1.327,4.67
45.2,2.738,1.314,4.67
46.5,2.741,1.314,3.058
47.01,2.753,1.314,4.67
47.52,2.764,1.314,4.67
48.03,2.733,1.314,4.67
48.61,2.781,2.126,4.668
49.12,2.754,1.314,4.668
49.63,2.76,1.314,4.67
50.14,2.733,1.314,4.67
51.19,2.741,1.314,3.058
51.7,2.754,1.314,4.67
52.21,2.758,1.314,4.67
52.73,2.734,1.314,4.67
53.77,2.781,2.126,4.668
54.28,2.754,1.314,4.67
54.79,2.783,1.314,4.67
55.3,2.734,1.314,4.67
56.02,2.768,1.314,1.407
