#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %     MB     MB     MB 
 20260707    02:31:30       0      0      0      0      0      0      0     92     13      0 
 20260707    02:31:31       0      0      0      0      0      0      0     92     13      0 
 20260707    02:31:32       0      0      0      0      0      0      0     92     13      0 
 20260707    02:31:33       0      0      0      0      0      0      0    685     15      0 
 20260707    02:31:34       0     18      1      0      0      0      0   1969     15      0 
 20260707    02:31:35       0      5      3      0      0      0      0   2097     15      0 
 20260707    02:31:36       0     77     44      0      0      0      0   2347     15      0 
 20260707    02:31:37       0      9      0      0      0      0      0   2167     15      0 
 20260707    02:31:38       0      0      0      0      0      0      0   4473     15      0 
 20260707    02:31:39       0      0      0      0      0      0      0   4473     15      0 
 20260707    02:31:40       0     27      6      0      0      0      0   5157     15      0 
 20260707    02:31:41       0      0      0      0      0      0      0   3617     15      0 
 20260707    02:31:42       0     73     49      0      0      0      0   5155     15      0 
 20260707    02:31:43       0      0      0      0      0      0      0   2043     15      0 
 20260707    02:31:44       0      0      0      0      0      0      0   5155     15      0 
 20260707    02:31:45       0      5      4      0      0      0      0   5153     15      0 
 20260707    02:31:46       0     27     11      0      0      0      0   5159     15      0 
 20260707    02:31:47       0     91     60      0      0      0      0   5155     15      0 
 20260707    02:31:48       0      0      0      0      0      0      0   5155     15      0 
 20260707    02:31:49       0     91     60      0      0      0      0   5155     15      0 
 20260707    02:31:50       0      0      0      0      0      0      0   5155     15      0 
 20260707    02:31:51       0     91     60      0      0      0      0   5157     15      0 
 20260707    02:31:52       0      0      0      0      0      0      0   5153     15      0 
 20260707    02:31:53       0     70     44      0      0      0      0   5155     15      0 
 20260707    02:31:54       0     90     60      0      0      0      0   5153     15      0 
 20260707    02:31:55       0      0      0      0      0      0      0   5155     15      0 
 20260707    02:31:56       0      0      0      0      0      0      0   5155     15      0 
 20260707    02:31:57       0     99     67      0      0      0      0   5159     15      0 
 20260707    02:31:58       0      0      0      0      0      0      0   3617     15      0 
 20260707    02:31:59       0      0      0      0      0      0      0   5155     15      0 
 20260707    02:32:00       0      0      0      0      0      0      0   5155     15      0 
 20260707    02:32:01       0      0      0      0      0      0      0   5153     15      0 
 20260707    02:32:02       0     90     58      0      0      0      0   5157     15      0 
 20260707    02:32:03       0     99     68      0      0      0      0   5153     15      0 
 20260707    02:32:04       0      0      0      0      0      0      0   5155     15      0 
 20260707    02:32:05       0      0      0      0      0      0      0   5155     15      0 
 20260707    02:32:06       0     88     56      0      0      0      0   5155     15      0 
 20260707    02:32:07       0     22     12      0      0      0      0   5157     15      0 
 20260707    02:32:08       0      0      0      0      0      0      0   5153     15      0 
 20260707    02:32:09       0     95     64      0      0      0      0   2043     15      0 
 20260707    02:32:10       0     10      0      0      0      0      0   5155     15      0 
 20260707    02:32:11       0     99     68      0      0      0      0   5157     15      0 
 20260707    02:32:12       0      0      0      0      0      0      0   5153     15      0 
 20260707    02:32:13       0      0      0      0      0      0      0   5155     15      0 
#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %     MB     MB     MB 
 20260707    02:32:14       0      0      0      0      0      0      0   5155     15      0 
 20260707    02:32:15       0      5      4      0      0      0      0   5155     15      0 
 20260707    02:32:16       0     57     36      0      0      0      0   5155     15      0 
 20260707    02:32:17       0      5      4      0      0      0      0   5153     15      0 
 20260707    02:32:18       0     90     58      0      0      0      0   5155     15      0 
 20260707    02:32:19       0      0      0      0      0      0      0   5155     15      0 
 20260707    02:32:20       0     91     59      0      0      0      0   5155     15      0 
 20260707    02:32:21       0      0      0      0      0      0      0   5155     15      0 
 20260707    02:32:22       0      5      4      0      0      0      0   5155     15      0 
 20260707    02:32:23       0     88     56      0      0      0      0   5155     15      0 
 20260707    02:32:24       0      0      0      0      0      0      0   2043     15      0 
