t_s,rss_gb,cuda_alloc_gb,cuda_reserved_gb
0.0,0.649,0.0,0.0
0.54,0.851,0.0,0.0
1.05,0.881,0.0,0.0
1.55,0.816,0.0,0.0
2.27,0.971,0.0,0.0
2.79,1.206,0.084,0.094
3.37,2.195,0.084,0.094
3.88,1.487,0.694,1.355
4.39,2.456,0.694,1.355
4.91,1.694,1.543,1.678
5.42,1.796,1.399,1.476
5.93,1.858,2.081,3.062
6.44,2.424,1.335,1.451
6.95,2.717,1.314,1.537
7.47,2.722,1.314,3.955
7.98,2.712,1.314,3.955
9.22,2.719,1.343,3.058
9.72,2.735,1.314,4.672
10.23,2.748,1.314,4.672
10.75,2.724,1.314,4.672
11.26,2.772,2.126,4.668
11.77,2.772,2.126,4.67
12.28,2.726,1.314,4.67
13.35,2.776,2.126,4.668
13.86,2.776,2.126,4.67
14.37,2.729,1.314,4.67
15.07,2.802,1.771,4.668
15.58,2.801,1.771,4.675
16.1,2.73,1.314,4.675
16.66,2.777,2.126,4.668
17.17,2.777,2.126,4.67
17.68,2.729,1.314,4.67
18.62,2.777,2.126,4.668
19.13,2.777,2.126,4.67
19.64,2.729,1.314,4.67
20.62,2.777,2.126,4.668
21.13,2.777,2.126,4.672
21.64,2.729,1.314,4.672
22.17,2.802,1.771,4.668
22.68,2.802,1.771,4.67
23.19,2.73,1.314,4.67
23.74,2.802,1.771,4.668
24.25,2.777,2.126,4.668
24.76,2.815,1.314,4.67
26.49,2.729,1.314,1.407
27.01,2.75,1.314,4.675
27.52,2.761,1.314,4.675
28.03,2.729,1.314,1.407
28.63,2.729,1.354,4.668
29.14,2.738,1.318,4.67
29.65,2.73,1.314,4.67
30.98,2.751,1.314,3.058
31.49,2.746,1.314,4.672
32.0,2.803,1.314,4.672
32.51,2.73,1.948,2.248
33.02,2.736,1.359,4.668
33.53,2.721,1.314,4.668
34.05,2.731,1.314,4.67
35.41,2.73,1.314,3.058
35.92,2.746,1.314,4.67
36.43,2.793,1.314,4.67
36.94,2.803,1.356,4.668
37.45,2.815,1.771,4.672
38.0,2.734,1.327,1.407
38.52,2.746,1.314,4.67
39.02,2.786,1.314,4.675
39.54,2.803,1.771,4.668
40.05,2.803,1.771,4.67
40.55,2.73,1.314,3.058
41.06,2.746,1.314,4.672
41.57,2.767,1.314,4.672
42.08,2.73,1.4,2.062
42.59,2.73,1.343,4.668
43.1,2.742,1.322,4.67
43.62,2.735,1.314,4.67
44.83,2.734,1.314,3.058
45.34,2.751,1.314,4.67
45.85,2.761,1.314,4.67
46.36,2.731,1.314,4.67
46.96,2.778,2.126,4.668
47.47,2.751,1.314,4.668
47.98,2.793,1.314,4.67
48.5,2.731,1.314,4.67
49.48,2.751,1.314,3.058
49.99,2.751,1.314,4.67
50.5,2.755,1.314,4.67
51.02,2.731,1.314,4.67
51.95,2.778,2.126,4.668
52.46,2.751,1.314,4.67
52.97,2.801,1.314,4.67
53.48,2.731,1.314,4.67
54.01,2.778,1.314,1.407
