#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %     MB     MB     MB 
 20260722    01:43:05       0      0      0      0      0      0      0     92     13      0 
 20260722    01:43:06       0      0      0      0      0      0      0     92     13      0 
 20260722    01:43:07       0      0      0      0      0      0      0     92     13      0 
 20260722    01:43:08       0      0      0      0      0      0      0     92     13      0 
 20260722    01:43:09       0      0      0      0      0      0      0     92     13      0 
 20260722    01:43:10       0      0      0      0      0      0      0     92     13      0 
 20260722    01:43:11       0      0      0      0      0      0      0     92     13      0 
 20260722    01:43:12       0      0      0      0      0      0      0     92     13      0 
 20260722    01:43:13       0      0      0      0      0      0      0     92     13      0 
 20260722    01:43:14       0      0      0      0      0      0      0     92     13      0 
 20260722    01:43:15       0      0      0      0      0      0      0     92     13      0 
 20260722    01:43:16       0      0      0      0      0      0      0     92     13      0 
 20260722    01:43:17       0      0      0      0      0      0      0     92     13      0 
 20260722    01:43:18       0      0      0      0      0      0      0     92     13      0 
 20260722    01:43:19       0      0      0      0      0      0      0     92     13      0 
 20260722    01:43:20       0      0      0      0      0      0      0     92     13      0 
 20260722    01:43:21       0      0      1      0      0      0      0     92     13      0 
 20260722    01:43:22       0      0      2      0      0      0      0     92     13      0 
 20260722    01:43:23       0      0      0      0      0      0      0     92     13      0 
 20260722    01:43:24       0      0      0      0      0      0      0     92     13      0 
 20260722    01:43:25       0      0      0      0      0      0      0     92     13      0 
 20260722    01:43:26       0      0      0      0      0      0      0     92     13      0 
 20260722    01:43:27       0      0      0      0      0      0      0    685     15      0 
 20260722    01:43:28       0      4      1      0      0      0      0   1379     15      0 
 20260722    01:43:29       0     17      5      0      0      0      0   1485     15      0 
 20260722    01:43:30       0     10      6      0      0      0      0   1207     15      0 
 20260722    01:43:31       0     77     37      0      0      0      0   2781     15      0 
 20260722    01:43:32       0     21     10      0      0      0      0   2785     15      0 
 20260722    01:43:33       0      7      1      0      0      0      0   2785     15      0 
 20260722    01:43:34       0      0      0      0      0      0      0   2785     15      0 
 20260722    01:43:35       0     13      6      0      0      0      0   2785     15      0 
