t_s,rss_gb,cuda_alloc_gb,cuda_reserved_gb
0.0,0.633,0.0,0.0
0.54,0.767,0.0,0.0
1.05,0.768,0.0,0.0
1.55,0.769,0.0,0.0
2.06,0.801,0.0,0.0
2.57,0.801,0.0,0.0
3.08,0.801,0.0,0.0
3.59,0.878,0.0,0.0
4.1,0.896,0.0,0.0
4.6,0.921,0.0,0.0
5.11,0.928,0.0,0.0
5.61,0.937,0.0,0.0
6.12,0.971,0.0,0.0
6.63,0.948,0.0,0.0
7.13,0.926,0.0,0.0
7.65,0.957,0.0,0.0
8.16,0.98,0.0,0.0
8.66,0.983,0.0,0.0
9.17,0.988,0.0,0.0
9.68,0.986,0.0,0.0
10.18,0.981,0.0,0.0
10.69,0.986,0.0,0.0
11.2,0.993,0.0,0.0
11.71,0.987,0.0,0.0
12.21,1.005,0.0,0.0
12.72,0.984,0.0,0.0
13.23,1.003,0.0,0.0
13.74,1.014,0.0,0.0
14.24,1.027,0.0,0.0
14.75,0.994,0.0,0.0
15.26,1.029,0.0,0.0
15.76,1.011,0.0,0.0
16.27,0.992,0.0,0.0
16.78,1.014,0.0,0.0
17.28,1.025,0.0,0.0
17.79,1.017,0.0,0.0
18.3,1.035,0.0,0.0
18.81,1.028,0.0,0.0
19.32,1.022,0.0,0.0
19.83,1.017,0.0,0.0
20.33,0.987,0.0,0.0
20.85,1.1,0.0,0.0
21.66,1.37,0.055,0.069
22.2,1.732,0.084,0.094
22.7,1.751,0.263,0.663
23.21,1.798,0.569,0.724
23.72,1.983,0.538,0.593
24.23,2.044,0.444,0.835
24.73,2.683,0.459,0.614
25.28,2.807,0.466,0.531
25.81,2.879,0.453,2.185
26.31,2.997,0.453,2.181
26.83,2.977,0.467,2.185
28.05,2.878,0.541,1.185
28.59,3.053,0.465,2.185
29.79,2.899,0.453,0.531
30.31,3.058,0.472,2.185
31.24,2.883,0.453,0.531
31.85,2.992,0.467,2.185
33.14,2.9,0.578,1.185
33.66,3.058,0.466,2.185
35.0,2.895,0.562,1.185
35.54,3.043,0.465,2.185
36.57,2.897,0.453,0.531
37.1,3.043,0.466,2.185
37.96,2.894,0.552,1.185
38.5,3.053,0.465,2.185
39.24,2.897,0.453,0.531
39.77,3.047,0.466,2.185
40.37,2.897,0.466,0.531
40.89,3.057,0.465,2.185
41.93,2.881,0.466,0.531
42.46,2.973,0.464,2.185
43.0,2.891,0.6,1.185
43.53,3.05,0.462,2.185
44.18,2.882,0.466,0.531
44.71,3.058,0.467,2.185
45.97,2.882,0.592,0.732
46.51,3.045,0.455,2.185
47.63,2.897,0.533,1.185
48.15,2.987,0.517,2.185
48.69,2.899,0.453,0.531
49.21,3.04,0.466,2.185
50.12,2.897,0.453,0.531
50.67,2.981,0.461,2.185
51.39,2.897,0.535,1.185
51.93,3.038,0.466,2.185
52.64,2.881,0.563,1.185
53.17,2.979,0.473,2.185
53.74,2.895,0.466,0.531
54.27,3.052,0.464,2.185
55.39,2.879,0.453,0.531
55.91,2.976,0.453,2.185
56.43,2.979,0.453,2.181
57.01,2.892,0.594,1.185
57.54,2.976,0.467,2.187
58.05,3.051,0.453,2.185
58.56,2.896,0.453,0.531
59.08,2.989,0.467,2.185
59.59,3.042,0.453,2.185
60.12,2.884,0.453,0.531
60.63,2.989,0.467,2.185
61.14,2.977,0.47,2.185
61.65,2.898,0.552,1.185
62.16,2.982,0.467,2.185
62.67,3.007,0.465,2.185
63.37,2.898,0.539,1.185
63.9,2.986,0.465,2.185
64.51,2.882,0.453,0.531
65.04,3.061,0.458,2.185
65.7,2.882,0.453,0.531
66.22,3.051,0.467,2.185
67.09,2.895,0.579,1.185
67.62,3.055,0.469,2.185
68.45,2.987,0.453,0.531
68.97,2.974,0.463,2.185
70.46,2.898,0.552,1.185
70.99,2.986,0.463,2.185
71.52,2.902,0.564,1.185
72.04,2.903,0.453,0.531
72.58,2.858,0.453,2.185
73.09,2.968,0.453,2.181
73.6,2.973,0.529,2.185
74.13,2.896,0.538,1.185
74.65,3.057,0.464,2.185
75.62,2.898,0.58,1.185
76.14,3.052,0.453,2.185
76.88,3.001,0.453,2.181
77.39,2.97,0.453,2.185
77.9,2.886,0.453,2.187
78.41,3.025,0.467,2.185
78.92,2.984,0.467,2.185
79.44,3.033,0.464,2.185
80.51,2.896,0.562,1.185
81.04,2.984,0.469,2.185
81.54,2.9,0.453,0.531
82.15,2.976,0.463,2.185
83.44,2.896,0.539,1.185
83.96,2.957,0.467,2.185
84.48,2.98,0.465,2.185
85.26,2.893,0.453,0.531
85.79,2.983,0.453,2.185
86.3,2.895,0.617,1.185
86.81,3.043,0.467,2.185
87.86,2.895,0.453,0.531
88.38,2.895,0.453,0.531
89.19,3.024,0.453,2.185
89.7,2.962,0.453,2.181
90.21,2.973,0.497,2.185
90.72,2.882,0.453,2.185
91.23,3.015,0.453,2.181
91.74,2.976,0.506,2.185
92.25,2.889,0.453,2.185
92.76,2.98,0.467,2.185
93.28,2.891,0.536,1.185
93.81,2.972,0.503,2.185
94.32,2.971,0.467,2.185
94.84,2.971,0.453,2.185
95.37,2.891,0.541,1.185
95.9,3.001,0.453,2.185
96.4,2.97,0.453,2.185
96.91,2.963,0.453,2.181
97.42,2.988,0.467,2.185
97.93,3.033,0.467,2.185
98.94,2.899,0.453,0.531
99.46,3.044,0.468,2.185
100.43,2.991,0.453,0.531
101.03,3.04,0.468,2.185
101.96,2.987,0.453,0.531
102.49,3.048,0.463,2.185
103.75,2.899,0.453,0.531
104.27,2.978,0.546,2.185
104.8,2.898,0.466,0.531
105.34,3.045,0.464,2.185
106.21,2.894,0.539,1.185
106.74,2.979,0.453,2.185
107.25,2.895,0.564,1.185
107.76,2.97,0.453,2.187
108.27,2.919,0.453,2.181
108.78,2.988,0.467,2.185
109.29,2.966,0.453,2.185
109.86,2.941,0.453,0.531
110.37,2.954,0.467,2.185
110.87,2.966,0.453,2.187
111.38,2.973,0.453,2.185
111.98,2.946,0.453,0.531
112.49,2.953,0.483,2.187
113.0,2.879,0.482,2.181
113.51,2.89,0.453,2.185
114.02,2.966,0.453,2.181
114.53,3.05,0.453,2.185
115.34,2.898,0.482,2.181
115.85,2.983,0.453,2.185
116.36,2.982,0.512,2.185
116.87,2.894,0.566,1.185
117.39,2.889,0.453,2.185
117.9,2.972,0.453,2.181
118.41,2.985,0.457,2.185
119.35,2.897,0.533,1.185
119.89,3.051,0.464,2.185
120.6,2.896,0.453,0.531
121.12,2.972,0.453,2.185
121.63,2.881,0.453,0.531
122.14,2.973,0.464,2.185
122.7,2.897,0.692,0.883
123.22,2.963,0.866,2.187
123.73,2.987,0.453,2.185
124.4,2.881,0.534,1.185
