#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %     MB     MB     MB 
 20260722    01:40:16       0      0      0      0      0      0      0     92     13      0 
 20260722    01:40:17       0      0      0      0      0      0      0     92     13      0 
 20260722    01:40:18       0      0      0      0      0      0      0     92     13      0 
 20260722    01:40:19       0      0      1      0      0      0      0     92     13      0 
 20260722    01:40:20       0      0      0      0      0      0      0     92     13      0 
 20260722    01:40:21       0      0      0      0      0      0      0     92     13      0 
 20260722    01:40:22       0      0      0      0      0      0      0     92     13      0 
 20260722    01:40:23       0      0      0      0      0      0      0    685     15      0 
 20260722    01:40:24       0      0      0      0      0      0      0   1309     15      0 
 20260722    01:40:25       0      4      2      0      0      0      0   1257     15      0 
 20260722    01:40:26       0     59     19      0      0      0      0   1485     15      0 
 20260722    01:40:27       0     21      1      0      0      0      0   1207     15      0 
 20260722    01:40:28       0      0      0      0      0      0      0   2785     15      0 
 20260722    01:40:29       0     19      8      0      0      0      0   2785     15      0 
 20260722    01:40:30       0      0      0      0      0      0      0   2785     15      0 
 20260722    01:40:31       0      9      4      0      0      0      0   2785     15      0 
 20260722    01:40:32       0     66     33      0      0      0      0   2785     15      0 
 20260722    01:40:33       0      3      1      0      0      0      0   2785     15      0 
 20260722    01:40:34       0      0      0      0      0      0      0   2785     15      0 
 20260722    01:40:35       0      0      0      0      0      0      0   2785     15      0 
 20260722    01:40:36       0     19      8      0      0      0      0   2785     15      0 
 20260722    01:40:37       0      0      0      0      0      0      0   2785     15      0 
 20260722    01:40:38       0     32     16      0      0      0      0   2785     15      0 
 20260722    01:40:39       0      8      2      0      0      0      0   2781     15      0 
 20260722    01:40:40       0      0      0      0      0      0      0   2785     15      0 
 20260722    01:40:41       0     14      6      0      0      0      0   2785     15      0 
 20260722    01:40:42       0      0      0      0      0      0      0   2785     15      0 
 20260722    01:40:43       0      0      0      0      0      0      0   2785     15      0 
 20260722    01:40:44       0     19      4      0      0      0      0   2785     15      0 
 20260722    01:40:45       0      0      0      0      0      0      0   2785     15      0 
 20260722    01:40:46       0     41     20      0      0      0      0   2785     15      0 
 20260722    01:40:48       0      3      1      0      0      0      0   2785     15      0 
 20260722    01:40:49       0     17      7      0      0      0      0   2785     15      0 
 20260722    01:40:50       0     10      5      0      0      0      0   1211     15      0 
 20260722    01:40:51       0     56     27      0      0      0      0   2781     15      0 
 20260722    01:40:52       0     18      8      0      0      0      0   2783     15      0 
 20260722    01:40:53       0      0      0      0      0      0      0   2781     15      0 
 20260722    01:40:54       0      3      2      0      0      0      0   2785     15      0 
 20260722    01:40:55       0      2      0      0      0      0      0   1207     15      0 
 20260722    01:40:56       0     42     19      0      0      0      0   2781     15      0 
 20260722    01:40:57       0      0      0      0      0      0      0   2785     15      0 
 20260722    01:40:58       0     36     15      0      0      0      0   2781     15      0 
 20260722    01:40:59       0      1      1      0      0      0      0   2785     15      0 
 20260722    01:41:00       0     90     44      0      0      0      0   2781     15      0 
#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa     fb   bar1   ccpm 
