t_s,rss_gb,cuda_alloc_gb,cuda_reserved_gb
0.0,0.63,0.0,0.0
0.53,0.7,0.0,0.0
1.04,0.806,0.0,0.0
1.54,0.835,0.0,0.0
2.05,0.863,0.0,0.0
2.55,0.872,0.0,0.0
3.06,0.881,0.0,0.0
3.57,0.901,0.0,0.0
4.08,0.899,0.0,0.0
4.58,0.895,0.0,0.0
5.09,0.912,0.0,0.0
5.6,0.883,0.0,0.0
6.14,1.003,0.0,0.0
6.7,1.06,0.0,0.0
7.21,1.298,0.084,0.094
7.72,1.629,0.084,0.094
8.22,1.647,0.263,0.663
8.73,1.612,0.557,0.694
9.24,1.861,0.541,0.589
9.74,1.917,0.758,1.149
10.25,2.252,0.752,0.784
10.76,2.739,0.453,0.614
11.27,2.938,0.467,2.185
11.78,2.87,0.468,2.185
12.47,2.793,0.453,0.531
13.1,2.942,0.463,2.185
14.53,2.801,0.558,1.185
15.07,2.948,0.464,2.185
15.85,2.787,0.453,0.531
16.37,2.838,0.453,2.185
16.88,2.885,0.46,2.185
17.99,2.789,0.453,0.531
18.53,2.964,0.47,2.185
19.51,2.893,0.453,2.185
20.03,2.953,0.466,2.185
21.39,2.804,0.566,0.631
21.92,2.954,0.457,2.185
23.09,2.804,0.617,0.682
23.62,2.955,0.467,2.185
24.54,2.809,0.566,0.631
25.06,2.951,0.467,2.185
26.29,2.803,0.529,0.581
26.81,2.952,0.469,2.185
27.76,2.808,0.701,1.185
28.29,3.007,0.466,2.185
29.87,2.862,0.453,0.531
30.48,2.94,0.467,2.185
31.56,2.864,0.558,1.185
32.08,2.94,0.463,2.185
32.6,2.876,0.453,2.181
33.11,2.953,0.467,2.185
33.61,2.958,0.467,2.185
34.18,2.865,0.539,1.185
34.7,2.958,0.467,2.187
35.21,2.95,0.467,2.185
35.86,2.961,0.471,2.185
36.38,2.954,0.922,2.185
37.4,2.953,0.453,2.185
37.91,2.944,0.453,2.185
38.42,2.944,0.453,2.181
38.92,2.957,0.467,2.185
39.43,2.949,0.467,2.185
41.0,2.96,0.515,2.185
41.51,2.952,0.467,2.185
42.8,2.863,0.453,0.531
43.41,2.956,0.467,2.185
43.99,2.863,0.535,1.185
44.51,2.951,0.463,2.185
45.04,2.863,0.453,0.531
45.57,2.957,0.467,2.185
46.22,2.955,0.453,2.187
46.74,2.953,0.866,2.185
47.6,2.951,0.453,0.531
48.21,2.847,0.453,2.185
48.72,2.873,0.453,2.181
49.23,2.952,0.467,2.185
49.74,2.952,0.467,2.185
50.31,2.863,0.453,0.531
50.83,2.952,0.467,2.185
51.34,2.944,0.467,2.185
51.91,2.955,0.513,2.185
52.43,2.948,1.092,2.185
53.34,3.016,0.453,2.185
53.85,3.007,0.461,2.185
55.11,2.864,0.594,1.185
55.63,2.945,0.467,2.185
