#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %     MB     MB     MB 
 20260711    11:58:28       0      0      0      0      0      0      0     92     13      0 
 20260711    11:58:29       0      0      0      0      0      0      0     92     13      0 
 20260711    11:58:30       0      0      0      0      0      0      0     92     13      0 
 20260711    11:58:31       0      0      0      0      0      0      0     92     13      0 
 20260711    11:58:32       0      0      0      0      0      0      0     92     13      0 
 20260711    11:58:33       0      0      0      0      0      0      0     92     13      0 
 20260711    11:58:34       0      0      0      0      0      0      0     92     13      0 
 20260711    11:58:35       0      0      0      0      0      0      0     92     13      0 
 20260711    11:58:36       0      0      0      0      0      0      0     92     13      0 
 20260711    11:58:37       0      0      0      0      0      0      0     92     13      0 
 20260711    11:58:38       0      0      0      0      0      0      0     92     13      0 
 20260711    11:58:39       0      0      0      0      0      0      0     92     13      0 
 20260711    11:58:40       0      0      0      0      0      0      0     92     13      0 
 20260711    11:58:42       0      0      0      0      0      0      0     92     13      0 
 20260711    11:58:43       0      0      0      0      0      0      0     92     13      0 
 20260711    11:58:44       0      0      0      0      0      0      0     92     13      0 
 20260711    11:58:45       0      0      0      0      0      0      0     92     13      0 
 20260711    11:58:46       0      0      0      0      0      0      0     92     13      0 
 20260711    11:58:47       0      0      0      0      0      0      0     92     13      0 
 20260711    11:58:48       0      0      0      0      0      0      0     92     13      0 
 20260711    11:58:49       0      0      0      0      0      0      0     92     13      0 
 20260711    11:58:50       0      0      0      0      0      0      0     92     13      0 
 20260711    11:58:51       0      0      0      0      0      0      0    685     15      0 
 20260711    11:58:52       0      0      0      0      0      0      0   1969     15      0 
 20260711    11:58:53       0     19     13      0      0      0      0   2767     15      0 
 20260711    11:58:54       0      8      2      0      0      0      0   2099     15      0 
 20260711    11:58:55       0     96     67      0      0      0      0   4381     15      0 
 20260711    11:58:56       0     57     41      0      0      0      0   5153     15      0 
 20260711    11:58:57       0      2      1      0      0      0      0   5153     15      0 
 20260711    11:58:58       0     98     69      0      0      0      0   5153     15      0 
 20260711    11:58:59       0     12      6      0      0      0      0   5153     15      0 
 20260711    11:59:00       0     24     17      0      0      0      0   5155     15      0 
 20260711    11:59:01       0      5      4      0      0      0      0   5153     15      0 
 20260711    11:59:02       0     87     60      0      0      0      0   5153     15      0 
 20260711    11:59:03       0     19     11      0      0      0      0   5153     15      0 
 20260711    11:59:04       0      0      0      0      0      0      0   5153     15      0 
 20260711    11:59:05       0     71     46      0      0      0      0   3617     15      0 
 20260711    11:59:06       0      1      1      0      0      0      0   5153     15      0 
 20260711    11:59:07       0     48     27      0      0      0      0   3617     15      0 
 20260711    11:59:08       0      1      0      0      0      0      0   5153     15      0 
 20260711    11:59:09       0     29     16      0      0      0      0   5153     15      0 
 20260711    11:59:10       0     86     59      0      0      0      0   5153     15      0 
 20260711    11:59:11       0     19     11      0      0      0      0   4129     15      0 
