t_s,rss_gb,cuda_alloc_gb,cuda_reserved_gb
0.0,0.632,0.0,0.0
0.53,0.768,0.0,0.0
1.04,0.769,0.0,0.0
1.55,0.769,0.0,0.0
2.05,0.8,0.0,0.0
2.56,0.801,0.0,0.0
3.07,0.802,0.0,0.0
3.58,0.88,0.0,0.0
4.08,0.914,0.0,0.0
4.58,0.923,0.0,0.0
5.09,0.911,0.0,0.0
5.6,0.915,0.0,0.0
6.1,0.968,0.0,0.0
6.61,0.953,0.0,0.0
7.11,0.995,0.0,0.0
7.62,0.992,0.0,0.0
8.12,0.968,0.0,0.0
8.62,0.988,0.0,0.0
9.14,1.002,0.0,0.0
9.64,0.99,0.0,0.0
10.16,0.994,0.0,0.0
10.66,0.996,0.0,0.0
11.16,1.015,0.0,0.0
11.67,0.986,0.0,0.0
12.18,0.992,0.0,0.0
12.69,1.02,0.0,0.0
13.2,1.003,0.0,0.0
13.71,1.008,0.0,0.0
14.21,1.002,0.0,0.0
14.72,1.001,0.0,0.0
15.22,1.019,0.0,0.0
15.73,1.002,0.0,0.0
16.24,0.987,0.0,0.0
16.75,1.025,0.0,0.0
17.25,1.011,0.0,0.0
17.76,1.008,0.0,0.0
18.27,1.004,0.0,0.0
18.77,1.037,0.0,0.0
19.28,1.012,0.0,0.0
19.79,1.033,0.0,0.0
20.29,0.985,0.0,0.0
20.8,1.102,0.0,0.0
21.51,1.363,0.084,0.094
22.04,1.854,0.084,0.094
22.55,2.004,0.705,0.726
23.07,2.243,0.694,1.355
23.58,1.601,1.418,1.598
24.09,1.971,1.404,1.493
24.59,2.026,1.921,2.082
25.1,2.463,2.126,3.84
25.61,2.86,1.314,1.426
26.12,2.884,1.314,3.859
26.63,2.978,2.126,4.668
27.14,2.927,1.314,4.668
27.72,2.914,1.461,2.062
28.26,3.018,2.126,4.668
29.34,2.914,1.314,4.668
29.92,2.907,1.314,1.407
30.45,2.99,2.126,4.668
31.45,2.966,1.314,4.67
31.99,2.929,1.314,1.407
32.51,2.995,2.126,4.668
33.31,2.938,1.314,4.668
33.82,2.984,1.314,4.668
34.34,2.999,2.126,4.668
35.62,2.928,1.314,4.668
36.19,2.92,1.327,1.407
36.72,2.994,2.126,4.668
37.56,2.936,1.314,4.668
38.07,2.924,1.314,1.407
38.67,2.998,2.126,4.668
39.52,2.958,1.314,4.67
40.07,2.929,1.402,2.062
40.6,3.066,2.126,4.668
41.32,3.029,1.314,4.668
41.86,2.991,1.394,2.062
42.39,3.057,2.126,4.668
43.14,3.03,1.314,4.67
43.67,2.992,1.414,2.062
44.2,3.063,2.126,4.668
44.7,3.027,1.314,4.668
45.26,2.985,1.398,2.062
45.78,3.049,2.126,4.668
46.66,3.021,1.314,4.67
47.21,2.983,1.395,2.062
47.73,3.082,1.771,4.668
48.24,3.061,2.126,4.67
48.75,3.025,1.622,4.668
49.78,3.004,1.314,4.668
50.36,2.987,1.426,2.062
50.89,3.056,2.126,4.668
51.98,2.999,1.314,4.668
52.49,3.049,1.314,4.67
53.0,3.052,2.126,4.668
54.16,3.033,1.314,4.672
54.7,2.991,1.314,1.407
55.23,3.092,2.126,4.668
55.77,3.024,1.314,4.67
56.33,2.995,1.511,2.062
56.86,3.073,2.126,4.668
57.55,3.032,1.314,4.67
58.11,2.986,1.398,2.062
58.65,3.074,2.126,4.668
59.44,3.059,2.126,4.67
59.96,2.986,1.426,2.062
60.49,3.072,2.126,4.668
61.0,3.017,1.314,4.67
61.56,2.985,1.314,1.407
62.09,3.064,1.488,4.668
62.63,3.002,1.314,4.668
63.14,3.044,1.314,4.668
63.66,3.072,2.126,4.668
64.75,3.021,1.314,4.67
65.28,2.983,1.314,1.407
65.8,3.085,2.126,4.668
66.31,3.061,2.126,4.67
66.82,3.022,1.314,3.058
67.33,3.052,2.126,4.668
67.84,3.004,1.314,3.058
68.35,2.982,1.314,4.672
68.86,3.04,1.314,4.672
69.37,3.092,1.771,4.668
69.88,3.09,1.771,4.67
70.39,3.071,2.126,4.668
70.9,3.065,2.126,4.672
71.4,2.988,1.427,1.609
71.92,3.088,1.771,4.668
72.43,3.087,1.771,4.672
72.94,3.098,2.126,4.668
73.44,3.062,2.126,4.672
73.95,3.052,2.126,4.668
74.53,3.066,2.126,4.67
75.04,2.996,1.343,3.058
75.55,3.038,1.314,4.67
76.06,3.046,1.314,4.67
76.58,3.071,2.126,4.668
77.15,3.021,1.314,4.67
77.71,2.988,1.314,1.407
78.23,3.077,2.126,4.668
78.8,3.015,1.314,4.67
79.35,2.986,1.314,1.407
79.88,3.069,2.126,4.668
80.48,2.994,1.314,4.668
80.99,2.986,1.41,2.062
81.6,3.074,2.126,4.668
82.3,2.999,1.314,4.668
82.89,2.999,1.427,1.609
83.42,3.083,2.126,4.668
84.14,2.999,1.314,4.668
84.65,3.052,1.314,4.67
85.17,3.086,2.126,4.668
86.64,3.064,2.126,4.675
87.15,2.99,1.314,1.407
87.66,3.081,2.126,4.668
88.16,3.067,2.126,4.675
88.7,3.04,1.314,1.407
89.21,2.99,1.314,1.407
89.71,3.057,1.771,4.668
90.22,3.057,1.771,4.67
90.73,3.055,2.126,4.668
91.52,3.054,1.314,4.668
92.06,3.054,1.314,1.407
92.59,3.074,2.126,4.668
93.54,3.054,1.314,4.67
94.06,2.988,1.426,2.062
94.65,3.104,2.126,4.668
95.39,3.065,2.126,4.668
95.9,3.071,2.126,4.668
96.41,3.06,2.126,4.672
96.92,3.015,1.343,3.058
97.43,2.987,1.314,4.672
97.94,3.044,1.314,4.672
98.45,3.087,1.371,4.668
98.96,3.068,2.126,4.668
99.47,2.997,1.343,3.058
100.0,3.095,2.126,4.668
100.63,3.018,1.314,4.67
101.16,2.989,1.414,2.062
101.69,3.072,2.126,4.668
102.2,2.989,1.314,4.668
102.71,3.046,1.314,4.67
103.24,3.079,2.126,4.668
104.55,3.016,1.314,4.675
105.07,2.983,1.401,2.062
105.6,3.073,1.771,4.668
106.11,3.086,1.771,4.67
106.61,3.109,2.126,4.668
107.3,3.033,1.314,4.67
107.82,2.988,1.414,2.062
108.35,3.075,1.314,4.668
108.86,3.061,2.126,4.668
109.36,2.988,1.343,3.058
109.87,3.11,2.126,4.668
110.73,3.03,1.314,4.67
111.25,2.988,1.314,1.407
111.78,2.981,1.314,1.407
112.43,3.032,2.126,4.668
112.94,3.057,1.771,4.668
113.45,3.044,2.126,4.668
113.96,3.057,2.126,4.672
114.47,3.105,1.314,3.058
114.98,2.992,1.314,4.672
115.55,2.988,1.426,2.062
116.08,3.103,1.771,4.668
116.59,3.078,1.771,4.672
117.1,3.117,2.126,4.668
117.6,3.06,2.126,4.668
118.11,3.052,2.126,4.668
118.62,3.064,2.126,4.668
119.13,3.053,2.126,4.668
119.64,3.06,2.126,4.668
120.15,3.046,1.314,3.058
120.65,3.073,2.126,4.668
121.16,3.046,1.314,3.058
121.67,2.983,1.314,4.672
122.26,2.983,1.314,1.407
122.78,3.085,1.771,4.668
123.29,3.037,1.314,4.67
123.8,3.077,1.771,4.668
124.3,3.077,1.771,4.675
124.81,3.06,2.126,4.668
125.32,3.06,2.126,4.67
125.83,3.054,1.314,3.058
126.33,3.059,2.126,4.668
126.96,2.992,1.314,4.668
127.47,2.982,1.314,1.407
127.99,3.074,2.126,4.668
129.07,2.986,1.314,4.668
129.58,3.047,1.314,4.67
130.09,3.086,2.126,4.668
131.08,2.99,1.314,4.668
131.58,3.036,1.314,4.67
132.09,3.128,2.126,4.668
133.31,3.072,1.555,4.672
133.82,3.036,1.314,3.058
134.33,3.081,1.771,4.668
134.84,3.065,2.126,4.668
135.35,3.102,1.314,3.058
135.86,3.087,2.126,4.668
136.46,3.033,1.314,4.67
136.99,2.995,1.314,1.407
137.51,3.073,2.126,4.668
138.02,3.073,2.126,4.67
138.53,3.017,1.314,3.058
139.03,3.087,1.314,4.668
139.54,3.088,1.771,4.675
140.05,3.061,2.126,4.668
140.75,3.06,2.126,4.668
141.26,3.062,2.126,4.668
141.77,3.055,2.126,4.668
142.35,3.018,1.314,1.407
142.86,3.032,2.126,4.668
143.37,3.036,2.126,4.672
143.88,2.978,1.434,2.062
144.39,3.097,2.126,4.668
144.9,3.077,1.771,4.668
145.4,2.98,1.398,2.062
145.92,3.09,1.314,4.668
146.43,3.079,1.314,4.675
146.94,3.098,2.126,4.668
147.54,3.022,1.314,4.67
148.11,2.984,1.314,1.407
148.63,3.06,2.126,4.668
149.33,3.062,2.126,4.67
149.84,3.012,1.314,3.058
150.34,2.997,1.314,4.672
150.91,2.988,1.314,1.407
151.43,3.026,1.347,4.67
151.95,3.005,1.314,4.67
152.46,3.119,2.126,4.668
153.02,3.001,1.314,4.668
153.53,3.05,1.314,4.67
154.04,3.113,2.126,4.668
154.95,3.029,1.314,4.67
155.48,2.991,1.314,1.407
156.0,3.088,2.126,4.668
156.55,3.025,1.314,4.67
157.08,2.992,1.314,1.407
157.6,3.067,2.126,4.668
158.1,3.062,2.126,4.67
158.61,3.081,1.314,3.058
159.12,3.127,1.314,4.668
159.63,3.095,1.771,4.672
160.14,3.076,2.126,4.668
160.74,3.018,1.314,4.675
161.29,3.046,1.461,2.062
161.82,3.106,1.771,4.668
162.32,3.099,1.771,4.67
162.83,3.085,2.126,4.668
163.34,3.067,2.126,4.672
163.85,3.07,1.314,3.058
164.36,3.096,1.314,4.668
164.87,3.099,1.314,4.67
165.38,3.105,2.126,4.668
165.88,3.082,1.771,4.668
166.39,2.972,1.343,3.058
166.9,2.976,1.323,4.668
167.41,3.082,1.314,4.672
167.92,2.972,1.314,1.407
168.58,3.057,1.771,4.668
169.09,3.072,1.314,4.67
169.59,3.055,2.126,4.668
170.1,3.09,1.314,4.668
170.61,3.057,2.126,4.668
171.12,3.093,1.314,4.668
171.63,3.045,2.126,4.668
172.14,3.053,2.126,4.67
172.64,3.055,1.314,3.058
173.15,3.071,2.126,4.668
173.66,3.056,2.126,4.67
174.17,3.059,1.314,3.058
174.68,2.995,1.314,4.675
175.19,2.99,1.314,1.407
175.79,3.058,2.126,4.668
176.3,3.032,1.747,2.485
176.81,3.025,1.314,4.668
177.38,2.983,1.314,1.407
177.9,2.988,1.314,4.67
178.47,2.983,1.314,1.407
178.99,3.033,1.314,4.67
179.5,3.042,1.314,4.67
180.03,3.06,2.126,4.668
180.73,3.018,1.314,4.675
181.25,2.984,1.427,1.508
181.78,3.114,1.325,4.672
182.29,3.107,1.314,4.675
182.8,3.115,2.126,4.668
183.4,3.018,1.314,4.67
183.91,2.988,1.314,1.407
184.43,3.123,2.126,4.668
184.94,3.066,2.126,4.67
185.45,3.005,1.343,3.058
185.96,3.1,1.771,4.668
186.47,3.095,1.771,4.67
186.98,3.107,2.126,4.668
188.19,3.056,2.126,4.672
188.7,3.018,1.314,1.407
189.38,2.991,1.441,2.062
189.9,3.016,1.314,4.668
190.41,3.005,1.314,4.67
190.93,2.973,1.314,1.407
191.9,2.972,1.478,2.062
192.43,3.009,1.314,4.675
193.0,2.972,1.314,1.407
193.53,3.026,1.415,4.668
194.04,3.083,1.318,4.668
194.56,3.096,2.126,4.668
195.8,3.021,1.314,4.67
196.36,2.988,1.327,1.407
196.89,3.071,2.126,4.668
197.65,3.021,1.314,4.67
198.18,2.988,1.478,1.558
198.71,3.114,2.126,4.668
199.28,3.061,2.126,4.672
199.79,3.026,1.314,1.407
200.38,3.032,2.126,4.668
200.89,3.037,2.126,4.67
201.4,2.999,1.314,3.058
201.91,3.118,1.327,4.668
202.42,3.062,1.771,4.668
202.93,3.085,2.126,4.668
203.73,3.037,1.314,4.668
204.32,2.989,1.439,2.062
204.85,3.056,2.126,4.668
205.53,2.993,1.314,4.668
206.03,3.049,1.314,4.67
206.55,3.12,2.126,4.668
207.48,3.02,1.314,4.67
208.02,2.991,1.427,1.508
208.54,3.099,1.771,4.668
209.05,3.093,1.771,4.672
209.55,3.012,1.314,1.407
210.06,3.033,2.126,4.668
210.57,3.037,2.126,4.67
211.14,3.022,1.314,1.407
