#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %     MB     MB     MB 
 20260711    11:54:58       0      0      0      0      0      0      0     92     13      0 
 20260711    11:54:59       0      0      0      0      0      0      0     92     13      0 
 20260711    11:55:00       0      0      0      0      0      0      0     92     13      0 
 20260711    11:55:01       0      0      0      0      0      0      0     92     13      0 
 20260711    11:55:02       0      0      0      0      0      0      0     92     13      0 
 20260711    11:55:03       0      0      0      0      0      0      0     92     13      0 
 20260711    11:55:04       0      0      0      0      0      0      0     92     13      0 
 20260711    11:55:05       0      3      0      0      0      0      0    685     15      0 
 20260711    11:55:06       0      0      0      0      0      0      0    785     15      0 
 20260711    11:55:07       0     11      1      0      0      0      0   2131     15      0 
 20260711    11:55:08       0     13      8      0      0      0      0   2097     15      0 
 20260711    11:55:09       0      8      2      0      0      0      0   2201     15      0 
 20260711    11:55:10       0     25     17      0      0      0      0   4419     15      0 
 20260711    11:55:11       0      3      1      0      0      0      0   5153     15      0 
 20260711    11:55:12       0     37     20      0      0      0      0   3581     15      0 
 20260711    11:55:13       0      3      3      0      0      0      0   5153     15      0 
 20260711    11:55:14       0     99     68      0      0      0      0   5153     15      0 
 20260711    11:55:15       0      1      1      0      0      0      0   5153     15      0 
 20260711    11:55:16       0     38     19      0      0      0      0   2043     15      0 
 20260711    11:55:17       0      0      0      0      0      0      0   5155     15      0 
 20260711    11:55:18       0      1      1      0      0      0      0   5153     15      0 
 20260711    11:55:19       0     91     59      0      0      0      0   5155     15      0 
 20260711    11:55:20       0      1      0      0      0      0      0   5153     15      0 
 20260711    11:55:21       0     99     69      0      0      0      0   5153     15      0 
 20260711    11:55:23       0      2      2      0      0      0      0   5153     15      0 
 20260711    11:55:24       0     22     17      0      0      0      0   5153     15      0 
 20260711    11:55:25       0      0      0      0      0      0      0   5153     15      0 
 20260711    11:55:26       0      0      0      0      0      0      0   5155     15      0 
 20260711    11:55:27       0      0      0      0      0      0      0   5153     15      0 
 20260711    11:55:28       0     94     65      0      0      0      0   5153     15      0 
 20260711    11:55:29       0      4      2      0      0      0      0   5153     15      0 
 20260711    11:55:30       0     87     60      0      0      0      0   5155     15      0 
 20260711    11:55:31       0      2      1      0      0      0      0   5153     15      0 
 20260711    11:55:32       0     62     40      0      0      0      0   2043     15      0 
 20260711    11:55:33       0      2      2      0      0      0      0   5153     15      0 
 20260711    11:55:34       0      0      0      0      0      0      0   5155     15      0 
 20260711    11:55:35       0      0      0      0      0      0      0   5153     15      0 
 20260711    11:55:36       0     91     61      0      0      0      0   5157     15      0 
 20260711    11:55:37       0     71     46      0      0      0      0   5153     15      0 
 20260711    11:55:38       0     99     68      0      0      0      0   5157     15      0 
 20260711    11:55:39       0     19     11      0      0      0      0   5153     15      0 
 20260711    11:55:40       0     28     12      0      0      0      0   3617     15      0 
 20260711    11:55:41       0     60     42      0      0      0      0   5159     15      0 
 20260711    11:55:42       0     90     61      0      0      0      0   5155     15      0 
#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %     MB     MB     MB 
 20260711    11:55:43       0     14      9      0      0      0      0   5153     15      0 
 20260711    11:55:44       0      0      0      0      0      0      0   5155     15      0 
 20260711    11:55:45       0     87     57      0      0      0      0   5157     15      0 
 20260711    11:55:46       0     90     63      0      0      0      0   5153     15      0 
 20260711    11:55:47       0     10      7      0      0      0      0   5153     15      0 
 20260711    11:55:48       0      3      1      0      0      0      0   5153     15      0 
 20260711    11:55:49       0     48     28      0      0      0      0   3617     15      0 
 20260711    11:55:50       0      4      2      0      0      0      0   5153     15      0 
 20260711    11:55:51       0     25      9      0      0      0      0   5153     15      0 
 20260711    11:55:52       0      0      0      0      0      0      0   5157     15      0 
 20260711    11:55:53       0     94     66      0      0      0      0   5159     15      0 
 20260711    11:55:54       0     19     11      0      0      0      0   5153     15      0 
 20260711    11:55:55       0     39     27      0      0      0      0   5159     15      0 
 20260711    11:55:56       0     20     14      0      0      0      0   5155     15      0 
 20260711    11:55:57       0     10      5      0      0      0      0   5153     15      0 
 20260711    11:55:58       0     46     26      0      0      0      0   3617     15      0 
 20260711    11:55:59       0     66     46      0      0      0      0   5155     15      0 
 20260711    11:56:00       0     17      0      0      0      0      0   5157     15      0 
