t_s,rss_gb,cuda_alloc_gb,cuda_reserved_gb
0.0,0.621,0.0,0.0
0.53,0.694,0.0,0.0
1.04,0.778,0.0,0.0
1.54,0.83,0.0,0.0
2.05,0.835,0.0,0.0
2.55,0.855,0.0,0.0
3.06,0.872,0.0,0.0
3.57,0.873,0.0,0.0
4.07,0.879,0.0,0.0
4.58,0.899,0.0,0.0
5.09,0.909,0.0,0.0
5.6,0.881,0.0,0.0
6.1,0.99,0.0,0.0
6.63,1.058,0.0,0.0
7.19,1.287,0.084,0.094
7.78,2.085,0.084,0.094
8.29,1.326,0.694,1.355
8.81,2.304,0.694,1.355
9.32,1.396,1.38,2.036
9.82,1.785,1.43,1.627
10.33,1.889,22.205,22.284
10.84,1.936,1.46,2.439
11.35,2.432,1.371,1.468
11.86,2.768,1.314,1.466
12.37,2.835,1.314,3.899
12.88,2.89,2.126,4.668
13.61,2.84,1.314,4.668
14.12,2.832,1.314,1.407
14.75,2.912,2.126,4.668
15.84,2.843,1.314,4.668
16.41,2.834,1.314,1.407
16.93,2.91,2.126,4.668
17.67,2.913,1.314,4.67
18.19,2.909,1.314,1.407
18.71,2.929,1.314,4.668
19.22,2.929,2.126,4.67
19.72,2.958,2.126,3.595
20.24,2.908,2.126,4.668
20.75,2.871,1.314,4.668
21.29,2.833,1.452,1.609
21.82,2.912,2.126,4.668
22.76,2.834,1.314,4.668
23.27,2.891,1.314,4.668
23.79,2.903,2.126,4.668
25.12,2.871,1.314,4.668
25.67,2.833,1.327,1.407
26.19,2.908,2.126,4.668
27.04,2.871,1.314,4.67
27.59,2.833,1.314,1.407
28.13,2.912,2.126,4.668
28.85,2.85,1.314,4.668
29.36,2.897,1.314,1.407
29.88,2.908,2.126,4.668
30.93,2.873,1.314,4.67
31.45,2.834,1.314,1.407
31.98,2.912,2.126,4.668
32.63,2.85,1.314,4.668
33.14,2.895,1.314,4.668
33.65,2.908,2.126,4.668
35.0,2.863,1.314,4.67
35.57,2.834,1.314,1.407
36.12,2.912,2.126,4.668
36.84,2.896,2.126,4.672
37.36,2.834,1.528,1.609
37.89,2.907,2.126,4.668
38.4,2.932,1.771,4.668
38.9,2.911,2.126,4.668
39.41,2.911,2.126,4.672
39.92,2.838,1.441,2.062
40.43,2.947,1.314,4.668
40.95,2.95,1.314,4.672
41.45,2.915,2.126,4.668
41.97,2.919,2.126,4.675
42.47,2.841,1.41,2.062
42.99,2.919,1.314,4.668
43.5,2.906,2.126,4.67
44.0,2.962,2.126,3.595
44.52,2.913,2.126,4.668
45.11,2.912,2.126,4.67
45.62,2.894,1.314,3.058
46.13,2.881,1.314,4.672
46.64,2.885,1.314,4.672
47.14,2.938,1.771,4.668
47.65,2.912,2.126,4.668
48.16,2.941,1.314,3.058
48.68,2.909,2.159,4.668
49.62,2.843,1.314,4.668
50.13,2.897,1.314,4.67
50.66,2.917,2.126,4.668
51.64,2.917,2.126,4.672
52.15,2.839,1.407,2.062
52.67,2.908,2.126,4.668
53.18,2.912,2.126,4.672
53.69,2.951,1.314,3.058
54.2,2.96,1.314,4.668
54.7,2.942,1.314,4.675
55.21,2.909,2.126,4.668
55.98,2.883,1.32,4.675
56.5,2.839,1.314,1.407
57.03,2.905,2.126,4.668
57.54,2.904,2.126,4.672
58.05,2.919,1.314,3.058
58.56,2.866,1.314,4.672
59.06,2.871,1.332,4.672
59.57,2.915,2.126,4.668
60.08,2.915,2.126,4.67
60.59,2.904,1.314,3.058
61.09,2.887,1.314,4.672
61.67,2.857,1.327,1.407
62.19,2.882,1.314,4.672
62.7,2.892,1.314,4.672
63.21,2.924,1.771,4.668
63.72,2.908,2.126,4.67
64.23,2.91,1.314,3.058
64.73,2.917,2.126,4.668
65.24,2.856,1.314,4.668
65.75,2.897,1.314,4.67
66.26,2.908,2.126,4.668
67.2,2.872,1.314,4.67
67.72,2.838,1.314,1.407
68.25,2.917,2.126,4.668
68.79,2.907,2.126,4.672
69.32,2.838,1.327,1.407
69.84,2.934,1.771,4.668
70.35,2.934,1.771,4.672
70.87,2.905,2.126,4.668
71.51,2.904,2.126,4.672
72.02,2.835,1.314,1.407
72.54,2.938,1.771,4.668
73.05,2.942,1.771,4.672
73.56,2.918,2.126,4.668
74.15,2.917,2.126,4.672
74.66,2.848,1.343,3.058
75.17,2.938,1.314,4.668
75.68,2.938,1.771,4.672
76.18,2.909,2.126,4.668
76.79,2.908,2.126,4.672
77.3,2.835,1.314,1.407
77.81,2.913,2.126,4.668
78.32,2.913,2.126,4.672
78.83,2.853,1.343,3.058
79.34,2.874,1.381,4.668
79.85,2.934,1.771,4.668
80.36,2.918,2.126,4.668
81.47,2.916,2.126,4.672
81.98,2.84,1.402,2.062
82.5,2.867,1.352,4.668
83.02,2.934,1.771,4.668
83.52,2.901,2.126,4.668
85.17,2.844,1.314,4.668
85.74,2.835,1.389,1.458
86.27,2.901,2.126,4.668
87.42,2.844,1.314,4.668
87.93,2.901,1.314,4.67
88.47,2.916,2.126,4.668
89.75,2.854,1.314,4.668
90.33,2.842,1.314,1.407
90.86,2.92,2.126,4.668
91.87,2.888,1.314,4.67
92.4,2.842,1.389,1.458
92.93,2.904,2.126,4.668
93.53,2.87,1.314,4.672
94.06,2.836,1.427,1.609
94.58,2.972,1.314,4.668
95.09,2.954,1.314,4.675
95.61,2.919,2.126,4.668
96.39,2.918,2.126,4.672
96.9,2.841,1.343,3.058
97.41,2.925,1.771,4.668
97.92,2.934,1.771,4.67
98.43,2.909,2.126,4.668
98.93,2.873,1.314,4.668
99.48,2.835,1.399,2.062
100.03,2.901,2.126,4.668
100.82,2.879,1.314,4.672
101.33,2.835,1.314,1.407
101.85,2.913,2.126,4.668
102.36,2.913,2.126,4.67
102.87,2.931,1.314,3.058
103.38,2.909,2.126,4.668
103.9,2.848,1.314,4.668
104.47,2.84,1.314,1.407
105.0,2.918,2.126,4.668
105.98,2.848,1.314,4.668
106.49,2.894,1.314,4.67
107.01,2.9,2.126,4.668
108.1,2.843,1.314,4.668
108.68,2.835,1.478,1.558
109.21,2.909,2.126,4.668
110.34,2.872,1.314,4.67
110.87,2.834,1.314,1.407
111.4,2.901,2.126,4.668
112.01,2.869,1.314,4.675
112.54,2.838,1.314,1.407
113.06,2.915,2.126,4.668
113.57,2.915,2.126,4.668
114.08,2.858,1.343,3.058
114.58,2.92,2.126,4.668
115.78,2.875,1.314,4.67
116.32,2.842,1.314,1.407
116.85,2.903,2.126,4.668
118.25,2.903,2.126,4.67
118.76,2.844,1.343,3.058
119.27,2.91,2.126,4.668
