#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %     MB     MB     MB 
 20260722    04:28:03       0      0      0      0      0      0      0     92     13      0 
 20260722    04:28:04       0      0      0      0      0      0      0     92     13      0 
 20260722    04:28:05       0      0      0      0      0      0      0     92     13      0 
 20260722    04:28:06       0      0      0      0      0      0      0     92     13      0 
 20260722    04:28:07       0      0      0      0      0      0      0     92     13      0 
 20260722    04:28:08       0      0      0      0      0      0      0     92     13      0 
 20260722    04:28:09       0      0      0      0      0      0      0     92     13      0 
 20260722    04:28:10       0      0      0      0      0      0      0     92     13      0 
 20260722    04:28:11       0      0      0      0      0      0      0     92     13      0 
 20260722    04:28:12       0      0      0      0      0      0      0     92     13      0 
 20260722    04:28:13       0      0      0      0      0      0      0     92     13      0 
 20260722    04:28:14       0      0      0      0      0      0      0     92     13      0 
 20260722    04:28:15       0      0      0      0      0      0      0     92     13      0 
 20260722    04:28:16       0      0      0      0      0      0      0     92     13      0 
 20260722    04:28:17       0      0      0      0      0      0      0     92     13      0 
 20260722    04:28:18       0      0      0      0      0      0      0     92     13      0 
 20260722    04:28:19       0      0      0      0      0      0      0     92     13      0 
 20260722    04:28:20       0      0      0      0      0      0      0     92     13      0 
 20260722    04:28:21       0      0      0      0      0      0      0     92     13      0 
 20260722    04:28:22       0      0      0      0      0      0      0     92     13      0 
 20260722    04:28:23       0      0      0      0      0      0      0     92     13      0 
 20260722    04:28:24       0      0      0      0      0      0      0     92     13      0 
 20260722    04:28:25       0      0      0      0      0      0      0    685     15      0 
 20260722    04:28:26       0      0      0      0      0      0      0   1667     15      0 
 20260722    04:28:27       0     23      9      0      0      0      0   6781     15      0 
 20260722    04:28:28       0     46     25      0      0      0      0   1207     15      0 
 20260722    04:28:29       0      2      0      0      0      0      0   2785     15      0 
 20260722    04:28:30       0      0      0      0      0      0      0   2785     15      0 
 20260722    04:28:31       0      1      0      0      0      0      0   2785     15      0 
 20260722    04:28:32       0      0      0      0      0      0      0   2785     15      0 
 20260722    04:28:33       0     74     40      0      0      0      0   2785     15      0 
 20260722    04:28:34       0      0      0      0      0      0      0   1207     15      0 
 20260722    04:28:35       0     10      5      0      0      0      0   2785     15      0 
 20260722    04:28:36       0      0      0      0      0      0      0   2785     15      0 
