t_s,rss_gb,cuda_alloc_gb,cuda_reserved_gb
0.0,0.633,0.0,0.0
0.54,0.767,0.0,0.0
1.05,0.768,0.0,0.0
1.56,0.768,0.0,0.0
2.07,0.805,0.0,0.0
2.58,0.805,0.0,0.0
3.09,0.805,0.0,0.0
3.6,0.898,0.0,0.0
4.1,0.904,0.0,0.0
4.62,0.937,0.0,0.0
5.12,0.967,0.0,0.0
5.62,0.967,0.0,0.0
6.13,0.953,0.0,0.0
6.63,0.976,0.0,0.0
7.14,0.967,0.0,0.0
7.64,0.981,0.0,0.0
8.15,0.971,0.0,0.0
8.65,0.979,0.0,0.0
9.15,1.019,0.0,0.0
9.66,1.01,0.0,0.0
10.16,1.019,0.0,0.0
10.68,1.019,0.0,0.0
11.19,1.006,0.0,0.0
11.69,1.025,0.0,0.0
12.2,1.012,0.0,0.0
12.71,1.032,0.0,0.0
13.21,1.043,0.0,0.0
13.72,1.041,0.0,0.0
14.23,1.034,0.0,0.0
14.73,1.033,0.0,0.0
15.24,1.026,0.0,0.0
15.75,1.052,0.0,0.0
16.26,1.044,0.0,0.0
16.76,1.033,0.0,0.0
17.27,1.061,0.0,0.0
17.78,1.063,0.0,0.0
18.28,1.06,0.0,0.0
18.79,1.064,0.0,0.0
19.29,1.062,0.0,0.0
19.8,1.044,0.0,0.0
20.31,1.035,0.0,0.0
20.82,1.114,0.0,0.0
21.35,1.187,0.0,0.0
21.87,1.431,0.084,0.094
22.42,1.445,0.263,0.663
22.94,1.462,0.444,0.83
23.47,1.938,0.577,0.619
23.97,2.045,9.341,9.454
24.49,2.351,0.752,0.784
25.0,2.866,0.453,0.617
25.51,3.049,0.468,2.185
26.08,2.915,0.725,1.372
26.6,3.094,0.459,2.185
28.09,2.9,0.482,2.181
28.6,3.068,0.468,2.185
29.76,2.909,0.453,2.181
30.29,3.076,0.469,2.185
31.25,3.005,0.453,0.531
31.76,3.067,0.467,2.185
33.16,2.908,0.482,2.181
33.68,3.074,0.466,2.185
34.84,2.924,0.453,0.531
35.36,3.072,0.465,2.185
36.33,2.922,0.482,2.181
36.84,3.13,0.466,2.185
37.81,2.978,0.482,2.181
38.33,3.067,0.467,2.185
39.1,3.07,0.453,2.185
39.62,3.058,0.466,2.185
40.16,2.978,0.482,2.181
40.67,3.06,0.467,2.185
41.7,3.071,0.453,2.185
42.23,3.059,0.979,2.185
42.84,3.066,0.514,2.185
43.35,3.069,0.467,2.185
44.04,3.066,0.529,2.185
44.56,3.06,0.467,2.185
45.99,3.067,0.537,2.185
46.5,3.059,0.467,2.185
47.55,2.982,0.535,1.185
48.07,3.063,0.467,2.185
48.58,3.074,0.524,2.185
49.1,3.054,0.467,2.185
50.01,3.065,0.477,2.185
50.52,3.058,0.467,2.185
51.39,3.069,0.453,2.185
51.92,3.123,0.464,2.185
52.63,2.977,0.482,2.181
53.15,3.056,0.467,2.185
53.71,3.067,0.506,2.185
54.23,3.064,0.467,2.185
55.35,3.067,0.453,2.185
55.87,3.065,0.467,2.185
56.55,2.993,0.453,2.181
57.05,3.059,0.453,2.185
57.56,3.044,0.752,2.187
58.08,3.061,0.467,2.185
58.58,2.972,0.453,0.531
59.11,3.05,0.979,2.185
59.62,3.071,0.467,2.185
60.14,2.981,0.453,2.181
60.65,3.074,0.467,2.185
61.16,3.057,0.462,2.185
61.66,3.056,0.453,2.181
62.17,3.089,0.453,2.185
62.69,3.07,0.467,2.185
63.26,3.064,0.453,2.185
63.77,3.065,0.467,2.185
64.56,3.076,0.453,2.185
65.08,3.128,0.458,2.185
65.81,2.972,0.482,2.181
66.33,3.073,1.432,2.185
67.16,3.071,0.467,2.185
67.67,3.138,0.46,2.185
68.61,2.983,0.533,1.185
69.14,2.986,0.463,2.185
70.69,2.98,0.453,2.181
71.2,3.07,0.467,2.185
71.72,3.072,0.453,2.185
72.23,3.015,0.453,0.531
72.74,2.966,0.453,2.185
73.25,3.068,0.527,2.185
74.14,3.064,0.514,2.185
74.66,3.137,0.467,2.185
75.72,3.015,0.453,2.181
76.23,3.132,0.453,2.185
76.96,3.065,0.467,2.185
77.47,3.011,0.453,2.181
77.98,3.069,0.467,2.187
78.49,3.069,0.467,2.185
79.0,3.068,0.453,2.185
79.53,3.149,0.464,2.185
80.45,2.977,0.482,2.181
80.97,3.062,0.467,2.185
81.54,3.138,0.453,2.185
82.09,3.126,0.455,2.185
83.57,3.012,0.453,2.181
84.08,2.97,0.453,2.185
84.6,3.063,1.206,2.185
85.29,3.07,0.457,2.185
85.8,3.059,0.467,2.185
86.33,3.133,0.453,2.185
86.84,3.131,0.465,2.185
87.77,2.973,0.482,2.181
88.29,3.017,0.453,0.531
88.92,3.103,0.453,2.185
89.43,3.053,0.467,2.185
89.94,3.066,0.453,2.185
90.45,3.0,0.453,2.185
90.96,3.099,0.453,2.185
91.53,2.998,0.453,2.181
92.04,3.065,0.453,2.185
92.56,3.074,0.467,2.185
93.07,3.034,0.526,2.185
93.58,2.983,0.453,2.185
94.09,3.097,0.453,2.185
94.6,2.992,0.453,2.181
95.11,3.059,0.467,2.185
95.62,3.013,0.453,2.185
96.13,3.069,0.467,2.185
96.64,3.068,0.453,2.185
97.17,3.128,0.467,2.185
97.88,2.978,0.482,2.181
98.4,3.133,0.468,2.185
99.41,2.984,0.55,1.185
99.94,3.128,0.472,2.185
100.82,3.065,0.453,2.185
101.34,3.075,0.639,2.185
102.39,3.078,0.453,2.185
102.91,3.066,0.467,2.185
103.41,3.078,0.458,2.185
103.95,3.125,0.464,2.185
104.78,2.982,0.453,2.181
105.29,3.052,0.453,2.185
105.81,2.983,0.466,0.531
106.33,3.144,0.463,2.185
106.92,2.983,0.453,2.181
107.43,2.995,0.453,2.185
107.94,3.081,0.453,2.185
108.45,3.025,0.453,0.531
108.96,2.954,0.453,2.187
109.47,3.068,0.467,2.185
110.23,2.984,0.58,1.185
110.76,3.041,0.453,2.187
111.28,3.035,0.467,2.185
112.13,3.14,0.453,2.185
112.65,3.058,0.866,2.185
113.69,2.982,0.552,1.185
114.22,3.075,0.467,2.185
114.73,3.062,0.511,2.185
115.24,3.026,0.453,2.181
115.75,3.075,0.543,2.185
116.27,2.983,0.453,2.181
116.78,3.131,0.465,2.185
117.79,2.987,0.453,2.181
118.31,3.13,0.464,2.185
118.98,2.991,0.453,2.181
119.48,3.137,0.464,2.185
120.0,3.011,0.453,2.181
120.51,3.061,0.467,2.185
121.05,3.072,0.453,2.185
121.57,3.073,0.453,2.187
122.08,2.987,0.453,2.181
122.59,3.074,0.467,2.185
123.1,3.064,0.453,2.187
123.61,3.002,0.453,2.181
124.12,2.98,0.453,2.185
124.63,3.076,0.467,2.185
