t_s,rss_gb,cuda_alloc_gb,cuda_reserved_gb
0.0,0.633,0.0,0.0
0.54,0.768,0.0,0.0
1.05,0.768,0.0,0.0
1.55,0.769,0.0,0.0
2.06,0.8,0.0,0.0
2.57,0.8,0.0,0.0
3.08,0.801,0.0,0.0
3.59,0.884,0.0,0.0
4.09,0.921,0.0,0.0
4.59,0.96,0.0,0.0
5.1,0.963,0.0,0.0
5.6,0.924,0.0,0.0
6.11,0.952,0.0,0.0
6.62,0.956,0.0,0.0
7.13,0.98,0.0,0.0
7.64,0.962,0.0,0.0
8.15,0.958,0.0,0.0
8.66,0.978,0.0,0.0
9.17,0.99,0.0,0.0
9.68,0.986,0.0,0.0
10.18,1.004,0.0,0.0
10.69,0.979,0.0,0.0
11.2,1.013,0.0,0.0
11.7,1.005,0.0,0.0
12.21,1.028,0.0,0.0
12.71,0.977,0.0,0.0
13.22,1.001,0.0,0.0
13.72,1.014,0.0,0.0
14.23,0.995,0.0,0.0
14.74,1.016,0.0,0.0
15.24,1.003,0.0,0.0
15.75,1.018,0.0,0.0
16.25,1.013,0.0,0.0
16.76,1.001,0.0,0.0
17.27,1.032,0.0,0.0
17.78,1.025,0.0,0.0
18.28,1.04,0.0,0.0
18.79,1.023,0.0,0.0
19.3,1.011,0.0,0.0
19.81,1.037,0.0,0.0
20.32,1.009,0.0,0.0
20.83,1.102,0.0,0.0
21.64,1.374,0.055,0.069
22.18,1.736,0.084,0.094
22.69,1.754,0.263,0.663
23.19,1.788,0.557,0.623
23.7,1.969,0.537,0.573
24.22,2.024,1.094,1.554
24.73,2.551,0.463,0.614
25.24,2.81,0.453,0.531
25.76,2.885,0.453,2.185
26.28,3.014,0.467,2.185
28.12,2.842,0.7,1.185
28.65,3.052,0.466,2.185
29.86,2.903,0.453,2.181
30.37,2.992,0.468,2.185
31.23,2.996,0.453,2.185
31.76,3.063,0.47,2.185
33.19,2.904,0.548,1.185
33.72,3.059,0.466,2.185
35.0,2.903,0.551,1.185
35.51,2.982,0.465,2.185
36.35,2.894,0.453,2.181
36.86,3.116,0.466,2.185
37.82,2.96,0.482,2.181
38.34,3.036,0.464,2.185
39.02,2.944,0.453,2.181
39.53,3.043,0.467,2.185
40.12,3.043,0.466,2.185
40.63,3.045,0.467,2.185
41.69,3.043,0.453,2.185
42.2,3.042,0.467,2.185
42.84,3.043,0.514,2.185
43.36,3.04,0.467,2.185
44.07,3.118,0.465,2.185
44.59,3.04,0.467,2.185
45.93,3.051,0.453,2.185
46.46,3.052,0.467,2.185
47.56,3.051,0.453,2.185
48.08,3.049,0.467,2.185
48.65,3.048,0.54,2.185
49.16,3.049,0.467,2.185
50.11,3.052,0.453,2.185
50.62,3.048,0.467,2.185
51.4,3.047,0.453,2.185
51.94,3.037,1.376,2.185
52.66,3.04,0.505,2.185
53.17,3.038,0.525,2.185
53.82,3.049,0.472,2.185
54.33,3.103,0.456,2.185
55.58,2.982,0.453,2.181
56.08,3.016,0.453,2.185
56.6,3.05,0.467,2.185
57.12,3.003,0.453,2.181
57.63,3.074,0.453,2.187
58.13,3.003,0.474,2.185
58.65,3.037,0.453,2.181
59.16,3.053,0.467,2.185
59.67,2.956,0.453,2.185
60.18,3.053,0.467,2.185
60.69,2.96,0.623,1.185
61.21,2.982,0.453,2.185
61.72,3.04,0.467,2.185
62.23,2.948,0.482,2.181
62.74,3.108,0.453,2.185
63.25,2.957,0.482,2.181
63.77,3.118,0.465,2.185
64.54,2.948,0.482,2.181
65.05,3.045,0.467,2.185
65.6,3.044,0.521,2.185
66.12,3.041,0.582,2.185
67.07,3.12,0.453,2.185
67.58,3.107,0.468,2.185
68.55,3.044,0.453,0.531
69.07,3.122,0.463,2.185
70.76,2.962,0.482,2.181
71.27,3.042,0.639,2.185
71.83,3.053,0.453,2.185
72.34,3.0,0.453,0.531
72.85,2.93,0.453,2.185
73.36,3.043,0.467,2.185
74.31,3.041,0.463,2.185
74.82,3.11,0.467,2.185
75.96,2.961,0.453,2.181
76.48,3.041,0.467,2.185
77.25,2.971,0.453,2.181
77.76,3.045,0.467,2.185
78.28,2.976,0.453,2.187
78.79,3.051,0.467,2.185
79.33,3.086,0.453,2.185
79.86,3.055,0.467,2.185
80.92,3.053,0.514,2.185
81.44,3.1,0.468,2.185
82.13,2.942,0.453,0.531
82.66,3.099,0.463,2.185
84.07,2.961,0.453,2.181
84.59,2.992,0.453,2.185
85.1,3.051,0.467,2.185
85.71,3.049,0.465,2.185
86.22,2.991,0.609,2.185
86.73,2.961,0.843,1.034
87.25,3.039,0.467,2.185
88.33,3.053,0.453,2.185
88.84,3.001,0.453,0.531
89.6,3.017,0.453,2.185
90.11,3.035,0.467,2.185
90.62,2.988,0.453,2.181
91.13,3.057,0.467,2.185
91.64,3.008,0.453,2.185
92.15,3.052,0.467,2.185
92.66,2.961,0.453,2.181
93.17,3.05,0.453,2.185
93.68,3.042,0.467,2.185
94.19,2.943,0.453,2.185
94.7,3.116,0.462,2.185
95.21,3.027,0.453,2.181
95.72,3.046,0.467,2.185
96.23,2.949,0.453,2.185
96.73,3.046,0.467,2.185
97.24,3.045,0.453,2.185
97.75,3.098,0.467,2.185
98.6,2.96,0.539,1.185
99.12,3.045,0.469,2.185
100.05,3.048,0.453,0.531
100.58,3.114,0.46,2.185
101.43,3.052,0.453,0.531
101.95,3.119,0.463,2.185
103.14,2.965,0.482,2.181
103.64,2.969,0.466,2.185
104.15,2.96,0.453,2.181
104.68,3.057,0.467,2.185
105.38,3.056,0.453,2.185
105.89,3.049,0.453,2.185
106.41,2.959,0.566,0.631
106.93,3.049,0.467,2.185
107.43,3.052,0.453,2.187
107.94,2.975,0.453,2.185
108.45,3.097,0.453,2.185
108.95,2.993,0.453,0.531
109.46,2.93,0.453,2.187
109.98,3.044,0.866,2.185
110.76,2.959,0.594,1.185
