#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %     MB     MB     MB 
 20260722    03:55:35       0      0      0      0      0      0      0     92     13      0 
 20260722    03:55:36       0      0      0      0      0      0      0     92     13      0 
 20260722    03:55:37       0      0      0      0      0      0      0     92     13      0 
 20260722    03:55:38       0      0      0      0      0      0      0     92     13      0 
 20260722    03:55:39       0      0      0      0      0      0      0     92     13      0 
 20260722    03:55:40       0      0      0      0      0      0      0     92     13      0 
 20260722    03:55:41       0      0      0      0      0      0      0     92     13      0 
 20260722    03:55:42       0      4      0      0      0      0      0    685     15      0 
 20260722    03:55:43       0      0      0      0      0      0      0   1527     15      0 
 20260722    03:55:44       0     79     31      0      0      0      0   1647     15      0 
 20260722    03:55:45       0      2      0      0      0      0      0   1287     15      0 
 20260722    03:55:46       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:55:47       0     34     19      0      0      0      0   2785     15      0 
 20260722    03:55:48       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:55:49       0     32     17      0      0      0      0   2785     15      0 
 20260722    03:55:50       0     27     11      0      0      0      0   2785     15      0 
 20260722    03:55:51       0     90     49      0      0      0      0   2785     15      0 
 20260722    03:55:52       0     27      6      0      0      0      0   2785     15      0 
 20260722    03:55:53       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:55:54       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:55:55       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:55:56       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:55:57       0     45     16      0      0      0      0   2785     15      0 
 20260722    03:55:58       0      4      0      0      0      0      0   2785     15      0 
 20260722    03:55:59       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:56:00       0     56     30      0      0      0      0   2785     15      0 
 20260722    03:56:01       0      4      0      0      0      0      0   2785     15      0 
 20260722    03:56:02       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:56:03       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:56:04       0      0      0      0      0      0      0   2783     15      0 
 20260722    03:56:05       0     59     32      0      0      0      0   2785     15      0 
