t_s,rss_gb,cuda_alloc_gb,cuda_reserved_gb
0.0,0.633,0.0,0.0
0.53,0.694,0.0,0.0
1.04,0.771,0.0,0.0
1.54,0.814,0.0,0.0
2.05,0.841,0.0,0.0
2.55,0.838,0.0,0.0
3.06,0.873,0.0,0.0
3.57,0.857,0.0,0.0
4.07,0.866,0.0,0.0
4.58,0.88,0.0,0.0
5.09,0.875,0.0,0.0
5.6,0.861,0.0,0.0
6.13,1.001,0.0,0.0
6.81,1.255,0.084,0.094
7.32,1.609,0.084,0.094
7.83,1.627,0.263,0.663
8.34,1.679,0.569,0.724
8.85,1.863,21.345,21.38
9.36,1.923,0.444,0.835
9.87,2.557,0.462,0.614
10.38,2.725,0.482,2.181
10.89,2.922,0.472,2.185
11.74,2.756,0.453,0.531
12.25,2.933,0.458,2.185
13.64,2.782,1.237,2.181
14.16,2.93,0.464,2.185
14.92,2.808,0.453,2.181
15.43,2.802,0.453,2.185
15.95,2.889,0.472,2.185
16.88,2.782,0.58,1.185
17.44,2.928,0.469,2.185
18.46,2.872,0.453,2.185
18.98,2.932,0.466,2.185
20.44,2.781,0.482,2.181
20.96,2.939,0.458,2.185
22.01,2.786,0.453,2.181
22.52,2.924,0.467,2.185
23.4,2.781,0.482,2.181
23.93,2.94,0.465,2.185
25.04,2.771,0.482,2.181
25.55,2.933,0.472,2.185
26.41,2.767,0.453,0.531
26.93,2.997,0.466,2.185
28.59,2.841,0.453,0.531
29.11,2.922,0.467,2.185
30.04,2.933,0.453,2.185
30.56,2.94,0.453,2.185
31.06,2.876,0.453,2.181
31.57,2.986,0.453,2.185
32.08,2.924,0.453,2.185
32.59,2.915,1.319,2.185
33.25,2.93,0.453,2.187
33.76,2.934,0.467,2.185
34.27,2.827,0.453,0.531
34.8,2.936,0.866,2.185
35.57,2.939,0.453,2.185
36.08,2.864,0.453,2.185
36.59,2.987,0.453,2.185
37.1,2.925,0.453,2.185
37.61,2.933,0.467,2.185
38.92,2.83,0.466,0.531
39.44,2.927,0.467,2.185
40.57,2.938,0.453,2.187
41.08,2.934,0.467,2.185
41.59,2.933,0.453,2.185
42.1,2.923,0.467,2.185
42.61,2.842,0.482,2.181
43.14,2.932,0.467,2.185
43.81,2.93,0.453,2.187
44.32,2.923,0.467,2.185
45.02,2.831,0.843,1.034
45.54,2.839,0.453,2.185
46.05,2.923,0.467,2.185
46.67,2.922,0.453,2.185
47.18,2.879,0.467,2.185
47.69,2.889,0.483,2.185
48.2,2.887,0.453,2.181
48.71,2.923,0.467,2.185
49.23,2.933,0.467,2.185
50.28,2.978,0.453,2.185
50.8,3.004,0.464,2.185
52.08,2.847,0.482,2.181
52.59,2.932,0.525,2.185
53.14,2.93,0.453,2.185
53.65,2.933,1.263,2.185
54.18,2.937,0.453,2.185
54.69,2.928,0.453,2.185
55.2,2.914,0.453,2.181
55.71,2.859,0.453,2.187
56.22,2.935,0.467,2.185
56.98,2.933,0.453,2.185
57.49,2.938,0.458,2.185
58.01,2.898,0.453,2.181
58.52,2.933,0.453,2.185
59.03,2.834,0.866,2.185
59.81,2.933,0.453,2.185
60.32,2.933,0.517,2.185
60.83,2.881,0.453,2.181
61.35,2.928,0.467,2.185
62.31,2.926,0.453,2.185
62.82,2.94,0.453,2.185
63.34,2.892,0.453,2.181
63.87,3.006,0.468,2.185
65.35,2.93,0.453,0.531
65.87,2.932,0.453,2.185
67.42,2.93,0.453,2.185
67.93,2.936,0.539,2.185
69.48,3.003,0.453,2.185
70.0,2.94,0.866,2.185
71.39,2.939,0.509,2.185
71.91,2.92,0.525,2.185
72.73,2.931,0.453,2.185
73.24,2.827,0.453,2.187
73.76,2.928,0.525,2.185
74.59,2.931,0.453,2.185
75.1,2.835,0.453,2.185
75.61,2.928,0.467,2.185
76.17,3.005,0.453,2.185
76.68,2.923,0.539,2.185
77.6,2.934,0.453,2.185
78.12,2.948,0.453,2.185
78.63,2.845,1.27,1.877
79.15,2.92,0.468,2.185
79.73,2.832,0.482,2.181
80.24,2.929,0.467,2.185
81.44,2.998,0.453,2.185
81.96,2.932,0.467,2.185
83.31,3.001,0.467,2.185
83.83,2.924,0.467,2.185
85.21,2.922,0.453,2.185
85.74,2.932,0.554,2.185
86.64,2.931,0.453,2.185
87.15,2.995,0.453,2.185
87.66,2.832,0.541,1.185
88.19,2.935,0.582,2.185
89.63,2.934,0.462,2.185
90.16,2.924,0.467,2.185
91.84,2.927,0.512,2.185
92.39,2.932,0.467,2.185
93.63,2.931,0.502,2.185
94.14,2.923,0.467,2.185
94.65,2.847,0.453,0.531
95.16,2.925,0.468,2.185
95.82,2.843,0.55,1.185
96.35,2.986,0.467,2.185
97.29,2.825,0.453,0.531
97.82,2.939,0.467,2.185
99.01,2.833,0.453,0.531
99.53,2.942,0.467,2.185
