#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %     MB     MB     MB 
 20260722    04:08:58       0      0      0      0      0      0      0     92     13      0 
 20260722    04:08:59       0      0      0      0      0      0      0     92     13      0 
 20260722    04:09:00       0      0      0      0      0      0      0     92     13      0 
 20260722    04:09:01       0      1      9      0      0      0      0     92     13      0 
 20260722    04:09:02       0      0      0      0      0      0      0     92     13      0 
 20260722    04:09:03       0      0      0      0      0      0      0     92     13      0 
 20260722    04:09:04       0      0      0      0      0      0      0     92     13      0 
 20260722    04:09:05       0      0      0      0      0      0      0     92     13      0 
 20260722    04:09:06       0      0      0      0      0      0      0     92     13      0 
 20260722    04:09:07       0      0      0      0      0      0      0     92     13      0 
 20260722    04:09:08       0      0      0      0      0      0      0     92     13      0 
 20260722    04:09:09       0      0      0      0      0      0      0     92     13      0 
 20260722    04:09:10       0      0      0      0      0      0      0     92     13      0 
 20260722    04:09:11       0      0      0      0      0      0      0     92     13      0 
 20260722    04:09:12       0      0      1      0      0      0      0     92     13      0 
 20260722    04:09:13       0      0      0      0      0      0      0     92     13      0 
 20260722    04:09:14       0      0      0      0      0      0      0     92     13      0 
 20260722    04:09:15       0      0      0      0      0      0      0     92     13      0 
 20260722    04:09:16       0      0      1      0      0      0      0     92     13      0 
 20260722    04:09:17       0      0      0      0      0      0      0     92     13      0 
 20260722    04:09:18       0      0      0      0      0      0      0     92     13      0 
 20260722    04:09:19       0      0      0      0      0      0      0     92     13      0 
 20260722    04:09:20       0      0      0      0      0      0      0   1125     15      0 
 20260722    04:09:21       0      9      6      0      0      0      0   1279     15      0 
 20260722    04:09:22       0     50     23      0      0      0      0   1447     15      0 
 20260722    04:09:23       0     12      5      0      0      0      0   2783     15      0 
 20260722    04:09:24       0     20      9      0      0      0      0   2783     15      0 
 20260722    04:09:25       0      2      0      0      0      0      0   2785     15      0 
 20260722    04:09:26       0     82     44      0      0      0      0   1207     15      0 
 20260722    04:09:27       0      0      0      0      0      0      0   2785     15      0 
 20260722    04:09:28       0      5      2      0      0      0      0   2785     15      0 
 20260722    04:09:29       0      9      3      0      0      0      0   2785     15      0 
 20260722    04:09:30       0      0      0      0      0      0      0   2785     15      0 
 20260722    04:09:31       0     33     15      0      0      0      0   2785     15      0 
 20260722    04:09:32       0      0      0      0      0      0      0   2785     15      0 
 20260722    04:09:33       0     34     14      0      0      0      0   2785     15      0 
 20260722    04:09:34       0      0      0      0      0      0      0   2785     15      0 
 20260722    04:09:35       0     19      9      0      0      0      0   2785     15      0 
 20260722    04:09:36       0      0      0      0      0      0      0   1207     15      0 
 20260722    04:09:37       0      3      1      0      0      0      0   2785     15      0 
 20260722    04:09:38       0      2      2      0      0      0      0   2783     15      0 
 20260722    04:09:39       0      7      3      0      0      0      0   2783     15      0 
 20260722    04:09:40       0      1      1      0      0      0      0   2785     15      0 
 20260722    04:09:41       0      3      2      0      0      0      0   2785     15      0 
#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %     MB     MB     MB 
 20260722    04:09:42       0      3      1      0      0      0      0   2781     15      0 
 20260722    04:09:43       0     29     13      0      0      0      0   2785     15      0 
 20260722    04:09:44       0      4      2      0      0      0      0   2785     15      0 
 20260722    04:09:45       0     38     17      0      0      0      0   2785     15      0 
 20260722    04:09:46       0      0      0      0      0      0      0   2785     15      0 
 20260722    04:09:47       0     17      3      0      0      0      0   2783     15      0 
 20260722    04:09:48       0      0      0      0      0      0      0   1207     15      0 
 20260722    04:09:49       0      3      1      0      0      0      0   2785     15      0 
 20260722    04:09:50       0     19      9      0      0      0      0   2785     15      0 
 20260722    04:09:51       0     27      9      0      0      0      0   2785     15      0 
 20260722    04:09:52       0     10      0      0      0      0      0   2785     15      0 
 20260722    04:09:53       0     16      9      0      0      0      0   2785     15      0 
 20260722    04:09:54       0      2      1      0      0      0      0   2783     15      0 
 20260722    04:09:55       0     27      0      0      0      0      0   2785     15      0 
 20260722    04:09:56       0      0      0      0      0      0      0   2785     15      0 
 20260722    04:09:57       0     90     48      0      0      0      0   2785     15      0 
 20260722    04:09:58       0      9      4      0      0      0      0   2785     15      0 
 20260722    04:09:59       0     69     37      0      0      0      0   2785     15      0 
 20260722    04:10:00       0     41     21      0      0      0      0   2787     15      0 
 20260722    04:10:01       0     33     18      0      0      0      0   2781     15      0 
 20260722    04:10:02       0     14      1      0      0      0      0   2785     15      0 
 20260722    04:10:03       0      1      0      0      0      0      0   2785     15      0 
 20260722    04:10:04       0      3      1      0      0      0      0   2785     15      0 
 20260722    04:10:05       0     47     25      0      0      0      0   2781     15      0 
 20260722    04:10:06       0      0      0      0      0      0      0   2781     15      0 
 20260722    04:10:07       0      1      0      0      0      0      0   2785     15      0 
 20260722    04:10:08       0     19      9      0      0      0      0   2785     15      0 
 20260722    04:10:09       0      0      0      0      0      0      0   2781     15      0 
 20260722    04:10:10       0      0      0      0      0      0      0   2785     15      0 
 20260722    04:10:11       0      0      0      0      0      0      0   2787     15      0 
 20260722    04:10:12       0      0      0      0      0      0      0   2785     15      0 
 20260722    04:10:13       0      0      0      0      0      0      0   1207     15      0 
 20260722    04:10:14       0     86     46      0      0      0      0   2781     15      0 
 20260722    04:10:15       0     26     10      0      0      0      0   1207     15      0 
 20260722    04:10:16       0      2      1      0      0      0      0   2785     15      0 
 20260722    04:10:17       0     77     41      0      0      0      0   2785     15      0 
 20260722    04:10:18       0      0      0      0      0      0      0   2781     15      0 
 20260722    04:10:19       0     29      8      0      0      0      0   2787     15      0 
 20260722    04:10:20       0     19      9      0      0      0      0   2785     15      0 
 20260722    04:10:21       0     19      9      0      0      0      0   2785     15      0 
 20260722    04:10:22       0     25      0      0      0      0      0   1207     15      0 
 20260722    04:10:23       0      1      1      0      0      0      0   2785     15      0 
 20260722    04:10:24       0     90     48      0      0      0      0   2785     15      0 
 20260722    04:10:25       0      0      0      0      0      0      0   2787     15      0 
#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %     MB     MB     MB 
 20260722    04:10:26       0      2      0      0      0      0      0   2785     15      0 
 20260722    04:10:27       0     16      8      0      0      0      0   2785     15      0 
 20260722    04:10:28       0      3      2      0      0      0      0   2785     15      0 
 20260722    04:10:29       0     81     43      0      0      0      0   2785     15      0 
 20260722    04:10:30       0      0      0      0      0      0      0   1207     15      0 
 20260722    04:10:31       0      0      0      0      0      0      0   2785     15      0 
 20260722    04:10:32       0     19      9      0      0      0      0   2785     15      0 
 20260722    04:10:33       0     50     26      0      0      0      0   1207     15      0 
 20260722    04:10:34       0      0      0      0      0      0      0   2785     15      0 
 20260722    04:10:35       0     14      0      0      0      0      0   2785     15      0 
 20260722    04:10:36       0     80     43      0      0      0      0   2781     15      0 
 20260722    04:10:37       0     29      9      0      0      0      0   2785     15      0 
 20260722    04:10:38       0     18      9      0      0      0      0   2785     15      0 
 20260722    04:10:39       0     17      0      0      0      0      0   2785     15      0 
 20260722    04:10:40       0     90     48      0      0      0      0   2781     15      0 
 20260722    04:10:41       0     81     43      0      0      0      0   1207     15      0 
 20260722    04:10:42       0      0      0      0      0      0      0   2785     15      0 
 20260722    04:10:43       0      0      0      0      0      0      0   2785     15      0 
 20260722    04:10:44       0      0      0      0      0      0      0   2785     15      0 
 20260722    04:10:45       0      8      4      0      0      0      0   2785     15      0 
 20260722    04:10:46       0      0      0      0      0      0      0   1207     15      0 
 20260722    04:10:47       0     15      8      0      0      0      0   2785     15      0 
 20260722    04:10:48       0      1      1      0      0      0      0   2785     15      0 
 20260722    04:10:49       0     22      4      0      0      0      0   2785     15      0 
 20260722    04:10:50       0     37     20      0      0      0      0   2785     15      0 
 20260722    04:10:51       0     19      0      0      0      0      0   2781     15      0 
 20260722    04:10:52       0      0      0      0      0      0      0   2785     15      0 
 20260722    04:10:53       0     18      1      0      0      0      0   2781     15      0 
 20260722    04:10:54       0      0      0      0      0      0      0   2781     15      0 
 20260722    04:10:55       0      0      0      0      0      0      0   1207     15      0 
 20260722    04:10:56       0     23      0      0      0      0      0   2781     15      0 
 20260722    04:10:57       0     59     32      0      0      0      0   2781     15      0 
 20260722    04:10:58       0      0      0      0      0      0      0   2785     15      0 
 20260722    04:10:59       0     19      9      0      0      0      0   1207     15      0 
 20260722    04:11:00       0     88     47      0      0      0      0   2781     15      0 
 20260722    04:11:01       0      1      0      0      0      0      0   2785     15      0 
 20260722    04:11:02       0     75     40      0      0      0      0   2785     15      0 
 20260722    04:11:03       0      0      0      0      0      0      0   2785     15      0 
 20260722    04:11:04       0      1      1      0      0      0      0   1207     15      0 
 20260722    04:11:05       0      1      1      0      0      0      0   2785     15      0 
 20260722    04:11:06       0     19      9      0      0      0      0   2785     15      0 
 20260722    04:11:07       0      3      1      0      0      0      0   2787     15      0 
 20260722    04:11:08       0     15      7      0      0      0      0   2785     15      0 
 20260722    04:11:09       0      9      5      0      0      0      0   1351     15      0 
#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %     MB     MB     MB 
 20260722    04:11:10       0      2      1      0      0      0      0   1207     15      0 
 20260722    04:11:11       0      7      4      0      0      0      0   1207     15      0 
 20260722    04:11:12       0     25      5      0      0      0      0   1207     15      0 
 20260722    04:11:13       0      0      0      0      0      0      0   1207     15      0 
 20260722    04:11:14       0     43     23      0      0      0      0   2785     15      0 
 20260722    04:11:15       0      6      1      0      0      0      0   2785     15      0 
 20260722    04:11:16       0      2      0      0      0      0      0   2785     15      0 
 20260722    04:11:17       0     27      6      0      0      0      0   2785     15      0 
 20260722    04:11:18       0     19      9      0      0      0      0   2781     15      0 
 20260722    04:11:19       0      0      0      0      0      0      0   2785     15      0 
 20260722    04:11:20       0     16      1      0      0      0      0   2785     15      0 
 20260722    04:11:21       0     14      6      0      0      0      0   2787     15      0 
 20260722    04:11:22       0     36     11      0      0      0      0   2787     15      0 
 20260722    04:11:23       0     17      1      0      0      0      0   2785     15      0 
 20260722    04:11:24       0     16      1      0      0      0      0   2785     15      0 
 20260722    04:11:25       0      0      0      0      0      0      0   2785     15      0 
 20260722    04:11:26       0     26     14      0      0      0      0   2785     15      0 
 20260722    04:11:27       0      0      0      0      0      0      0   2785     15      0 
 20260722    04:11:28       0     22     10      0      0      0      0   2781     15      0 
 20260722    04:11:29       0     33     13      0      0      0      0   1207     15      0 
 20260722    04:11:30       0      0      0      0      0      0      0   1207     15      0 
 20260722    04:11:31       0     50     26      0      0      0      0   2785     15      0 
 20260722    04:11:32       0      9      6      0      0      0      0   2785     15      0 
 20260722    04:11:33       0      0      0      0      0      0      0   2785     15      0 
 20260722    04:11:34       0     18      2      0      0      0      0   2785     15      0 
 20260722    04:11:35       0     56     29      0      0      0      0   2783     15      0 
 20260722    04:11:36       0      0      0      0      0      0      0   1207     15      0 
 20260722    04:11:37       0      0      0      0      0      0      0   2785     15      0 
 20260722    04:11:38       0      3      1      0      0      0      0   2785     15      0 
 20260722    04:11:39       0      3      1      0      0      0      0   2785     15      0 
 20260722    04:11:41       0      3      2      0      0      0      0   2781     15      0 
 20260722    04:11:42       0      0      0      0      0      0      0   2785     15      0 
 20260722    04:11:43       0     74     40      0      0      0      0   2785     15      0 
 20260722    04:11:44       0      0      0      0      0      0      0   2785     15      0 
 20260722    04:11:45       0      7      2      0      0      0      0   2785     15      0 
 20260722    04:11:46       0      6      1      0      0      0      0   2785     15      0 
 20260722    04:11:47       0     61     32      0      0      0      0   2785     15      0 
 20260722    04:11:48       0      0      0      0      0      0      0   2785     15      0 
 20260722    04:11:49       0      0      0      0      0      0      0   2785     15      0 
 20260722    04:11:50       0     13      0      0      0      0      0   2785     15      0 
 20260722    04:11:51       0      0      0      0      0      0      0   2781     15      0 
 20260722    04:11:52       0      2      0      0      0      0      0   2785     15      0 
 20260722    04:11:53       0      0      0      0      0      0      0   2785     15      0 
 20260722    04:11:54       0      0      0      0      0      0      0   2785     15      0 
#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %     MB     MB     MB 
 20260722    04:11:55       0      3      1      0      0      0      0   2785     15      0 
 20260722    04:11:56       0     38     21      0      0      0      0   2785     15      0 
 20260722    04:11:57       0      0      0      0      0      0      0   2785     15      0 
 20260722    04:11:58       0      0      0      0      0      0      0   2783     15      0 
 20260722    04:11:59       0      1      1      0      0      0      0   2785     15      0 
 20260722    04:12:00       0      0      0      0      0      0      0   2785     15      0 
 20260722    04:12:01       0     12      6      0      0      0      0   2305     15      0 
 20260722    04:12:02       0      3      1      0      0      0      0   2781     15      0 
 20260722    04:12:03       0     19      9      0      0      0      0   2785     15      0 
 20260722    04:12:04       0      0      0      0      0      0      0   2783     15      0 
 20260722    04:12:05       0     53     29      0      0      0      0   2783     15      0 
 20260722    04:12:06       0      2      1      0      0      0      0   2785     15      0 
 20260722    04:12:07       0      0      0      0      0      0      0   2785     15      0 
 20260722    04:12:08       0      0      0      0      0      0      0   2785     15      0 
 20260722    04:12:09       0     53     27      0      0      0      0   2785     15      0 
 20260722    04:12:10       0      0      0      0      0      0      0   2783     15      0 
 20260722    04:12:11       0      2      1      0      0      0      0   2785     15      0 
 20260722    04:12:12       0     20      3      0      0      0      0   2785     15      0 
 20260722    04:12:13       0      0      0      0      0      0      0   2785     15      0 
 20260722    04:12:14       0     38     20      0      0      0      0   2785     15      0 
 20260722    04:12:15       0      0      0      0      0      0      0   2785     15      0 
 20260722    04:12:16       0     25      3      0      0      0      0   2783     15      0 
 20260722    04:12:17       0      4      2      0      0      0      0   2785     15      0 
 20260722    04:12:18       0     53     28      0      0      0      0   2785     15      0 
 20260722    04:12:19       0     16      4      0      0      0      0   1207     15      0 
 20260722    04:12:20       0     36     19      0      0      0      0   2785     15      0 
