t_s,rss_gb,cuda_alloc_gb,cuda_reserved_gb
0.0,0.633,0.0,0.0
0.53,0.768,0.0,0.0
1.04,0.768,0.0,0.0
1.55,0.769,0.0,0.0
2.06,0.801,0.0,0.0
2.57,0.802,0.0,0.0
3.08,0.803,0.0,0.0
3.59,0.873,0.0,0.0
4.09,0.896,0.0,0.0
4.6,0.918,0.0,0.0
5.1,0.932,0.0,0.0
5.61,0.934,0.0,0.0
6.12,0.961,0.0,0.0
6.63,0.967,0.0,0.0
7.14,0.954,0.0,0.0
7.65,0.972,0.0,0.0
8.16,0.979,0.0,0.0
8.67,0.987,0.0,0.0
9.18,0.969,0.0,0.0
9.69,0.989,0.0,0.0
10.2,0.99,0.0,0.0
10.71,0.994,0.0,0.0
11.21,1.01,0.0,0.0
11.72,1.015,0.0,0.0
12.23,0.976,0.0,0.0
12.74,1.008,0.0,0.0
13.25,0.985,0.0,0.0
13.75,1.015,0.0,0.0
14.26,1.006,0.0,0.0
14.76,1.013,0.0,0.0
15.27,1.023,0.0,0.0
15.78,1.024,0.0,0.0
16.28,1.023,0.0,0.0
16.79,1.043,0.0,0.0
17.3,1.002,0.0,0.0
17.8,1.018,0.0,0.0
18.31,1.006,0.0,0.0
18.82,1.021,0.0,0.0
19.33,1.039,0.0,0.0
19.83,1.038,0.0,0.0
20.34,1.018,0.0,0.0
20.86,1.087,0.0,0.0
21.39,1.162,0.0,0.0
21.9,1.405,0.084,0.094
22.48,1.419,0.607,0.663
23.0,1.437,0.444,0.83
23.52,1.915,0.532,0.573
24.02,2.021,0.615,0.728
24.54,2.321,0.752,0.784
25.05,2.842,0.453,0.617
25.56,2.954,0.469,2.185
26.37,2.885,0.539,1.185
26.89,3.042,0.467,2.185
28.39,2.875,0.453,0.531
28.92,3.048,0.466,2.185
30.23,2.897,0.453,0.531
30.75,3.056,0.468,2.185
31.71,2.989,0.453,0.531
32.22,3.057,0.467,2.185
33.71,2.897,0.546,1.185
34.25,3.055,0.466,2.185
35.53,2.895,0.547,1.185
36.06,3.043,0.465,2.185
37.13,2.879,0.453,0.531
37.65,3.05,0.466,2.185
38.68,2.894,0.466,0.531
39.2,3.044,0.464,2.185
39.91,2.894,0.541,1.185
40.44,2.969,0.462,2.185
41.01,2.892,0.541,1.185
41.55,3.04,0.464,2.185
42.6,2.894,0.466,0.531
43.12,2.97,0.464,2.185
43.71,2.892,0.566,0.732
44.25,3.05,0.469,2.185
44.93,2.894,0.562,1.185
45.46,3.04,0.47,2.185
46.77,2.892,0.541,1.185
47.3,3.038,0.469,2.185
48.27,2.894,0.562,1.185
48.8,3.04,0.465,2.185
49.41,2.892,0.478,0.581
49.94,3.048,0.465,2.185
50.84,2.882,0.539,1.185
51.37,3.049,0.464,2.185
52.07,2.882,0.592,0.732
52.59,2.972,0.469,2.185
53.12,2.892,0.535,1.185
53.66,3.051,0.467,2.185
54.32,2.896,0.453,0.531
54.84,3.046,0.464,2.185
55.74,2.895,0.453,0.531
56.26,3.05,0.462,2.185
56.86,2.895,0.482,2.181
57.37,2.983,0.453,2.185
57.88,2.882,0.453,2.187
58.38,3.033,0.453,2.181
58.89,3.054,0.463,2.185
59.4,2.973,0.453,2.185
59.91,2.975,0.453,2.181
60.42,3.017,0.453,2.185
60.92,2.986,0.453,2.185
61.43,2.971,0.453,2.181
61.94,3.043,0.453,2.185
62.45,2.979,0.453,2.185
62.96,2.909,0.453,2.181
63.47,2.888,0.453,2.185
63.98,3.052,0.467,2.181
64.49,3.05,0.465,2.185
65.17,2.884,0.466,0.531
65.69,3.043,0.466,2.185
66.41,2.891,0.453,0.531
66.93,2.979,0.467,2.185
67.73,2.884,0.566,0.732
68.26,3.054,0.472,2.185
69.14,2.986,0.453,2.185
69.66,3.037,0.463,2.185
71.49,2.896,0.453,0.531
72.01,3.055,0.463,2.185
72.6,2.9,0.466,0.531
73.12,2.901,0.453,0.531
73.7,2.867,0.453,2.185
74.21,2.987,0.453,2.181
74.71,2.969,0.546,2.185
75.24,2.878,0.6,1.185
75.77,3.053,0.464,2.185
76.87,2.894,0.453,0.531
77.41,3.041,0.453,2.185
78.08,2.964,0.467,2.185
78.6,2.978,0.453,0.531
79.12,2.908,0.453,2.187
79.63,2.983,0.453,2.185
80.3,2.898,0.566,0.732
80.92,3.035,0.464,2.185
81.91,2.894,0.552,1.185
82.44,3.053,0.46,2.185
