t_s,rss_gb,cuda_alloc_gb,cuda_reserved_gb
0.0,0.633,0.0,0.0
0.53,0.768,0.0,0.0
1.04,0.769,0.0,0.0
1.55,0.769,0.0,0.0
2.06,0.804,0.0,0.0
2.57,0.804,0.0,0.0
3.07,0.804,0.0,0.0
3.58,0.892,0.0,0.0
4.09,0.928,0.0,0.0
4.6,0.975,0.0,0.0
5.11,0.951,0.0,0.0
5.62,0.942,0.0,0.0
6.12,0.991,0.0,0.0
6.63,0.96,0.0,0.0
7.14,0.971,0.0,0.0
7.65,0.988,0.0,0.0
8.16,0.991,0.0,0.0
8.67,0.994,0.0,0.0
9.17,0.986,0.0,0.0
9.68,0.972,0.0,0.0
10.2,0.996,0.0,0.0
10.71,1.001,0.0,0.0
11.22,1.021,0.0,0.0
11.72,0.992,0.0,0.0
12.23,0.981,0.0,0.0
12.74,1.03,0.0,0.0
13.25,1.017,0.0,0.0
13.75,1.01,0.0,0.0
14.26,1.024,0.0,0.0
14.77,1.016,0.0,0.0
15.28,1.018,0.0,0.0
15.79,1.029,0.0,0.0
16.29,1.021,0.0,0.0
16.8,1.055,0.0,0.0
17.31,1.045,0.0,0.0
17.81,1.016,0.0,0.0
18.32,1.007,0.0,0.0
18.83,1.014,0.0,0.0
19.34,1.028,0.0,0.0
19.85,1.034,0.0,0.0
20.36,0.99,0.0,0.0
20.86,1.124,0.0,0.0
21.56,1.384,0.01,0.094
22.09,1.739,0.084,0.094
22.6,1.758,0.263,0.663
23.1,1.807,0.59,0.724
23.61,2.024,9.293,9.355
24.12,2.081,0.444,0.835
24.64,2.769,0.491,0.617
25.15,2.815,0.608,1.185
25.67,2.862,0.453,2.185
26.18,2.941,0.453,2.181
26.7,3.033,0.467,2.185
28.09,2.864,0.453,0.531
28.61,3.024,0.467,2.185
29.86,2.881,0.466,0.531
30.39,3.027,0.468,2.185
31.53,2.866,0.566,1.185
32.06,3.032,0.459,2.185
33.52,2.87,0.594,1.185
34.05,3.034,0.458,2.185
35.18,2.882,0.563,1.185
35.71,3.032,0.467,2.185
36.76,2.884,0.541,1.185
37.29,3.082,0.466,2.185
38.21,2.938,0.548,1.185
38.74,3.09,0.465,2.185
39.5,2.94,0.453,0.531
40.02,3.019,1.263,2.185
40.63,3.03,0.541,2.185
41.17,3.02,0.467,2.185
42.38,3.027,0.453,2.185
42.9,3.033,0.467,2.185
43.61,3.031,0.501,2.185
44.15,3.014,0.639,2.185
44.93,3.096,0.468,2.185
45.45,3.027,0.467,2.185
46.93,3.029,0.475,2.185
47.44,3.022,0.467,2.185
48.61,2.939,0.566,0.682
49.14,3.016,0.695,2.185
49.69,3.023,0.462,2.185
50.21,3.025,0.525,2.185
51.32,3.023,0.453,2.185
51.83,3.016,0.467,2.185
52.64,3.027,0.453,2.185
53.15,3.016,0.866,2.185
53.91,3.019,0.547,2.185
54.42,3.016,0.695,2.185
55.07,3.027,0.462,2.185
55.58,3.078,0.464,2.185
56.93,2.93,0.587,1.185
57.45,3.104,0.462,2.185
58.02,2.939,0.552,1.185
58.56,3.022,0.515,2.185
59.07,2.93,0.453,2.187
59.58,3.011,0.453,2.181
60.09,3.023,0.467,2.185
60.6,3.031,0.467,2.185
61.18,2.927,0.529,0.581
61.71,2.927,0.453,2.185
62.22,2.945,0.453,2.181
62.73,3.03,0.47,2.185
63.25,3.097,0.462,2.185
63.77,2.943,0.482,2.181
64.28,3.023,0.467,2.185
64.79,3.026,0.526,2.185
65.58,3.028,0.474,2.185
66.09,3.026,0.467,2.185
66.99,3.028,0.453,2.185
67.5,3.017,0.453,2.185
68.26,3.02,0.453,0.531
68.78,3.017,1.093,2.185
69.71,3.028,0.51,2.185
70.23,3.091,0.469,2.185
71.34,2.941,0.453,0.531
71.96,3.068,0.463,2.185
73.42,2.924,0.534,1.185
73.95,3.028,0.539,2.185
74.5,3.026,0.453,2.185
75.01,2.954,0.453,0.531
75.71,2.91,0.453,2.185
76.22,2.992,0.453,2.181
76.73,3.024,0.467,2.185
77.24,3.022,0.453,2.185
77.77,3.093,0.465,2.185
78.94,2.943,0.58,1.185
79.47,3.084,0.453,2.185
80.12,2.967,0.453,2.181
80.62,3.026,0.453,2.185
81.13,2.931,0.453,2.187
81.64,3.025,0.453,2.181
82.15,2.952,0.453,2.185
82.66,3.02,0.467,2.185
84.03,3.018,0.453,2.185
84.54,3.012,0.582,2.185
