#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %     MB     MB     MB 
 20260722    03:01:50       0      0      0      0      0      0      0     92     13      0 
 20260722    03:01:51       0      0      0      0      0      0      0     92     13      0 
 20260722    03:01:52       0      0      0      0      0      0      0     92     13      0 
 20260722    03:01:53       0      0      0      0      0      0      0     92     13      0 
 20260722    03:01:54       0      0      0      0      0      0      0     92     13      0 
 20260722    03:01:55       0      0      0      0      0      0      0     92     13      0 
 20260722    03:01:56       0      0      0      0      0      0      0     92     13      0 
 20260722    03:01:57       0      0      0      0      0      0      0    683     15      0 
 20260722    03:01:58       0      0      0      0      0      0      0   1309     15      0 
 20260722    03:01:59       0     12      1      0      0      0      0   1251     15      0 
 20260722    03:02:00       0     50     18      0      0      0      0   2703     15      0 
 20260722    03:02:01       0     21      1      0      0      0      0   2785     15      0 
 20260722    03:02:02       0      0      0      0      0      0      0   1207     15      0 
 20260722    03:02:03       0     28     15      0      0      0      0   2785     15      0 
 20260722    03:02:04       0      0      0      0      0      0      0   1207     15      0 
 20260722    03:02:05       0     54     30      0      0      0      0   2785     15      0 
 20260722    03:02:06       0     79     43      0      0      0      0   2785     15      0 
 20260722    03:02:07       0      3      1      0      0      0      0   2785     15      0 
 20260722    03:02:08       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:02:09       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:02:10       0     22      7      0      0      0      0   2785     15      0 
 20260722    03:02:11       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:02:12       0     21      5      0      0      0      0   2785     15      0 
 20260722    03:02:13       0      0      0      0      0      0      0   2781     15      0 
 20260722    03:02:14       0     25     14      0      0      0      0   2785     15      0 
 20260722    03:02:15       0     17      3      0      0      0      0   2785     15      0 
 20260722    03:02:16       0      0      0      0      0      0      0   1207     15      0 
 20260722    03:02:17       0     32     17      0      0      0      0   2785     15      0 
 20260722    03:02:18       0     46     22      0      0      0      0   2785     15      0 
 20260722    03:02:19       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:02:20       0     50     27      0      0      0      0   2783     15      0 
 20260722    03:02:21       0      1      1      0      0      0      0   1207     15      0 
 20260722    03:02:22       0      0      0      0      0      0      0   1207     15      0 
 20260722    03:02:23       0     35     19      0      0      0      0   2781     15      0 
 20260722    03:02:24       0     50     26      0      0      0      0   2785     15      0 
 20260722    03:02:25       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:02:26       0      0      0      0      0      0      0   2783     15      0 
 20260722    03:02:27       0      3      1      0      0      0      0   1207     15      0 
