t_s,rss_gb,cuda_alloc_gb,cuda_reserved_gb
0.0,0.633,0.0,0.0
0.53,0.704,0.0,0.0
1.03,0.792,0.0,0.0
1.54,0.83,0.0,0.0
2.04,0.859,0.0,0.0
2.54,0.877,0.0,0.0
3.05,0.877,0.0,0.0
3.55,0.901,0.0,0.0
4.05,0.907,0.0,0.0
4.56,0.909,0.0,0.0
5.06,0.899,0.0,0.0
5.57,0.898,0.0,0.0
6.07,0.993,0.0,0.0
6.63,1.07,0.0,0.0
7.14,1.286,0.084,0.094
7.72,1.64,0.084,0.094
8.22,1.661,0.263,0.663
8.73,1.697,0.683,0.774
9.23,1.876,0.538,0.573
9.74,1.939,1.094,1.554
10.25,2.438,0.468,0.614
10.76,2.805,0.453,2.101
11.28,2.95,0.468,2.185
12.04,2.806,0.453,0.531
12.65,2.965,0.466,2.185
14.15,2.812,0.453,0.531
14.67,2.96,0.464,2.185
15.6,2.799,0.551,1.185
16.13,2.86,0.467,2.185
16.64,2.901,0.468,2.185
17.66,2.9,0.453,2.185
18.17,2.97,0.469,2.185
19.38,2.905,0.453,2.185
19.9,2.969,0.466,2.185
21.5,2.817,0.539,1.185
22.03,2.961,0.465,2.185
23.12,2.811,0.6,1.185
23.64,2.959,0.459,2.185
24.52,2.811,0.564,1.185
25.06,2.958,0.453,2.185
26.25,2.817,0.701,1.185
26.77,2.972,0.472,2.185
27.48,2.817,0.453,0.531
28.09,3.024,0.466,2.185
29.59,2.861,0.453,0.531
30.11,2.962,0.467,2.185
31.17,2.96,0.453,2.185
31.67,2.965,0.467,2.185
32.24,2.876,0.55,1.185
32.76,2.969,0.467,2.185
33.28,2.965,0.467,2.185
33.8,2.968,0.453,2.185
34.31,2.955,0.453,2.187
34.82,2.871,0.453,2.181
35.33,2.964,0.453,2.185
35.84,2.875,0.453,2.181
36.35,2.97,0.525,2.185
37.1,2.968,0.453,2.185
37.61,2.96,0.453,2.185
38.12,2.895,0.453,2.181
38.63,2.966,0.467,2.185
39.14,2.958,0.467,2.185
40.77,2.961,0.453,2.185
41.28,2.963,0.467,2.185
42.6,2.961,0.453,2.187
43.11,2.958,0.467,2.185
43.65,2.957,0.453,2.185
44.16,2.962,0.467,2.185
44.66,2.961,0.453,2.187
45.18,2.971,0.525,2.185
45.95,2.97,0.453,2.187
46.46,2.954,0.467,2.185
47.23,2.957,0.453,0.531
47.74,2.937,0.453,2.185
48.25,2.914,0.453,2.181
48.76,2.895,0.453,2.185
49.27,2.96,0.467,2.185
49.82,2.963,0.453,0.531
50.33,2.876,0.453,2.185
50.84,2.897,0.979,2.185
51.49,2.957,0.453,2.185
52.01,2.967,0.467,2.185
52.95,3.023,0.453,2.185
53.46,3.011,0.464,2.185
54.72,2.865,0.453,0.531
55.24,2.975,0.467,2.185
55.79,2.973,0.453,2.185
56.31,2.953,0.467,2.185
56.91,2.978,0.453,2.185
57.42,2.925,0.475,2.185
57.93,2.882,0.453,0.531
58.45,2.959,0.49,2.187
58.97,2.876,0.667,0.732
59.49,2.968,0.453,2.185
59.99,2.876,0.453,2.181
60.5,2.964,0.453,2.185
61.01,2.86,0.453,2.181
61.51,2.865,0.453,2.185
62.03,2.867,0.453,2.181
62.54,2.97,0.453,2.185
63.05,2.862,0.529,0.581
63.55,2.866,0.453,2.185
64.06,2.907,0.453,2.181
64.58,2.963,0.453,2.185
65.55,2.874,0.535,1.185
66.07,2.871,0.453,2.185
66.58,2.887,0.453,2.181
67.1,2.959,0.582,2.185
68.56,2.958,0.473,2.185
69.08,2.992,0.462,2.185
70.57,2.879,0.539,1.185
71.1,3.026,0.467,2.185
72.36,2.877,0.453,0.531
72.96,2.967,0.467,2.185
74.25,2.965,0.521,2.185
74.76,2.971,0.467,2.185
75.65,2.97,0.453,2.185
76.16,2.964,0.463,2.187
76.67,2.877,0.482,2.181
77.18,2.97,0.467,2.185
77.69,2.969,0.453,2.185
78.2,2.962,0.525,2.185
78.72,2.96,0.453,2.185
79.24,2.924,0.513,2.185
79.75,2.865,0.566,0.631
80.28,2.962,0.695,2.185
81.14,2.973,0.453,2.185
81.65,2.966,0.866,2.185
82.22,2.964,0.516,2.185
82.74,2.962,0.467,2.185
83.63,2.973,0.453,2.185
84.17,2.96,0.467,2.185
85.55,3.027,0.453,2.185
86.06,2.968,0.582,2.185
87.49,3.037,0.467,2.185
88.0,2.959,0.467,2.185
89.52,2.963,0.453,2.185
90.03,2.977,0.467,2.185
90.88,2.975,0.453,2.185
91.39,2.958,0.467,2.185
91.9,2.97,0.513,2.185
92.41,2.976,0.467,2.185
93.86,2.974,0.458,2.185
