#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %     MB     MB     MB 
 20260722    03:15:17       0      0      0      0      0      0      0     92     13      0 
 20260722    03:15:18       0      0      0      0      0      0      0     92     13      0 
 20260722    03:15:19       0      0      0      0      0      0      0     92     13      0 
 20260722    03:15:20       0      0      0      0      0      0      0     92     13      0 
 20260722    03:15:21       0      0      0      0      0      0      0     92     13      0 
 20260722    03:15:22       0      0      0      0      0      0      0     92     13      0 
 20260722    03:15:23       0      0      0      0      0      0      0     92     13      0 
 20260722    03:15:24       0      0      0      0      0      0      0    685     15      0 
 20260722    03:15:25       0      0      0      0      0      0      0   1329     15      0 
 20260722    03:15:26       0      9      6      0      0      0      0   1383     15      0 
 20260722    03:15:27       0     62     29      0      0      0      0   1287     15      0 
 20260722    03:15:28       0     18      3      0      0      0      0   2785     15      0 
 20260722    03:15:29       0      1      0      0      0      0      0   2781     15      0 
 20260722    03:15:30       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:15:31       0      0      0      0      0      0      0   2781     15      0 
 20260722    03:15:32       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:15:33       0      3      1      0      0      0      0   2785     15      0 
 20260722    03:15:34       0     19      9      0      0      0      0   2785     15      0 
 20260722    03:15:35       0     89     48      0      0      0      0   2785     15      0 
 20260722    03:15:36       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:15:37       0     19      9      0      0      0      0   2785     15      0 
 20260722    03:15:38       0      0      0      0      0      0      0   1207     15      0 
 20260722    03:15:39       0     71     38      0      0      0      0   2785     15      0 
 20260722    03:15:40       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:15:41       0      0      0      0      0      0      0   1207     15      0 
 20260722    03:15:42       0     65     36      0      0      0      0   2785     15      0 
 20260722    03:15:43       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:15:44       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:15:45       0     19      9      0      0      0      0   2785     15      0 
 20260722    03:15:46       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:15:47       0     21      5      0      0      0      0   2785     15      0 
 20260722    03:15:48       0      5      3      0      0      0      0   2781     15      0 
 20260722    03:15:49       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:15:50       0     21      0      0      0      0      0   2785     15      0 
 20260722    03:15:51       0     29     15      0      0      0      0   2787     15      0 
 20260722    03:15:52       0     49     25      0      0      0      0   2785     15      0 
 20260722    03:15:53       0     63     34      0      0      0      0   2783     15      0 
 20260722    03:15:54       0      2      1      0      0      0      0   2783     15      0 
 20260722    03:15:55       0     43     18      0      0      0      0   2785     15      0 
 20260722    03:15:56       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:15:57       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:15:58       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:15:59       0      3      1      0      0      0      0   2787     15      0 
 20260722    03:16:00       0     45     22      0      0      0      0   2785     15      0 
#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %     MB     MB     MB 
 20260722    03:16:01       0     71     38      0      0      0      0   2787     15      0 
 20260722    03:16:02       0     29     15      0      0      0      0   2785     15      0 
 20260722    03:16:03       0     51     28      0      0      0      0   2783     15      0 
 20260722    03:16:04       0      1      1      0      0      0      0   2781     15      0 
 20260722    03:16:05       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:16:06       0     36     20      0      0      0      0   2785     15      0 
 20260722    03:16:07       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:16:08       0     19      3      0      0      0      0   2785     15      0 
 20260722    03:16:09       0      7      2      0      0      0      0   2785     15      0 
 20260722    03:16:10       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:16:11       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:16:12       0     39     19      0      0      0      0   2785     15      0 
 20260722    03:16:13       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:16:14       0     53     28      0      0      0      0   2785     15      0 
 20260722    03:16:15       0     13      0      0      0      0      0   2785     15      0 
 20260722    03:16:16       0     20      2      0      0      0      0   2783     15      0 
 20260722    03:16:17       0      6      3      0      0      0      0   2783     15      0 
 20260722    03:16:18       0     26     14      0      0      0      0   2785     15      0 
 20260722    03:16:19       0     14      8      0      0      0      0   2781     15      0 
 20260722    03:16:20       0      0      0      0      0      0      0   2783     15      0 
 20260722    03:16:21       0      6      3      0      0      0      0   2785     15      0 
 20260722    03:16:22       0     55     30      0      0      0      0   2785     15      0 
 20260722    03:16:23       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:16:24       0     12      7      0      0      0      0   2783     15      0 
 20260722    03:16:25       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:16:26       0     35     17      0      0      0      0   2785     15      0 
 20260722    03:16:27       0      1      1      0      0      0      0   2785     15      0 
 20260722    03:16:28       0     38     21      0      0      0      0   2785     15      0 
 20260722    03:16:29       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:16:30       0      0      0      0      0      0      0   2783     15      0 
 20260722    03:16:31       0      2      0      0      0      0      0   2785     15      0 
 20260722    03:16:32       0      4      0      0      0      0      0   2783     15      0 
 20260722    03:16:33       0      4      2      0      0      0      0   2785     15      0 
 20260722    03:16:34       0      4      2      0      0      0      0   2783     15      0 
 20260722    03:16:35       0      1      1      0      0      0      0   2781     15      0 
 20260722    03:16:36       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:16:37       0      6      3      0      0      0      0   2785     15      0 
 20260722    03:16:38       0     48     26      0      0      0      0   1207     15      0 
 20260722    03:16:39       0     18      2      0      0      0      0   1207     15      0 
 20260722    03:16:40       0     24      5      0      0      0      0   2785     15      0 
 20260722    03:16:41       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:16:42       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:16:43       0      3      1      0      0      0      0   2783     15      0 
 20260722    03:16:44       0      0      0      0      0      0      0   2785     15      0 
#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %     MB     MB     MB 
 20260722    03:16:45       0      2      1      0      0      0      0   2785     15      0 
 20260722    03:16:46       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:16:47       0      5      3      0      0      0      0   2785     15      0 
 20260722    03:16:48       0      2      1      0      0      0      0   2785     15      0 
 20260722    03:16:49       0     67     36      0      0      0      0   2785     15      0 
 20260722    03:16:50       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:16:51       0      3      2      0      0      0      0   2785     15      0 
 20260722    03:16:52       0      1      0      0      0      0      0   2785     15      0 
 20260722    03:16:53       0     19      9      0      0      0      0   2781     15      0 
 20260722    03:16:54       0      5      2      0      0      0      0   2785     15      0 
 20260722    03:16:55       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:16:56       0     24     12      0      0      0      0   2785     15      0 
 20260722    03:16:57       0     72     39      0      0      0      0   2785     15      0 
 20260722    03:16:58       0      1      1      0      0      0      0   2785     15      0 
 20260722    03:16:59       0      3      1      0      0      0      0   2781     15      0 
 20260722    03:17:00       0      2      1      0      0      0      0   2785     15      0 
 20260722    03:17:01       0     23      5      0      0      0      0   2785     15      0 
 20260722    03:17:02       0     52     28      0      0      0      0   2785     15      0 
 20260722    03:17:03       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:17:04       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:17:05       0      2      1      0      0      0      0   2787     15      0 
 20260722    03:17:06       0      2      0      0      0      0      0   2785     15      0 
 20260722    03:17:07       0      2      0      0      0      0      0   2783     15      0 
 20260722    03:17:08       0     16      8      0      0      0      0   1207     15      0 
 20260722    03:17:09       0      1      1      0      0      0      0   2785     15      0 
 20260722    03:17:10       0     49     27      0      0      0      0   2785     15      0 
