t_s,rss_gb,cuda_alloc_gb,cuda_reserved_gb
0.0,0.633,0.0,0.0
0.53,0.707,0.0,0.0
1.04,0.787,0.0,0.0
1.55,0.844,0.0,0.0
2.06,0.84,0.0,0.0
2.57,0.857,0.0,0.0
3.08,0.878,0.0,0.0
3.58,0.881,0.0,0.0
4.09,0.881,0.0,0.0
4.6,0.919,0.0,0.0
5.11,0.897,0.0,0.0
5.61,0.888,0.0,0.0
6.13,1.024,0.0,0.0
6.83,1.283,0.084,0.094
7.35,1.639,0.084,0.094
7.85,1.657,0.263,0.663
8.36,1.696,1.127,1.221
8.87,1.875,0.538,0.573
9.38,1.937,0.683,1.554
9.89,2.524,0.473,0.614
10.48,2.715,0.466,0.531
11.01,2.951,0.46,2.185
11.98,2.804,0.58,1.185
12.52,2.954,0.469,2.185
14.04,2.811,0.453,0.531
14.56,2.964,0.464,2.185
15.4,2.798,0.552,1.185
15.93,2.822,0.453,2.185
16.44,2.895,0.472,2.185
17.5,2.799,0.453,2.185
18.01,2.949,0.469,2.185
19.19,2.899,0.453,2.185
19.7,2.957,0.466,2.185
21.13,2.809,0.453,0.531
21.65,2.967,0.465,2.185
22.7,2.799,0.453,0.531
23.23,2.956,0.467,2.185
24.13,2.815,0.58,1.185
24.66,2.952,0.467,2.185
25.73,2.803,0.453,0.531
26.26,2.957,0.46,2.185
27.28,2.793,0.548,1.185
27.8,3.023,0.457,2.185
29.44,2.873,0.701,1.185
29.98,2.962,0.639,2.185
30.93,2.961,0.453,2.185
31.44,2.955,0.467,2.185
31.96,2.954,0.453,2.185
32.47,2.916,0.453,2.185
32.98,2.959,0.467,2.185
33.56,2.958,0.453,0.531
34.07,2.954,0.453,2.187
34.58,2.889,0.453,2.181
35.09,2.962,0.453,2.185
35.6,2.871,0.453,2.181
36.11,2.959,0.467,2.185
36.91,2.962,0.453,2.185
37.42,2.962,0.453,2.185
37.93,2.93,0.453,2.181
38.44,2.959,0.467,2.185
38.95,2.955,0.639,2.185
40.55,2.954,0.534,2.185
41.07,2.959,0.467,2.185
42.45,2.87,0.546,1.185
43.06,3.024,0.462,2.185
43.57,2.87,0.568,1.185
44.09,2.951,0.453,2.185
44.65,2.874,0.564,1.185
45.18,2.964,0.695,2.185
45.77,2.962,0.453,2.187
46.29,2.951,0.525,2.185
47.13,2.954,0.453,2.185
47.65,2.95,0.453,2.185
48.16,2.918,0.453,2.181
48.67,2.967,0.467,2.185
49.18,2.937,0.453,2.185
49.71,2.868,0.466,0.531
50.23,2.964,0.467,2.185
50.74,2.946,1.263,2.185
51.28,2.959,0.473,2.185
51.79,2.954,0.467,2.185
52.65,2.965,0.453,2.185
53.18,3.031,0.464,2.185
54.54,2.872,0.58,1.185
55.07,2.946,0.866,2.185
55.62,2.954,0.453,2.185
56.13,2.951,0.695,2.185
56.76,2.962,0.453,2.185
57.27,2.981,0.453,2.185
57.83,2.864,0.466,0.531
58.34,2.92,0.461,2.187
58.87,2.862,0.453,0.531
59.4,2.958,0.467,2.185
59.9,2.957,0.453,2.185
60.41,2.962,0.467,2.185
60.92,2.873,0.453,0.531
61.51,2.916,0.481,2.185
62.03,2.873,0.466,0.531
62.55,2.958,0.467,2.185
63.13,2.857,0.453,0.531
63.65,2.933,0.453,2.185
64.16,2.873,0.453,2.181
64.67,3.032,0.463,2.185
65.69,2.873,0.558,1.185
66.22,2.853,0.453,2.185
66.73,2.892,0.453,2.181
67.25,2.951,0.467,2.185
68.69,2.954,0.457,2.185
69.2,2.964,0.467,2.185
70.73,3.023,0.453,2.185
71.25,3.031,0.467,2.185
72.72,2.961,0.453,0.531
73.25,2.963,0.467,2.185
74.64,2.961,0.521,2.185
75.15,2.955,0.467,2.185
76.02,2.953,0.453,2.185
76.53,2.96,0.488,2.187
77.04,2.86,0.453,0.531
77.56,2.957,0.639,2.185
78.09,2.968,0.453,2.185
78.6,2.964,0.467,2.185
79.11,2.963,0.453,2.185
79.62,2.958,0.453,2.185
80.13,2.874,0.482,2.181
80.64,3.041,0.465,2.185
81.49,2.874,0.548,1.185
82.02,2.938,0.453,2.185
82.53,2.874,0.482,2.181
83.06,2.958,0.466,2.185
83.76,2.873,0.564,1.185
84.29,2.966,1.319,2.185
85.56,3.027,0.453,2.185
86.11,2.956,0.582,2.185
87.55,3.024,0.453,2.185
88.06,2.964,0.467,2.185
89.59,2.967,0.453,2.185
90.11,2.969,0.467,2.185
90.97,2.967,0.453,2.185
91.48,2.951,0.467,2.185
91.99,2.963,0.453,2.185
92.5,3.033,0.466,2.185
94.11,2.873,0.562,1.185
94.64,2.95,1.206,2.185
96.13,2.961,0.496,2.185
96.65,2.958,0.525,2.185
97.92,2.961,0.475,2.185
98.43,2.95,0.467,2.185
99.01,2.961,0.513,2.185
99.53,2.949,0.752,2.185
100.44,3.031,0.463,2.185
100.97,2.952,0.467,2.185
102.26,2.963,0.538,2.185
102.77,2.969,0.467,2.185
104.07,2.859,0.466,0.531
104.6,2.963,0.467,2.185
105.11,2.951,0.467,2.185
105.7,3.008,0.453,2.185
106.22,2.957,0.467,2.185
107.64,2.956,0.453,2.185
108.15,2.966,0.525,2.185
108.93,2.964,0.453,2.187
109.45,2.96,0.467,2.185
109.97,2.959,0.453,2.185
110.48,2.969,0.467,2.185
111.54,2.967,0.453,2.185
112.06,2.965,0.467,2.185
112.99,2.964,0.453,2.185
113.51,3.009,0.466,2.185
114.84,2.961,0.453,0.531
115.45,3.029,0.466,2.185
116.59,2.873,0.453,0.531
117.11,2.955,0.467,2.185
117.91,2.958,0.457,2.185
118.42,3.022,0.462,2.185
119.88,2.854,0.453,0.531
120.41,2.963,0.467,2.185
120.91,2.973,0.467,2.185
121.42,3.033,0.465,2.185
121.93,2.96,0.467,2.185
123.08,3.029,0.465,2.185
123.59,3.026,0.463,2.185
125.06,2.859,0.453,0.531
125.58,2.898,0.453,0.531
126.15,2.926,0.467,2.185
126.66,2.938,0.453,2.185
127.17,3.01,0.463,2.185
128.39,2.869,0.568,1.185
128.92,3.0,0.453,2.185
129.43,2.959,0.453,0.531
129.95,3.029,0.466,2.185
130.95,2.86,0.453,0.531
131.49,3.022,0.458,2.185
132.39,2.868,0.482,2.181
132.89,2.964,0.467,2.185
133.4,2.958,0.491,2.185
133.91,2.876,1.102,2.181
134.43,2.967,0.453,2.185
134.98,2.874,0.453,0.531
135.5,2.958,0.979,2.185
136.04,2.961,0.453,2.185
136.54,2.902,0.453,2.185
137.05,2.895,0.453,2.181
137.56,3.027,0.453,2.185
138.07,2.967,0.474,2.185
138.58,2.874,0.482,2.181
139.09,2.948,0.467,2.185
139.61,2.873,0.667,0.732
140.22,2.964,0.467,2.185
140.73,2.956,0.467,2.185
141.72,2.86,0.453,0.531
142.34,2.952,0.639,2.185
142.96,2.963,0.453,0.531
143.47,2.959,0.467,2.185
143.98,2.95,0.462,2.185
144.49,2.863,0.482,2.181
145.01,2.963,0.467,2.185
145.52,2.959,0.467,2.185
146.07,2.854,0.55,1.185
146.59,2.963,0.467,2.185
147.1,2.912,0.453,2.185
147.62,2.864,0.453,2.181
148.13,2.956,0.467,2.185
148.64,2.952,0.467,2.185
149.15,3.034,0.466,2.185
149.67,3.022,0.455,2.185
151.34,2.871,0.539,1.185
151.87,2.956,0.453,2.185
152.46,2.871,0.453,0.531
152.99,2.952,0.481,2.185
153.55,2.963,0.517,2.185
154.06,2.999,0.468,2.185
155.09,2.871,0.466,0.531
155.7,2.961,0.467,2.185
156.83,2.959,0.465,2.185
157.35,2.952,0.866,2.185
158.63,3.005,0.453,2.185
159.14,2.957,0.467,2.185
160.6,2.968,0.453,2.185
161.11,2.964,1.206,2.185
161.96,2.967,0.453,2.185
162.47,2.958,0.453,2.185
162.98,2.863,0.453,2.181
163.49,2.913,0.453,2.185
164.0,2.917,0.453,0.531
165.15,2.923,0.453,0.531
165.66,2.988,0.453,0.531
166.17,3.066,0.453,0.531
