t_s,rss_gb,cuda_alloc_gb,cuda_reserved_gb
0.0,0.633,0.0,0.0
0.54,0.768,0.0,0.0
1.05,0.768,0.0,0.0
1.56,0.769,0.0,0.0
2.07,0.801,0.0,0.0
2.58,0.801,0.0,0.0
3.08,0.802,0.0,0.0
3.59,0.889,0.0,0.0
4.1,0.901,0.0,0.0
4.6,0.893,0.0,0.0
5.12,0.92,0.0,0.0
5.62,0.937,0.0,0.0
6.13,0.959,0.0,0.0
6.63,0.978,0.0,0.0
7.15,0.997,0.0,0.0
7.65,0.986,0.0,0.0
8.16,0.973,0.0,0.0
8.67,0.977,0.0,0.0
9.18,0.992,0.0,0.0
9.69,0.994,0.0,0.0
10.2,0.987,0.0,0.0
10.7,1.006,0.0,0.0
11.21,1.006,0.0,0.0
11.71,1.017,0.0,0.0
12.22,1.013,0.0,0.0
12.73,1.005,0.0,0.0
13.23,1.014,0.0,0.0
13.74,1.035,0.0,0.0
14.25,1.013,0.0,0.0
14.76,1.028,0.0,0.0
15.26,1.021,0.0,0.0
15.77,1.041,0.0,0.0
16.28,1.027,0.0,0.0
16.79,1.039,0.0,0.0
17.29,1.041,0.0,0.0
17.8,1.058,0.0,0.0
18.31,1.037,0.0,0.0
18.82,1.053,0.0,0.0
19.33,1.033,0.0,0.0
19.84,1.053,0.0,0.0
20.35,1.025,0.0,0.0
20.86,1.113,0.0,0.0
21.57,1.266,0.0,0.0
22.08,1.721,0.084,0.094
22.59,1.714,0.263,0.663
23.1,1.772,0.558,0.694
23.61,1.988,0.53,0.573
24.12,2.043,1.665,2.141
24.63,2.55,0.453,0.614
25.14,2.918,0.468,2.103
25.66,2.966,0.453,2.185
26.18,2.983,0.453,2.181
26.69,3.052,0.469,2.185
27.94,2.897,0.482,2.181
28.46,3.049,0.465,2.185
29.64,2.899,0.453,2.181
30.16,3.049,0.468,2.185
31.07,2.888,0.617,0.682
31.6,3.056,0.467,2.185
32.99,2.901,0.784,1.372
33.5,3.062,0.466,2.185
34.71,2.888,0.482,2.181
35.22,3.054,0.472,2.185
36.11,2.92,0.453,2.181
36.62,3.049,0.466,2.185
37.51,2.882,0.552,1.185
38.03,2.987,0.464,2.185
38.72,2.959,0.453,2.181
39.22,2.978,0.466,2.185
39.75,2.898,0.453,2.181
40.27,2.986,0.464,2.185
41.29,2.959,0.453,2.181
41.8,2.892,0.453,2.185
42.31,2.985,0.458,2.185
43.27,2.892,0.482,2.181
43.78,3.056,0.459,2.185
44.8,2.904,0.482,2.181
45.33,3.05,0.464,2.185
46.46,2.972,0.453,2.181
46.97,2.99,0.453,2.185
47.48,2.994,0.453,2.181
47.99,3.053,0.462,2.185
48.78,2.898,0.563,1.185
49.3,2.991,0.464,2.185
49.93,2.895,0.453,2.181
50.45,2.972,0.464,2.185
51.01,2.896,0.453,2.181
51.52,2.988,0.545,2.185
52.03,2.905,0.453,2.181
52.56,3.05,0.47,2.185
53.55,2.979,0.453,2.181
54.06,2.983,0.453,2.185
54.57,2.976,0.467,2.185
55.11,3.015,0.453,2.181
55.61,3.05,0.453,2.187
56.13,2.892,0.453,2.185
56.63,2.981,0.467,2.185
57.14,2.915,0.453,2.181
57.65,2.985,0.467,2.185
58.16,2.992,0.453,2.185
58.67,2.989,0.453,2.185
59.26,2.956,0.453,2.181
59.77,2.983,0.467,2.185
60.29,3.043,0.467,2.185
60.87,2.899,0.482,2.181
61.38,3.047,0.465,2.185
62.04,2.952,0.453,2.181
62.58,3.046,0.466,2.185
63.16,2.892,1.27,1.877
63.68,3.059,0.467,2.185
64.44,2.903,0.453,0.531
64.96,3.05,0.472,2.185
65.86,2.986,0.453,0.531
66.37,3.055,0.463,2.185
67.99,2.899,0.453,2.181
68.5,2.977,0.464,2.185
69.03,2.944,0.453,0.531
69.54,2.893,0.453,0.531
70.05,2.96,0.467,2.185
70.56,3.038,0.466,2.185
71.34,2.892,0.453,2.181
71.86,3.059,0.457,2.185
72.72,2.953,0.453,2.181
73.24,3.06,0.453,2.185
73.9,2.976,0.467,2.185
74.41,2.96,0.453,2.181
74.92,2.989,0.453,2.187
75.43,2.984,0.453,2.185
75.94,3.019,0.453,2.181
76.46,2.992,0.475,2.185
77.14,2.955,0.453,2.181
77.65,3.052,0.468,2.185
78.22,2.893,0.453,0.531
78.75,3.054,0.455,2.185
80.11,2.913,0.453,2.181
80.62,2.994,0.467,2.185
81.13,3.046,0.453,2.185
81.77,2.897,0.482,2.181
82.28,2.992,0.453,2.185
82.79,2.977,0.453,2.181
83.31,2.984,0.465,2.185
84.21,2.896,0.482,2.181
84.72,2.897,0.453,0.531
85.39,3.028,0.453,2.185
85.91,2.973,0.467,2.185
86.42,2.881,0.557,1.185
86.93,2.986,0.467,2.185
87.44,2.881,0.453,2.185
87.95,2.995,0.467,2.185
88.46,2.93,0.482,2.181
88.97,2.987,0.453,2.185
89.49,2.983,0.467,2.185
90.0,2.973,0.467,2.185
90.51,2.981,0.453,2.185
91.02,2.986,0.453,2.185
91.66,2.982,0.467,2.185
92.16,2.893,0.453,0.531
92.68,2.986,0.467,2.185
93.19,3.052,0.467,2.185
94.21,2.903,0.592,0.732
94.72,3.062,0.46,2.185
95.79,2.89,0.453,0.531
96.33,3.063,0.468,2.185
97.31,2.998,0.453,2.185
97.83,3.041,0.463,2.185
99.02,2.926,0.453,2.181
99.53,2.885,0.453,2.185
100.04,3.035,0.467,2.185
100.55,2.985,0.465,2.185
101.16,2.956,0.453,2.181
101.67,2.893,0.453,2.185
102.18,2.986,0.463,2.185
103.03,2.948,0.453,2.181
103.54,2.989,0.467,2.185
104.05,2.894,0.453,2.185
104.55,2.901,0.482,2.181
105.06,2.965,0.467,2.187
105.59,3.035,0.453,2.185
106.2,2.971,0.453,0.531
106.71,2.872,0.453,2.187
107.22,2.978,0.455,2.185
107.98,2.892,0.534,1.185
