#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %     MB     MB     MB 
 20260722    03:04:38       0      0      0      0      0      0      0     92     13      0 
 20260722    03:04:39       0      0      0      0      0      0      0     92     13      0 
 20260722    03:04:40       0      0      0      0      0      0      0     92     13      0 
 20260722    03:04:41       0      0      0      0      0      0      0     92     13      0 
 20260722    03:04:42       0      0      0      0      0      0      0     92     13      0 
 20260722    03:04:43       0      0      0      0      0      0      0     92     13      0 
 20260722    03:04:44       0      0      0      0      0      0      0     92     13      0 
 20260722    03:04:45       0      0      0      0      0      0      0    685     15      0 
 20260722    03:04:46       0      0      0      0      0      0      0   1449     15      0 
 20260722    03:04:47       0     20     10      0      0      0      0   1383     15      0 
 20260722    03:04:48       0     28     11      0      0      0      0   1287     15      0 
 20260722    03:04:49       0     26     11      0      0      0      0   2785     15      0 
 20260722    03:04:50       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:04:51       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:04:52       0     67     37      0      0      0      0   2785     15      0 
 20260722    03:04:53       0     29      0      0      0      0      0   2785     15      0 
 20260722    03:04:54       0     55     31      0      0      0      0   2785     15      0 
 20260722    03:04:55       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:04:56       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:04:57       0     22     11      0      0      0      0   2785     15      0 
 20260722    03:04:58       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:04:59       0     38     21      0      0      0      0   2785     15      0 
 20260722    03:05:00       0     29      7      0      0      0      0   2785     15      0 
 20260722    03:05:01       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:05:02       0     61     34      0      0      0      0   2785     15      0 
 20260722    03:05:03       0     23      2      0      0      0      0   2785     15      0 
 20260722    03:05:04       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:05:05       0     85     46      0      0      0      0   2785     15      0 
 20260722    03:05:06       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:05:07       0      2      2      0      0      0      0   2785     15      0 
 20260722    03:05:08       0     11      0      0      0      0      0   2783     15      0 
 20260722    03:05:09       0      9      0      0      0      0      0   2785     15      0 
 20260722    03:05:10       0     19      1      0      0      0      0   2785     15      0 
 20260722    03:05:11       0      3      1      0      0      0      0   2781     15      0 
 20260722    03:05:12       0      6      3      0      0      0      0   2781     15      0 
 20260722    03:05:13       0      1      0      0      0      0      0   2785     15      0 
 20260722    03:05:14       0     15      0      0      0      0      0   2785     15      0 
 20260722    03:05:15       0     56     31      0      0      0      0   2785     15      0 
 20260722    03:05:16       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:05:17       0      0      0      0      0      0      0   2783     15      0 
 20260722    03:05:18       0      1      0      0      0      0      0   2787     15      0 
 20260722    03:05:19       0     36     19      0      0      0      0   2785     15      0 
 20260722    03:05:20       0     39     21      0      0      0      0   2787     15      0 
 20260722    03:05:21       0     60     32      0      0      0      0   2785     15      0 
#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %     MB     MB     MB 
 20260722    03:05:22       0     18      0      0      0      0      0   2783     15      0 
 20260722    03:05:23       0      3      2      0      0      0      0   2783     15      0 
 20260722    03:05:24       0     16      3      0      0      0      0   2785     15      0 
 20260722    03:05:25       0     58     32      0      0      0      0   2785     15      0 
 20260722    03:05:26       0     20      9      0      0      0      0   2785     15      0 
 20260722    03:05:27       0     30      5      0      0      0      0   2783     15      0 
 20260722    03:05:28       0      1      1      0      0      0      0   2781     15      0 
 20260722    03:05:29       0     67     37      0      0      0      0   2785     15      0 
 20260722    03:05:30       0      3      0      0      0      0      0   2783     15      0 
 20260722    03:05:31       0      2      0      0      0      0      0   2781     15      0 
 20260722    03:05:32       0      1      1      0      0      0      0   2781     15      0 
 20260722    03:05:33       0      1      0      0      0      0      0   2783     15      0 
 20260722    03:05:34       0     54     31      0      0      0      0   2781     15      0 
 20260722    03:05:35       0      3      2      0      0      0      0   2785     15      0 
 20260722    03:05:36       0     35     12      0      0      0      0   2785     15      0 
 20260722    03:05:37       0     17      0      0      0      0      0   2785     15      0 
 20260722    03:05:38       0     17      0      0      0      0      0   2785     15      0 
