t_s,rss_gb,cuda_alloc_gb,cuda_reserved_gb
0.0,0.633,0.0,0.0
0.53,0.698,0.0,0.0
1.04,0.813,0.0,0.0
1.54,0.836,0.0,0.0
2.05,0.85,0.0,0.0
2.55,0.862,0.0,0.0
3.06,0.879,0.0,0.0
3.57,0.901,0.0,0.0
4.07,0.892,0.0,0.0
4.58,0.896,0.0,0.0
5.1,0.898,0.0,0.0
5.61,0.883,0.0,0.0
6.13,1.021,0.0,0.0
6.82,1.276,0.084,0.094
7.34,1.632,0.084,0.094
7.85,1.65,0.263,0.663
8.36,1.689,0.569,1.026
8.87,1.873,0.538,0.573
9.37,1.931,0.473,0.835
9.88,2.537,0.462,0.614
10.4,2.712,0.541,1.185
10.92,2.942,0.462,2.185
11.78,2.798,0.529,0.581
12.3,2.95,0.466,2.185
13.59,2.804,0.453,0.531
14.11,2.886,0.456,2.185
14.85,2.791,0.453,2.181
15.36,2.824,0.453,2.185
15.87,2.958,0.469,2.185
16.71,2.895,0.453,2.185
17.23,2.968,0.469,2.185
18.31,2.9,0.453,2.185
18.82,2.965,0.466,2.185
20.29,2.809,0.482,2.181
20.8,2.888,0.465,2.185
21.83,2.796,0.482,2.181
22.35,2.963,0.47,2.185
23.2,2.803,0.482,2.181
23.72,2.951,0.465,2.185
24.89,2.816,0.453,2.181
25.42,2.954,0.472,2.185
26.2,2.808,0.466,0.531
26.72,2.951,0.466,2.185
28.16,2.862,0.453,0.531
28.67,2.943,0.866,2.185
29.73,2.954,0.453,2.185
30.24,2.95,0.467,2.185
30.75,2.85,0.453,0.531
31.27,2.959,0.467,2.185
31.78,2.943,0.467,2.185
32.29,2.859,0.453,2.181
32.8,2.855,0.453,2.187
33.31,2.948,0.525,2.185
33.96,2.946,0.453,2.185
34.47,2.956,0.467,2.185
35.42,2.959,0.453,2.185
35.93,2.885,0.453,2.185
36.44,2.956,0.467,2.185
36.96,2.955,0.453,2.185
37.48,3.023,0.467,2.185
38.76,2.867,0.65,1.185
39.3,2.954,0.467,2.185
40.59,2.953,0.453,2.187
41.1,2.943,0.467,2.185
41.61,2.867,0.535,1.185
42.14,2.959,0.463,2.185
42.66,2.9,0.453,2.181
43.17,2.952,0.467,2.185
43.72,2.951,0.453,2.187
44.25,2.952,0.752,2.185
44.97,2.951,0.453,2.185
45.48,2.855,0.453,2.185
45.99,2.951,1.319,2.185
46.57,2.949,0.453,2.185
47.08,2.877,0.453,2.185
47.59,3.021,0.453,2.185
48.1,2.875,0.453,2.181
48.6,2.898,0.453,2.185
49.11,2.959,0.525,2.185
50.12,3.01,0.453,2.185
50.62,3.005,0.464,2.185
51.92,2.865,0.482,2.181
52.44,2.952,0.866,2.185
53.02,2.955,0.453,2.185
53.54,2.956,1.206,2.185
54.1,2.959,0.453,2.185
54.61,3.021,0.462,2.185
55.12,2.909,0.453,2.181
55.63,2.859,0.453,2.187
56.14,2.913,0.752,2.185
56.95,2.959,0.453,2.185
57.45,2.94,0.453,2.185
