t_s,rss_gb,cuda_alloc_gb,cuda_reserved_gb
0.0,0.633,0.0,0.0
0.53,0.708,0.0,0.0
1.04,0.817,0.0,0.0
1.54,0.841,0.0,0.0
2.05,0.86,0.0,0.0
2.56,0.862,0.0,0.0
3.06,0.873,0.0,0.0
3.57,0.894,0.0,0.0
4.08,0.888,0.0,0.0
4.59,0.901,0.0,0.0
5.1,0.897,0.0,0.0
5.61,0.882,0.0,0.0
6.12,1.014,0.0,0.0
6.82,1.272,0.084,0.094
7.35,1.632,0.084,0.094
7.86,1.65,0.263,0.663
8.37,1.712,0.578,0.724
8.87,1.897,0.538,0.593
9.39,1.971,0.444,0.835
9.89,2.605,0.462,0.614
10.41,2.754,0.482,2.181
10.92,2.884,0.468,2.185
11.63,2.895,0.453,2.185
12.14,2.966,0.466,2.185
13.36,2.814,0.482,2.181
13.88,2.964,0.464,2.185
14.71,2.812,0.453,2.181
15.22,2.906,0.467,2.185
15.74,2.96,0.472,2.185
16.48,2.818,0.453,0.531
17.01,2.974,0.469,2.185
18.04,2.906,0.453,2.185
18.55,2.959,0.466,2.185
19.96,2.816,0.482,2.181
20.48,2.971,0.465,2.185
21.59,2.803,0.55,1.185
22.1,2.963,0.467,2.185
22.9,2.819,0.482,2.181
23.42,2.967,0.467,2.185
24.61,2.833,0.453,2.181
25.12,2.974,0.468,2.185
25.8,2.799,0.6,1.185
26.35,3.026,0.466,2.185
27.93,2.878,0.482,2.181
28.46,2.954,0.467,2.185
29.46,2.878,0.466,0.531
29.98,3.016,0.453,2.185
30.49,2.931,0.453,2.181
31.0,3.026,0.453,2.185
31.51,2.967,0.477,2.185
32.03,2.871,0.453,2.181
32.54,2.967,0.467,2.187
33.05,2.959,0.467,2.185
33.68,2.97,0.471,2.185
34.2,2.963,0.866,2.185
35.11,2.974,0.453,2.185
35.62,2.904,0.453,2.185
36.13,3.053,0.453,2.185
36.65,2.867,0.539,1.185
37.17,2.959,0.526,2.185
38.46,2.97,0.515,2.185
38.99,2.967,0.467,2.185
40.31,2.965,0.453,2.187
40.82,2.958,0.467,2.185
41.33,2.969,0.453,2.185
41.84,2.965,0.467,2.185
42.35,2.964,0.453,2.187
42.86,2.957,0.467,2.185
43.56,2.96,0.453,2.187
44.07,2.961,1.206,2.185
44.76,2.964,0.453,2.185
45.27,2.877,0.453,2.185
45.78,2.969,0.467,2.185
46.4,2.973,0.453,2.185
46.91,2.912,0.453,2.185
47.42,3.032,0.453,2.185
47.93,2.882,0.548,1.185
48.46,2.874,0.453,2.185
48.97,2.967,0.467,2.185
50.04,3.023,0.453,2.185
50.55,3.039,0.464,2.185
51.84,2.882,0.482,2.181
52.35,2.954,0.467,2.185
52.86,2.877,0.482,2.181
53.37,2.966,0.453,2.185
53.88,2.877,0.453,2.181
54.39,2.878,0.453,2.185
54.9,2.971,0.582,2.185
55.55,2.978,0.491,2.187
56.07,2.967,0.752,2.185
56.64,2.87,0.453,0.531
57.15,2.953,0.453,2.185
57.67,2.954,0.453,2.185
58.45,2.923,0.453,2.181
58.96,2.978,0.483,2.185
59.47,2.933,0.453,2.181
59.98,2.895,0.453,2.185
60.5,2.967,0.467,2.185
61.83,2.882,0.617,0.732
62.36,2.87,0.453,2.185
62.87,2.945,0.453,2.185
64.73,2.97,0.453,2.185
65.24,2.955,0.467,2.185
66.65,2.966,0.453,2.185
67.17,2.967,0.467,2.185
68.68,2.966,0.519,2.185
69.2,2.98,0.467,2.185
70.46,2.978,0.496,2.185
70.97,2.98,1.319,2.185
71.66,2.978,0.453,2.185
72.17,2.871,0.453,2.187
72.68,2.967,0.467,2.185
73.59,2.871,0.566,0.732
74.12,3.027,0.453,2.185
