#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %     MB     MB     MB 
 20260722    03:07:16       0      0      0      0      0      0      0     92     13      0 
 20260722    03:07:17       0      0      0      0      0      0      0     92     13      0 
 20260722    03:07:18       0      0      0      0      0      0      0     92     13      0 
 20260722    03:07:19       0      0      0      0      0      0      0     92     13      0 
 20260722    03:07:20       0      0      0      0      0      0      0     92     13      0 
 20260722    03:07:21       0      0      0      0      0      0      0     92     13      0 
 20260722    03:07:22       0      0      0      0      0      0      0     92     13      0 
 20260722    03:07:23       0      0      0      0      0      0      0    685     15      0 
 20260722    03:07:24       0      5      1      0      0      0      0   1309     15      0 
 20260722    03:07:25       0     13      5      0      0      0      0   1529     15      0 
 20260722    03:07:26       0      1      1      0      0      0      0   1287     15      0 
 20260722    03:07:27       0     65     35      0      0      0      0   2785     15      0 
 20260722    03:07:28       0     64     35      0      0      0      0   2785     15      0 
 20260722    03:07:29       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:07:30       0     27      8      0      0      0      0   2785     15      0 
 20260722    03:07:31       0     27      0      0      0      0      0   1207     15      0 
 20260722    03:07:32       0      2      0      0      0      0      0   2785     15      0 
 20260722    03:07:33       0      2      0      0      0      0      0   2785     15      0 
 20260722    03:07:35       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:07:36       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:07:37       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:07:38       0     37     18      0      0      0      0   2785     15      0 
 20260722    03:07:39       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:07:40       0     90     49      0      0      0      0   2785     15      0 
 20260722    03:07:41       0      2      0      0      0      0      0   2785     15      0 
 20260722    03:07:42       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:07:43       0     68     37      0      0      0      0   2785     15      0 
 20260722    03:07:44       0      0      0      0      0      0      0   2781     15      0 
 20260722    03:07:45       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:07:46       0     31      9      0      0      0      0   2781     15      0 
 20260722    03:07:47       0      2      0      0      0      0      0   2785     15      0 
 20260722    03:07:48       0      2      0      0      0      0      0   2785     15      0 
 20260722    03:07:49       0     90     49      0      0      0      0   1207     15      0 
 20260722    03:07:50       0     13      0      0      0      0      0   2781     15      0 
 20260722    03:07:51       0     82     45      0      0      0      0   2785     15      0 
