#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %     MB     MB     MB 
 20260722    03:42:35       0      0      0      0      0      0      0     92     13      0 
 20260722    03:42:36       0      0      0      0      0      0      0     92     13      0 
 20260722    03:42:37       0      0      0      0      0      0      0     92     13      0 
 20260722    03:42:38       0      0      0      0      0      0      0     92     13      0 
 20260722    03:42:39       0      0      0      0      0      0      0     92     13      0 
 20260722    03:42:40       0      0      0      0      0      0      0     92     13      0 
 20260722    03:42:41       0      0      0      0      0      0      0     92     13      0 
 20260722    03:42:42       0      0      0      0      0      0      0     92     13      0 
 20260722    03:42:43       0      0      0      0      0      0      0     92     13      0 
 20260722    03:42:44       0      0      0      0      0      0      0     92     13      0 
 20260722    03:42:45       0      0      0      0      0      0      0     92     13      0 
 20260722    03:42:46       0      0      0      0      0      0      0     92     13      0 
 20260722    03:42:47       0      0      0      0      0      0      0     92     13      0 
 20260722    03:42:48       0      0      0      0      0      0      0     92     13      0 
 20260722    03:42:49       0      0      0      0      0      0      0     92     13      0 
 20260722    03:42:50       0      0      0      0      0      0      0     92     13      0 
 20260722    03:42:51       0      0      0      0      0      0      0     92     13      0 
 20260722    03:42:52       0      0      0      0      0      0      0     92     13      0 
 20260722    03:42:53       0      0      0      0      0      0      0     92     13      0 
 20260722    03:42:54       0      0      0      0      0      0      0     92     13      0 
 20260722    03:42:55       0      0      2      0      0      0      0     92     13      0 
 20260722    03:42:56       0      0      0      0      0      0      0     92     13      0 
 20260722    03:42:57       0      0      0      0      0      0      0    685     15      0 
 20260722    03:42:58       0      0      0      0      0      0      0   1379     15      0 
 20260722    03:42:59       0     22     10      0      0      0      0   2171     15      0 
 20260722    03:43:00       0      0      0      0      0      0      0   2781     15      0 
 20260722    03:43:01       0     12      6      0      0      0      0   2785     15      0 
 20260722    03:43:02       0     31     17      0      0      0      0   2785     15      0 
 20260722    03:43:03       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:43:04       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:43:05       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:43:06       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:43:07       0     88     48      0      0      0      0   2785     15      0 
 20260722    03:43:08       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:43:09       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:43:10       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:43:11       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:43:12       0     90     49      0      0      0      0   2785     15      0 
 20260722    03:43:13       0     56     30      0      0      0      0   2785     15      0 
 20260722    03:43:14       0     26      4      0      0      0      0   2783     15      0 
 20260722    03:43:15       0     33     18      0      0      0      0   2783     15      0 
 20260722    03:43:16       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:43:17       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:43:18       0     12      0      0      0      0      0   2785     15      0 
#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %     MB     MB     MB 
 20260722    03:43:19       0     46     25      0      0      0      0   2783     15      0 
 20260722    03:43:20       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:43:21       0     40     18      0      0      0      0   2783     15      0 
 20260722    03:43:22       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:43:23       0     18      3      0      0      0      0   2785     15      0 
 20260722    03:43:24       0     59     32      0      0      0      0   2785     15      0 
 20260722    03:43:25       0     42     23      0      0      0      0   2785     15      0 
 20260722    03:43:26       0      0      0      0      0      0      0   2781     15      0 
 20260722    03:43:27       0     22     11      0      0      0      0   2785     15      0 
 20260722    03:43:28       0     68     37      0      0      0      0   2785     15      0 
 20260722    03:43:29       0     12      6      0      0      0      0   2785     15      0 
 20260722    03:43:30       0      0      0      0      0      0      0   2781     15      0 
 20260722    03:43:31       0     25      7      0      0      0      0   2785     15      0 
 20260722    03:43:32       0     66     36      0      0      0      0   2787     15      0 
 20260722    03:43:33       0     27      2      0      0      0      0   2785     15      0 
 20260722    03:43:34       0     89     48      0      0      0      0   2781     15      0 
 20260722    03:43:35       0     18      8      0      0      0      0   2785     15      0 
 20260722    03:43:36       0     27      8      0      0      0      0   2785     15      0 
 20260722    03:43:37       0     79     43      0      0      0      0   2783     15      0 
 20260722    03:43:38       0     20      9      0      0      0      0   2781     15      0 
 20260722    03:43:39       0     74     40      0      0      0      0   2785     15      0 
 20260722    03:43:40       0     35     14      0      0      0      0   2785     15      0 
 20260722    03:43:41       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:43:42       0      3      1      0      0      0      0   2783     15      0 
 20260722    03:43:43       0     24     16      0      0      0      0   2785     15      0 
 20260722    03:43:44       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:43:45       0     17      0      0      0      0      0   2787     15      0 
 20260722    03:43:46       0     17      0      0      0      0      0   2785     15      0 
 20260722    03:43:47       0      0      0      0      0      0      0   2781     15      0 
 20260722    03:43:48       0      2      1      0      0      0      0   2783     15      0 
 20260722    03:43:49       0     13      6      0      0      0      0   2785     15      0 
 20260722    03:43:50       0     41     23      0      0      0      0   2785     15      0 
 20260722    03:43:51       0      1      1      0      0      0      0   2785     15      0 
 20260722    03:43:52       0     12      0      0      0      0      0   2785     15      0 
 20260722    03:43:53       0     21      2      0      0      0      0   2781     15      0 
 20260722    03:43:54       0     11      6      0      0      0      0   2783     15      0 
 20260722    03:43:55       0     25      0      0      0      0      0   2785     15      0 
 20260722    03:43:56       0      2      1      0      0      0      0   2785     15      0 
 20260722    03:43:57       0      2      2      0      0      0      0   2785     15      0 
 20260722    03:43:58       0      2      1      0      0      0      0   2787     15      0 
 20260722    03:43:59       0     36     17      0      0      0      0   2785     15      0 
 20260722    03:44:00       0     42     17      0      0      0      0   2785     15      0 
