t_s,rss_gb,cuda_alloc_gb,cuda_reserved_gb
0.0,0.633,0.0,0.0
0.53,0.768,0.0,0.0
1.04,0.769,0.0,0.0
1.55,0.77,0.0,0.0
2.06,0.799,0.0,0.0
2.57,0.8,0.0,0.0
3.08,0.8,0.0,0.0
3.59,0.9,0.0,0.0
4.1,0.88,0.0,0.0
4.6,0.925,0.0,0.0
5.11,0.94,0.0,0.0
5.62,0.931,0.0,0.0
6.13,0.933,0.0,0.0
6.64,0.96,0.0,0.0
7.15,0.952,0.0,0.0
7.66,0.95,0.0,0.0
8.17,0.974,0.0,0.0
8.68,0.97,0.0,0.0
9.18,0.978,0.0,0.0
9.69,0.999,0.0,0.0
10.19,0.983,0.0,0.0
10.7,0.968,0.0,0.0
11.21,1.002,0.0,0.0
11.72,0.992,0.0,0.0
12.22,1.019,0.0,0.0
12.73,1.014,0.0,0.0
13.24,1.007,0.0,0.0
13.75,0.993,0.0,0.0
14.26,1.006,0.0,0.0
14.77,1.036,0.0,0.0
15.28,1.002,0.0,0.0
15.78,1.011,0.0,0.0
16.3,1.017,0.0,0.0
16.8,1.025,0.0,0.0
17.31,1.024,0.0,0.0
17.81,1.032,0.0,0.0
18.32,1.024,0.0,0.0
18.82,1.009,0.0,0.0
19.33,1.032,0.0,0.0
19.84,1.019,0.0,0.0
20.34,1.013,0.0,0.0
20.85,1.1,0.0,0.0
21.68,1.372,0.084,0.094
22.24,1.734,0.084,0.094
22.75,1.755,0.263,0.663
23.26,1.812,3.854,0.724
23.77,2.032,0.532,0.573
24.28,2.081,0.444,0.835
24.79,2.776,0.491,0.617
25.3,2.963,0.453,2.181
25.81,2.92,0.453,2.185
26.32,3.042,0.467,2.185
27.99,2.907,0.482,2.181
28.52,3.127,0.465,2.185
29.69,2.961,0.453,2.181
30.2,3.134,0.469,2.185
31.12,3.013,0.453,0.531
31.64,3.134,0.467,2.185
32.96,2.913,0.654,1.185
33.47,3.134,0.466,2.185
34.65,2.925,0.482,2.181
35.16,3.079,0.465,2.185
36.17,2.927,0.482,2.181
36.68,3.12,0.466,2.185
37.47,2.974,0.482,2.181
37.98,3.059,1.206,2.185
38.7,3.058,0.453,2.185
39.22,3.068,0.582,2.185
39.84,3.066,0.457,2.185
40.35,3.056,0.467,2.185
41.55,3.059,0.453,2.185
42.06,3.065,0.467,2.185
42.62,3.064,0.473,2.185
43.13,3.056,0.467,2.185
43.83,3.058,0.529,2.185
44.36,3.06,0.467,2.185
45.68,3.059,0.537,2.185
46.19,3.064,0.467,2.185
47.34,3.063,0.453,2.185
47.86,3.06,0.467,2.185
48.44,3.063,0.476,2.185
48.96,3.065,0.467,2.185
49.84,3.063,0.526,2.185
50.36,3.06,0.525,2.185
51.26,3.062,0.453,2.185
51.79,3.064,1.262,2.185
52.4,3.066,0.478,2.185
52.92,3.068,0.467,2.185
53.6,3.067,0.467,2.185
54.13,3.073,0.467,2.185
55.29,3.071,0.453,2.185
55.8,3.069,0.467,2.185
56.44,3.067,0.453,0.531
56.95,3.129,0.464,2.185
57.47,2.99,0.453,2.187
57.98,3.065,0.467,2.185
58.49,2.98,0.58,1.185
59.02,3.072,0.467,2.185
59.52,3.064,0.467,2.185
60.03,3.063,0.453,0.531
60.55,3.062,0.467,2.185
61.06,3.057,0.462,2.185
61.56,3.005,0.453,2.181
62.07,3.116,0.453,2.185
62.59,3.057,1.206,2.185
63.17,3.056,0.534,2.185
63.69,3.066,0.582,2.185
64.44,3.068,0.507,2.185
64.95,3.07,0.582,2.185
65.67,3.068,0.521,2.185
66.18,3.058,0.467,2.185
67.13,3.061,0.453,2.185
67.64,3.059,0.467,2.185
68.61,3.115,0.453,2.185
69.13,3.067,0.463,2.185
70.75,2.966,0.453,2.181
71.26,3.098,0.453,2.185
71.77,2.98,0.453,0.531
72.27,2.98,0.453,0.531
72.78,2.95,0.453,2.185
73.3,3.058,0.467,2.185
74.16,3.061,0.532,2.185
74.68,3.071,0.467,2.185
75.83,3.069,0.453,2.185
76.35,3.062,0.453,2.185
77.13,3.063,0.467,2.185
77.64,2.954,0.453,0.531
78.15,3.059,0.467,2.187
78.66,3.067,0.467,2.185
79.17,3.066,0.474,2.185
79.69,3.072,0.467,2.185
80.69,3.07,0.514,2.185
81.21,3.066,0.467,2.185
81.88,3.112,0.453,2.185
82.4,3.063,0.467,2.185
83.94,2.978,0.482,2.181
