#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %     MB     MB     MB 
 20260722    03:21:48       0      0      0      0      0      0      0     92     13      0 
 20260722    03:21:49       0      0      0      0      0      0      0     92     13      0 
 20260722    03:21:50       0      0      0      0      0      0      0     92     13      0 
 20260722    03:21:51       0      0      0      0      0      0      0     92     13      0 
 20260722    03:21:52       0      0      0      0      0      0      0     92     13      0 
 20260722    03:21:53       0      0      0      0      0      0      0     92     13      0 
 20260722    03:21:54       0      0      0      0      0      0      0     92     13      0 
 20260722    03:21:55       0      0      0      0      0      0      0    685     15      0 
 20260722    03:21:56       0      0      0      0      0      0      0   1469     15      0 
 20260722    03:21:57       0      4      2      0      0      0      0   1383     15      0 
 20260722    03:21:58       0     64     31      0      0      0      0   1287     15      0 
 20260722    03:21:59       0     18      3      0      0      0      0   2785     15      0 
 20260722    03:22:00       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:22:01       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:22:02       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:22:03       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:22:04       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:22:05       0     15      6      0      0      0      0   2785     15      0 
 20260722    03:22:06       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:22:07       0     41     22      0      0      0      0   2785     15      0 
 20260722    03:22:08       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:22:09       0     18      4      0      0      0      0   2785     15      0 
 20260722    03:22:10       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:22:11       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:22:12       0     30     11      0      0      0      0   2785     15      0 
 20260722    03:22:13       0      2      0      0      0      0      0   2785     15      0 
 20260722    03:22:14       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:22:15       0     20      9      0      0      0      0   2785     15      0 
 20260722    03:22:16       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:22:17       0     22     10      0      0      0      0   2785     15      0 
 20260722    03:22:18       0     15      8      0      0      0      0   2781     15      0 
 20260722    03:22:19       0     88     48      0      0      0      0   2785     15      0 
 20260722    03:22:20       0     90     49      0      0      0      0   2785     15      0 
 20260722    03:22:21       0     22     10      0      0      0      0   2781     15      0 
 20260722    03:22:22       0      2      0      0      0      0      0   2781     15      0 
 20260722    03:22:23       0      1      0      0      0      0      0   2785     15      0 
 20260722    03:22:24       0     31      8      0      0      0      0   2781     15      0 
 20260722    03:22:25       0     20     11      0      0      0      0   2785     15      0 
 20260722    03:22:26       0      1      1      0      0      0      0   2785     15      0 
 20260722    03:22:27       0     19     11      0      0      0      0   2781     15      0 
 20260722    03:22:28       0      1      0      0      0      0      0   2787     15      0 
 20260722    03:22:29       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:22:30       0      0      0      0      0      0      0   2787     15      0 
 20260722    03:22:31       0      8      4      0      0      0      0   2785     15      0 
#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %     MB     MB     MB 
 20260722    03:22:32       0     53     29      0      0      0      0   2785     15      0 
 20260722    03:22:33       0      0      0      0      0      0      0   2783     15      0 
 20260722    03:22:34       0     69     37      0      0      0      0   2785     15      0 
 20260722    03:22:35       0     14      0      0      0      0      0   2785     15      0 
 20260722    03:22:36       0     35     11      0      0      0      0   2781     15      0 
 20260722    03:22:37       0     28     15      0      0      0      0   2783     15      0 
 20260722    03:22:38       0      1      1      0      0      0      0   2785     15      0 
 20260722    03:22:39       0     22     10      0      0      0      0   2785     15      0 
 20260722    03:22:40       0     17      0      0      0      0      0   2785     15      0 
 20260722    03:22:41       0     81     44      0      0      0      0   2785     15      0 
 20260722    03:22:42       0     79     43      0      0      0      0   2785     15      0 
 20260722    03:22:43       0      0      0      0      0      0      0   2787     15      0 
 20260722    03:22:44       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:22:45       0      0      0      0      0      0      0   2785     15      0 
