t_s,rss_gb,cuda_alloc_gb,cuda_reserved_gb
0.0,0.633,0.0,0.0
0.53,0.703,0.0,0.0
1.03,0.793,0.0,0.0
1.54,0.822,0.0,0.0
2.04,0.833,0.0,0.0
2.55,0.845,0.0,0.0
3.05,0.86,0.0,0.0
3.55,0.871,0.0,0.0
4.06,0.87,0.0,0.0
4.56,0.878,0.0,0.0
5.07,0.887,0.0,0.0
5.58,0.866,0.0,0.0
6.11,0.998,0.0,0.0
6.82,1.26,0.084,0.094
7.34,1.616,0.084,0.094
7.85,1.635,0.263,0.663
8.36,1.696,0.59,0.724
8.86,1.917,0.546,0.573
9.37,1.966,0.444,0.835
9.88,2.678,0.522,0.614
10.4,2.818,0.453,2.181
10.91,2.939,0.472,2.185
11.73,2.774,0.65,1.185
12.26,2.951,0.466,2.185
13.62,2.797,0.543,1.185
14.15,2.962,0.464,2.185
14.88,2.859,0.453,2.181
15.38,2.888,0.467,2.185
15.9,2.942,0.469,2.185
16.78,2.799,0.453,0.531
17.3,2.959,0.469,2.185
18.43,2.892,0.453,2.185
18.94,2.965,0.466,2.185
20.48,2.789,0.545,1.185
21.0,2.95,0.465,2.185
22.05,2.794,0.482,2.181
22.57,2.889,0.47,2.185
23.32,2.789,0.482,2.181
23.85,2.953,0.457,2.185
24.92,2.826,0.453,2.181
25.44,2.956,0.472,2.185
26.23,2.784,0.564,1.185
26.76,3.011,0.466,2.185
28.35,2.859,0.552,1.185
28.88,2.937,1.319,2.185
29.86,2.948,0.453,2.185
30.37,2.949,0.467,2.185
30.88,2.844,0.453,0.531
31.41,2.949,0.467,2.185
31.92,2.944,0.467,2.185
32.43,2.844,0.65,1.185
32.94,2.91,0.453,2.187
33.45,2.937,0.467,2.185
34.18,2.948,0.453,2.185
34.69,2.944,0.695,2.185
35.55,2.942,0.453,2.185
36.06,2.885,0.453,2.185
36.57,3.006,0.453,2.185
37.08,2.955,0.453,2.185
37.59,2.94,0.922,2.185
38.87,2.951,0.462,2.185
39.39,2.939,0.467,2.185
40.54,2.843,0.453,0.531
41.05,2.944,0.467,2.185
41.56,2.847,0.453,0.531
42.07,2.949,0.467,2.185
42.58,2.948,0.453,0.531
43.1,2.941,0.922,2.185
43.78,2.944,0.471,2.187
44.29,2.954,0.525,2.185
44.95,2.952,0.453,2.185
45.46,2.848,0.453,2.185
45.98,2.945,1.206,2.185
46.61,2.944,0.453,2.185
47.12,2.878,0.453,2.185
47.63,3.012,0.453,2.185
48.13,2.888,0.453,2.181
48.64,2.857,0.453,2.185
49.16,2.94,0.695,2.185
50.17,2.97,0.453,2.185
50.69,3.02,0.456,2.185
52.04,2.87,0.453,2.181
52.55,3.01,0.453,2.185
53.06,2.893,0.453,2.181
53.57,2.938,0.477,2.185
54.09,2.933,0.453,2.181
54.6,2.881,0.453,2.185
55.12,3.017,0.453,2.185
55.74,2.867,0.453,2.181
56.24,2.944,0.467,2.185
56.75,2.859,0.482,2.181
57.26,2.951,0.453,2.185
57.78,2.86,0.453,2.181
58.28,2.856,0.453,2.185
58.8,2.951,1.262,2.185
59.48,2.95,0.453,2.185
59.99,2.939,0.545,2.185
60.51,2.908,0.453,2.181
61.02,3.015,0.463,2.185
62.04,2.869,0.453,2.181
62.55,2.853,0.453,2.185
63.06,2.941,0.467,2.185
64.95,2.94,0.528,2.185
65.46,2.95,0.453,2.185
66.94,2.948,0.453,2.185
67.45,2.945,0.554,2.185
68.74,3.014,0.468,2.185
69.26,2.941,0.979,2.185
70.54,2.94,0.453,2.185
71.05,2.95,0.467,2.185
71.81,2.948,0.453,2.185
72.33,2.852,0.453,2.187
72.84,2.89,0.467,2.185
73.76,2.948,0.453,2.185
74.28,2.936,0.467,2.185
74.79,2.86,0.539,1.185
75.3,2.849,0.453,2.185
75.81,2.941,1.093,2.185
76.93,2.94,0.453,2.185
77.45,3.0,0.453,2.185
77.96,2.844,0.482,2.181
78.49,2.95,0.453,2.185
79.13,2.86,0.535,1.185
79.64,2.95,0.467,2.185
80.76,3.019,0.464,2.185
81.27,2.941,0.866,2.185
82.7,2.94,0.462,2.185
83.23,2.95,0.467,2.185
84.7,2.948,0.471,2.185
85.22,2.941,0.467,2.185
86.05,2.94,0.453,2.185
86.57,2.948,0.515,2.185
87.08,2.892,0.453,2.181
87.6,2.941,0.467,2.185
88.95,2.94,0.519,2.185
89.46,2.95,1.206,2.185
90.95,2.948,0.529,2.185
91.47,2.946,0.467,2.185
92.66,2.944,0.453,2.185
93.17,2.941,0.467,2.185
93.68,2.952,0.472,2.185
94.19,3.005,0.468,2.185
94.92,2.86,0.466,0.531
95.45,2.941,0.467,2.185
