cell_id,centroid_x,centroid_y,reddot,blackdot,score
1,319.19,129.15,NaN,NaN,NaN
2,853.06,276.94,2,2,0.0000
3,776.46,242.86,NaN,NaN,NaN
4,836.59,185.80,3,6,2.0000
5,803.47,353.13,0,0,0.0000
6,78.26,361.14,NaN,NaN,NaN
7,701.77,49.00,0,0,0.0000
8,318.38,194.88,NaN,NaN,NaN
9,806.75,295.89,NaN,NaN,NaN
10,263.21,188.71,0,0,0.0000
11,744.50,176.18,2,2,0.0000
12,171.79,134.44,NaN,NaN,NaN
13,118.90,156.47,NaN,NaN,NaN
14,1298.85,885.06,NaN,NaN,NaN
15,1647.83,383.78,NaN,NaN,NaN
16,1139.23,841.18,NaN,NaN,NaN
17,1194.57,863.43,NaN,NaN,NaN
18,971.16,217.96,0,0,0.0000
19,938.03,26.45,NaN,NaN,NaN
20,1627.48,162.03,NaN,NaN,NaN
21,1456.41,819.30,0,0,0.0000
22,900.55,71.94,0,0,0.0000
23,1404.17,875.88,NaN,NaN,NaN
24,1330.01,779.01,NaN,NaN,NaN
25,909.33,282.48,0,0,0.0000
26,1651.97,207.08,NaN,NaN,NaN
27,1462.45,332.84,NaN,NaN,NaN
28,1103.81,884.41,3,3,0.0000
29,1377.36,773.28,2,2,0.0000
30,1578.45,395.55,0,0,0.0000
31,1242.44,820.56,2,3,0.0000
32,1413.76,761.39,NaN,NaN,NaN
33,1928.61,229.77,2,1,0.0000
34,1860.05,284.07,NaN,NaN,NaN
35,1806.53,842.24,NaN,NaN,NaN
36,2164.65,483.06,3,6,2.0000
37,1757.54,191.90,0,0,0.0000
38,2306.96,406.98,NaN,NaN,NaN
39,1904.04,809.87,NaN,NaN,NaN
40,2263.10,440.20,NaN,NaN,NaN
41,2167.62,329.90,0,0,0.0000
42,2325.67,307.23,NaN,NaN,NaN
43,1874.29,85.01,3,8,2.6667
44,1681.38,318.35,2,3,0.0000
45,1934.90,98.44,NaN,NaN,NaN
46,1873.76,632.89,0,0,0.0000
47,2246.77,312.29,0,0,0.0000
48,2407.76,294.00,NaN,NaN,NaN
49,2080.03,369.02,NaN,NaN,NaN
50,1738.95,391.24,0,0,0.0000
51,2348.22,477.59,NaN,NaN,NaN
52,1853.60,354.62,3,1,0.0000
53,1997.01,407.58,0,0,0.0000
