cell_id,centroid_x,centroid_y,reddot,blackdot,score
1,892.22,633.21,NaN,NaN,NaN
2,786.23,512.12,3,2,0.0000
3,831.96,385.11,NaN,NaN,NaN
4,809.69,252.62,NaN,NaN,NaN
5,487.97,120.83,0,0,0.0000
6,669.06,174.83,NaN,NaN,NaN
7,737.49,647.88,NaN,NaN,NaN
8,729.15,258.30,0,0,0.0000
9,741.12,155.29,NaN,NaN,NaN
10,366.73,870.06,NaN,NaN,NaN
11,828.40,54.39,NaN,NaN,NaN
12,853.31,105.43,2,4,2.0000
13,37.71,884.76,2,4,2.0000
14,587.62,247.27,NaN,NaN,NaN
15,120.73,802.22,0,0,0.0000
16,430.44,23.57,0,0,0.0000
17,653.78,29.49,2,2,0.0000
18,96.16,886.65,0,0,0.0000
19,188.07,824.96,NaN,NaN,NaN
20,765.65,364.97,NaN,NaN,NaN
21,632.76,81.24,0,0,0.0000
22,784.39,158.90,NaN,NaN,NaN
23,725.71,429.37,NaN,NaN,NaN
24,140.93,759.87,0,0,0.0000
25,842.30,180.96,NaN,NaN,NaN
26,146.10,880.94,0,0,0.0000
27,23.87,676.16,0,0,0.0000
28,547.68,114.17,3,4,0.0000
29,812.73,106.03,0,0,0.0000
30,735.35,377.46,0,0,0.0000
31,129.34,845.03,0,0,0.0000
32,603.77,45.11,2,2,0.0000
33,699.68,112.57,NaN,NaN,NaN
34,680.08,384.53,0,0,0.0000
35,23.99,848.03,0,0,0.0000
36,394.18,770.25,NaN,NaN,NaN
37,598.47,127.19,NaN,NaN,NaN
38,763.27,86.67,NaN,NaN,NaN
39,80.43,833.78,0,0,0.0000
40,85.98,762.30,0,0,0.0000
41,418.97,76.03,NaN,NaN,NaN
42,1336.83,586.43,0,0,0.0000
43,919.10,269.26,NaN,NaN,NaN
44,1597.31,114.02,2,4,2.0000
45,1492.66,263.37,2,3,0.0000
46,1181.76,98.47,0,0,0.0000
47,1320.68,105.11,NaN,NaN,NaN
48,1650.41,529.53,4,4,0.0000
49,1425.92,79.42,NaN,NaN,NaN
50,1614.66,315.53,2,7,3.5000
51,910.86,116.47,NaN,NaN,NaN
52,1462.18,437.26,0,0,0.0000
53,1073.08,127.84,3,3,0.0000
54,1051.25,513.78,NaN,NaN,NaN
55,1034.84,450.20,NaN,NaN,NaN
56,1408.05,327.82,0,0,0.0000
57,975.14,547.45,NaN,NaN,NaN
58,1327.30,850.08,NaN,NaN,NaN
59,1043.55,647.51,2,3,0.0000
60,1396.20,464.57,0,0,0.0000
61,1009.73,160.62,4,6,0.0000
62,984.67,238.38,2,3,0.0000
63,1495.35,117.56,NaN,NaN,NaN
64,1255.94,39.32,NaN,NaN,NaN
65,1204.02,671.64,2,5,2.5000
66,1656.13,732.31,NaN,NaN,NaN
67,1230.32,159.60,NaN,NaN,NaN
68,905.60,388.58,NaN,NaN,NaN
69,974.73,113.92,NaN,NaN,NaN
70,1431.61,793.26,NaN,NaN,NaN
71,1207.03,730.29,NaN,NaN,NaN
72,1398.20,662.51,0,0,0.0000
73,1053.26,271.47,NaN,NaN,NaN
74,1172.87,528.51,NaN,NaN,NaN
75,1630.99,460.48,0,0,0.0000
76,1528.15,523.30,NaN,NaN,NaN
77,1292.35,516.76,2,7,3.5000
78,998.87,35.27,2,6,3.0000
79,1119.64,169.55,NaN,NaN,NaN
80,1142.76,361.39,NaN,NaN,NaN
81,1593.97,658.35,3,5,0.0000
82,1091.19,579.82,2,7,3.5000
83,1117.56,727.95,NaN,NaN,NaN
84,998.81,315.20,3,2,0.0000
85,1156.11,587.86,NaN,NaN,NaN
86,1170.73,872.02,NaN,NaN,NaN
87,1246.77,789.26,3,7,2.3333
88,1474.25,353.43,0,0,0.0000
89,1409.29,244.93,0,0,0.0000
90,1150.01,808.27,NaN,NaN,NaN
91,1549.62,452.88,NaN,NaN,NaN
92,1528.72,394.25,0,0,0.0000
93,1079.74,327.12,4,7,0.0000
94,1526.66,672.05,0,0,0.0000
95,1216.80,334.21,0,0,0.0000
96,1651.07,887.89,NaN,NaN,NaN
97,1326.23,468.34,NaN,NaN,NaN
