cell_id,centroid_x,centroid_y,reddot,blackdot,score
1,533.75,698.67,3,7,2.3333
2,305.28,351.50,0,0,0.0000
3,547.75,456.47,2,5,2.5000
4,571.14,214.76,NaN,NaN,NaN
5,706.10,327.57,NaN,NaN,NaN
6,845.87,417.80,NaN,NaN,NaN
7,462.88,816.26,0,0,0.0000
8,145.76,159.20,2,5,2.5000
9,838.28,192.95,NaN,NaN,NaN
10,396.48,563.16,NaN,NaN,NaN
11,62.43,861.60,0,0,0.0000
12,501.78,328.54,NaN,NaN,NaN
13,258.90,797.82,NaN,NaN,NaN
14,814.62,306.68,NaN,NaN,NaN
15,684.93,447.46,NaN,NaN,NaN
16,229.48,107.76,2,5,2.5000
17,791.29,839.45,NaN,NaN,NaN
18,303.09,154.77,3,6,2.0000
19,86.84,499.29,3,8,2.6667
20,808.79,691.94,0,0,0.0000
21,595.59,353.21,3,5,0.0000
22,435.47,240.03,2,5,2.5000
23,593.76,99.46,NaN,NaN,NaN
24,262.08,481.64,NaN,NaN,NaN
25,803.95,558.44,NaN,NaN,NaN
26,640.71,597.10,2,3,0.0000
27,697.24,645.31,NaN,NaN,NaN
28,855.96,60.31,3,9,3.0000
29,857.15,605.50,0,0,0.0000
30,102.63,625.81,0,0,0.0000
31,482.01,177.82,NaN,NaN,NaN
32,690.55,189.88,NaN,NaN,NaN
33,508.44,563.41,0,0,0.0000
34,372.20,132.71,NaN,NaN,NaN
35,197.04,353.33,0,0,0.0000
36,864.61,816.57,2,3,0.0000
37,754.47,638.92,NaN,NaN,NaN
38,419.95,727.72,3,9,3.0000
39,529.08,58.91,NaN,NaN,NaN
40,696.77,745.71,3,4,0.0000
41,774.88,479.74,0,0,0.0000
42,186.57,737.37,0,0,0.0000
43,383.95,413.26,0,0,0.0000
44,805.70,91.37,NaN,NaN,NaN
45,589.02,607.01,NaN,NaN,NaN
46,457.03,573.55,0,0,0.0000
47,337.30,479.12,3,4,0.0000
48,303.37,225.58,NaN,NaN,NaN
49,146.23,610.03,0,0,0.0000
50,161.61,804.79,3,2,0.0000
51,452.49,486.26,2,5,2.5000
52,198.81,655.05,0,0,0.0000
53,810.65,770.28,0,0,0.0000
54,658.49,527.25,NaN,NaN,NaN
55,190.34,854.41,NaN,NaN,NaN
56,595.21,891.77,2,2,0.0000
57,322.39,742.36,NaN,NaN,NaN
58,368.21,229.78,NaN,NaN,NaN
59,418.48,160.09,4,5,0.0000
60,650.31,840.30,NaN,NaN,NaN
61,583.92,798.11,0,0,0.0000
62,105.57,707.30,0,0,0.0000
63,27.45,780.52,0,0,0.0000
64,367.68,364.48,0,0,0.0000
65,52.73,617.16,NaN,NaN,NaN
66,414.55,317.68,0,0,0.0000
67,710.02,136.75,NaN,NaN,NaN
68,886.10,266.06,0,0,0.0000
69,492.82,110.51,0,0,0.0000
70,126.41,425.20,0,0,0.0000
71,145.89,723.74,0,0,0.0000
72,162.13,678.02,0,0,0.0000
73,638.90,318.94,0,0,0.0000
74,649.01,226.35,NaN,NaN,NaN
75,208.57,570.01,0,0,0.0000
76,727.80,550.35,NaN,NaN,NaN
77,776.99,176.37,3,3,0.0000
78,713.36,524.86,NaN,NaN,NaN
79,1467.10,864.84,NaN,NaN,NaN
80,1021.25,698.21,2,2,0.0000
81,1143.93,406.23,3,4,0.0000
82,1043.17,320.55,NaN,NaN,NaN
83,1247.71,300.67,2,9,4.5000
84,1354.02,601.03,NaN,NaN,NaN
85,1202.60,652.47,NaN,NaN,NaN
86,901.80,713.66,NaN,NaN,NaN
87,937.10,319.82,2,3,0.0000
88,1026.09,813.53,3,0,0.0000
89,1037.04,160.61,NaN,NaN,NaN
90,1146.06,732.26,NaN,NaN,NaN
91,1257.75,833.78,NaN,NaN,NaN
92,1469.15,316.99,0,0,0.0000
93,918.52,543.44,NaN,NaN,NaN
94,1100.25,242.64,2,5,2.5000
95,1017.54,426.51,NaN,NaN,NaN
96,1325.77,749.70,0,0,0.0000
97,1064.38,73.75,NaN,NaN,NaN
98,1244.28,709.71,2,4,2.0000
99,1250.20,136.03,3,5,0.0000
100,1171.70,814.88,0,0,0.0000
101,1055.78,521.01,NaN,NaN,NaN
102,918.86,871.05,NaN,NaN,NaN
103,1431.53,497.95,0,0,0.0000
104,987.94,497.07,NaN,NaN,NaN
105,1475.86,249.28,0,0,0.0000
106,1197.33,525.94,NaN,NaN,NaN
107,947.21,50.60,2,6,3.0000
108,929.19,787.60,NaN,NaN,NaN
109,932.68,440.04,NaN,NaN,NaN
110,1451.79,397.96,0,0,0.0000
111,1218.63,437.76,NaN,NaN,NaN
112,1622.72,807.82,NaN,NaN,NaN
113,1109.67,569.93,0,0,0.0000
114,1404.35,314.86,0,0,0.0000
115,1279.87,416.96,0,0,0.0000
116,1292.47,515.21,0,0,0.0000
117,1389.26,385.98,NaN,NaN,NaN
118,1174.25,589.70,NaN,NaN,NaN
119,1385.98,531.14,NaN,NaN,NaN
120,1232.11,16.58,NaN,NaN,NaN
121,1218.21,213.51,0,0,0.0000
122,997.38,576.46,NaN,NaN,NaN
123,1335.43,821.84,NaN,NaN,NaN
124,1609.85,697.65,NaN,NaN,NaN
125,1169.34,173.33,0,0,0.0000
126,916.23,384.66,NaN,NaN,NaN
127,1138.92,778.48,3,6,2.0000
