#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %     MB     MB     MB 
 20260708    01:34:34       0      0      0      0      0      0      0     92     13      0 
 20260708    01:34:35       0      0      0      0      0      0      0     92     13      0 
 20260708    01:34:36       0      0      0      0      0      0      0     92     13      0 
 20260708    01:34:37       0      0      0      0      0      0      0     92     13      0 
 20260708    01:34:38       0      0      0      0      0      0      0     92     13      0 
 20260708    01:34:39       0      0      0      0      0      0      0     92     13      0 
 20260708    01:34:40       0      0      0      0      0      0      0     92     13      0 
 20260708    01:34:41       0      7      0      0      0      0      0    685     15      0 
 20260708    01:34:42       0      2      0      0      0      0      0   1969     15      0 
 20260708    01:34:43       0     19      1      0      0      0      0   2145     15      0 
 20260708    01:34:44       0     55     32      0      0      0      0   3303     15      0 
 20260708    01:34:45       0     91     57      0      0      0      0   2099     15      0 
 20260708    01:34:46       0     16      9      0      0      0      0   5153     15      0 
 20260708    01:34:47       0     29     24      0      0      0      0   5153     15      0 
 20260708    01:34:48       0      1      1      0      0      0      0   5153     15      0 
 20260708    01:34:49       0     86     58      0      0      0      0   5153     15      0 
 20260708    01:34:50       0     19     11      0      0      0      0   5153     15      0 
 20260708    01:34:51       0     90     60      0      0      0      0   5155     15      0 
 20260708    01:34:52       0     15     10      0      0      0      0   5153     15      0 
 20260708    01:34:53       0     91     60      0      0      0      0   3617     15      0 
 20260708    01:34:54       0     92     64      0      0      0      0   5153     15      0 
 20260708    01:34:55       0      5      4      0      0      0      0   5153     15      0 
 20260708    01:34:56       0      0      0      0      0      0      0   5153     15      0 
 20260708    01:34:57       0     99     69      0      0      0      0   2043     15      0 
 20260708    01:34:58       0      0      0      0      0      0      0   5153     15      0 
 20260708    01:34:59       0     44     24      0      0      0      0   5153     15      0 
 20260708    01:35:00       0     15     10      0      0      0      0   5153     15      0 
 20260708    01:35:01       0     89     58      0      0      0      0   5155     15      0 
 20260708    01:35:02       0     28     19      0      0      0      0   5153     15      0 
 20260708    01:35:03       0     86     56      0      0      0      0   5153     15      0 
 20260708    01:35:04       0      1      0      0      0      0      0   5153     15      0 
 20260708    01:35:05       0      2      2      0      0      0      0   5155     15      0 
 20260708    01:35:06       0     26     15      0      0      0      0   5153     15      0 
 20260708    01:35:07       0     98     68      0      0      0      0   5153     15      0 
 20260708    01:35:08       0      6      4      0      0      0      0   5153     15      0 
 20260708    01:35:09       0      1      1      0      0      0      0   5153     15      0 
 20260708    01:35:10       0      0      0      0      0      0      0   5155     15      0 
 20260708    01:35:11       0      2      1      0      0      0      0   5153     15      0 
 20260708    01:35:12       0     12      8      0      0      0      0   5157     15      0 
 20260708    01:35:13       0     39     28      0      0      0      0   5153     15      0 
 20260708    01:35:14       0     19     11      0      0      0      0   5157     15      0 
 20260708    01:35:15       0     11      7      0      0      0      0   5153     15      0 
 20260708    01:35:16       0     91     61      0      0      0      0   3617     15      0 
