t_s,rss_gb,cuda_alloc_gb,cuda_reserved_gb
0.0,0.649,0.0,0.0
0.53,0.726,0.0,0.0
1.04,0.814,0.0,0.0
1.54,0.846,0.0,0.0
2.05,0.868,0.0,0.0
2.55,0.898,0.0,0.0
3.05,0.884,0.0,0.0
3.56,0.898,0.0,0.0
4.07,0.901,0.0,0.0
4.58,0.922,0.0,0.0
5.08,0.919,0.0,0.0
5.59,0.899,0.0,0.0
6.15,1.044,0.0,0.0
6.83,1.315,0.084,0.094
7.56,2.273,0.084,0.094
8.07,1.581,0.694,1.355
8.58,2.549,0.694,1.355
9.09,1.807,1.443,1.527
9.6,1.912,1.397,1.478
10.11,1.974,2.224,2.439
10.62,2.46,1.371,1.468
11.13,2.82,1.314,1.466
11.65,2.847,1.314,3.899
12.15,2.935,2.126,4.668
12.89,2.911,1.314,4.668
13.46,2.884,1.503,2.062
14.0,2.959,2.126,4.668
15.14,2.89,1.314,4.668
15.71,2.881,1.427,1.508
16.24,2.955,2.126,4.668
17.1,2.918,1.314,4.67
17.63,2.892,1.4,2.062
18.16,2.952,2.126,4.668
18.67,2.956,2.696,4.67
19.17,2.978,1.314,3.058
19.68,2.957,2.126,4.668
20.22,2.879,1.314,4.668
20.73,2.945,1.314,4.67
21.24,2.96,2.126,4.668
22.53,2.882,1.314,4.668
23.04,2.943,1.314,4.668
23.55,2.952,2.126,4.668
25.02,2.924,1.314,4.668
25.58,2.886,1.314,1.407
26.1,2.964,2.126,4.668
27.09,2.936,1.314,4.67
27.61,2.89,1.413,2.062
28.16,2.956,2.126,4.668
29.07,2.937,1.314,4.668
29.63,2.878,1.314,1.407
30.16,2.956,2.126,4.668
31.35,2.924,1.314,4.67
31.88,2.898,1.461,2.062
32.42,2.96,2.159,4.668
33.2,2.899,1.314,4.668
33.71,2.884,1.314,1.407
34.22,2.954,2.126,4.668
35.79,2.913,1.314,4.67
36.35,2.895,1.41,2.062
36.89,2.952,2.126,4.668
37.83,2.964,2.126,4.672
38.33,2.911,1.343,3.058
38.84,2.968,2.159,4.668
39.35,2.968,2.126,4.668
39.86,2.964,2.126,4.668
40.37,2.968,2.126,4.672
40.88,2.932,1.343,3.058
41.39,2.904,1.324,4.67
41.9,2.924,1.318,4.672
42.41,2.957,2.126,4.668
42.92,2.957,2.126,4.675
43.43,2.893,1.948,2.248
43.94,2.966,1.589,4.668
44.45,2.97,2.126,4.67
44.96,3.005,1.314,3.058
45.49,2.971,2.126,4.668
46.24,2.97,2.126,4.67
46.74,2.929,1.314,3.058
47.25,2.913,1.327,4.67
47.77,2.926,1.361,4.672
48.28,2.991,1.771,4.668
48.78,2.966,2.126,4.668
49.29,2.969,1.314,3.058
49.81,2.971,2.126,4.668
51.04,2.941,1.314,4.668
51.62,2.893,1.4,2.062
52.16,2.948,2.126,4.668
53.33,2.954,2.126,4.672
53.84,2.897,1.343,3.058
54.35,2.962,2.126,4.668
54.86,2.966,2.126,4.672
55.36,3.002,1.314,3.058
55.87,2.991,2.073,4.668
56.38,2.991,1.771,4.675
56.89,2.971,2.126,4.668
57.87,2.97,2.126,4.675
58.38,2.893,1.343,3.058
58.91,2.948,2.126,4.668
59.45,2.959,2.126,4.672
59.96,2.909,1.343,3.058
60.47,2.932,1.314,4.672
60.99,2.944,1.314,4.672
61.5,2.971,1.771,4.668
62.02,2.98,1.771,4.67
62.53,2.958,2.126,4.668
63.08,2.957,2.126,4.672
63.59,2.884,1.407,2.062
64.11,2.928,1.314,4.672
64.61,2.92,1.329,4.672
65.12,2.955,2.126,4.668
65.63,2.955,2.126,4.67
66.14,2.976,1.314,3.058
66.65,2.948,2.126,4.668
67.29,2.878,1.314,4.668
67.8,2.944,1.314,4.67
68.32,2.956,2.126,4.668
69.64,2.92,1.314,4.67
70.17,2.882,1.441,2.062
70.7,2.948,2.126,4.668
71.25,2.954,2.126,4.672
71.76,2.884,1.314,1.407
72.27,2.962,2.126,4.668
72.78,2.962,2.126,4.672
73.29,2.958,1.314,3.058
73.8,2.918,1.336,4.67
74.31,3.016,1.322,4.672
74.82,2.954,2.126,4.668
75.35,2.966,2.126,4.672
75.86,2.928,1.343,3.058
76.37,2.995,1.771,4.668
76.88,2.995,1.771,4.672
77.39,2.964,2.126,4.668
78.0,2.964,2.126,4.672
78.5,2.925,1.314,3.058
79.01,2.981,1.771,4.668
79.52,2.985,1.771,4.672
80.03,2.96,2.126,4.668
80.84,2.972,2.126,4.672
81.35,2.93,1.314,3.058
81.86,2.912,1.324,4.668
82.38,2.993,1.771,4.668
82.89,2.964,2.126,4.668
84.27,2.963,2.126,4.672
84.78,2.89,1.407,2.062
85.29,2.926,1.391,4.668
85.81,2.992,1.771,4.668
86.32,2.972,2.126,4.668
88.25,2.943,1.314,4.668
88.8,2.894,1.314,1.407
89.34,2.965,2.126,4.668
90.67,2.903,1.314,4.668
91.18,2.949,1.314,1.407
91.71,2.969,2.126,4.668
93.29,2.899,1.314,4.668
93.87,2.895,1.314,1.407
94.4,2.973,2.126,4.668
95.75,2.93,1.314,4.67
96.29,2.895,1.402,2.062
96.83,2.967,2.126,4.668
97.49,2.966,2.126,4.672
97.99,2.889,1.414,2.062
98.51,2.899,1.325,4.672
99.02,2.904,1.314,4.675
99.54,2.957,2.126,4.668
100.36,2.959,2.126,4.672
100.87,2.905,1.343,3.058
101.38,2.989,1.771,4.668
101.89,2.989,1.771,4.67
102.4,2.959,2.126,4.668
102.91,2.915,1.314,4.668
103.44,2.882,1.41,2.062
103.99,2.948,2.126,4.668
104.84,2.954,2.126,4.672
105.35,2.887,1.314,1.407
105.87,2.964,2.126,4.668
106.38,2.964,2.126,4.67
106.89,2.979,1.314,3.058
107.42,2.957,2.126,4.668
108.12,2.934,1.314,4.668
108.66,2.891,1.427,1.609
109.21,2.965,2.126,4.668
110.38,2.895,1.314,4.668
110.89,2.903,1.314,1.407
111.42,2.952,2.126,4.668
112.79,2.895,1.314,4.668
113.38,2.887,1.314,1.407
113.93,2.965,2.126,4.668
115.18,2.929,1.314,4.67
115.74,2.887,1.327,1.407
116.27,2.961,2.126,4.668
117.13,2.964,2.126,4.675
117.64,2.887,1.314,1.407
118.16,2.964,1.32,4.668
118.67,2.964,2.126,4.668
119.18,2.965,1.314,3.058
119.69,2.96,2.126,4.668
121.03,2.924,1.314,4.67
121.57,2.89,1.314,1.407
122.11,2.956,2.126,4.668
123.66,2.955,2.126,4.67
124.17,2.89,1.343,3.058
124.69,2.959,2.126,4.668
125.69,2.958,2.126,4.672
126.2,2.889,1.436,2.062
126.73,2.967,2.126,4.668
127.24,2.967,2.126,4.668
127.75,2.958,1.314,3.058
128.27,2.961,2.126,4.668
128.9,2.9,1.314,4.668
129.41,2.899,1.314,1.407
130.02,2.953,2.126,4.668
131.15,2.921,1.314,4.668
131.69,2.887,1.314,1.407
132.22,2.957,2.126,4.668
133.3,2.956,2.126,4.672
133.81,2.979,1.314,3.058
134.32,2.891,1.314,4.672
134.83,2.88,1.314,1.407
135.43,2.985,1.771,4.668
135.94,2.964,2.126,4.668
136.45,2.961,1.314,3.058
136.97,2.965,2.126,4.668
138.24,2.945,2.126,4.67
138.75,2.891,1.314,1.407
139.28,2.97,2.126,4.668
140.02,2.969,2.126,4.675
140.53,2.897,1.343,3.058
141.04,2.962,2.126,4.668
141.55,2.962,2.126,4.675
142.06,2.993,1.314,3.058
142.57,2.967,2.126,4.668
143.21,2.967,2.126,4.675
143.72,2.889,1.4,2.062
144.25,2.962,2.126,4.668
144.78,2.901,1.314,4.668
145.29,2.946,1.314,4.67
145.81,2.966,2.126,4.668
147.12,2.905,1.314,4.668
147.63,2.947,1.314,4.67
148.14,2.971,2.126,4.668
149.52,2.939,1.314,4.668
150.09,2.893,1.4,2.062
150.64,2.964,2.126,4.668
151.48,2.895,1.314,4.668
152.05,2.886,1.41,2.062
152.61,2.957,2.126,4.668
153.71,2.96,2.126,4.672
154.22,2.94,1.314,3.058
154.73,2.933,1.314,4.672
155.24,2.944,1.314,4.672
155.75,2.981,1.318,4.668
156.26,2.956,2.126,4.668
156.77,2.999,1.314,3.058
157.28,2.959,2.126,4.668
158.27,2.898,1.314,4.668
158.78,2.947,1.314,1.407
159.31,2.955,2.126,4.668
160.72,2.957,2.126,4.672
161.23,2.896,1.343,3.058
161.73,2.897,1.314,1.407
162.27,2.948,2.126,4.668
162.77,2.896,1.314,4.668
163.31,2.917,1.314,1.407
163.84,2.949,2.126,4.668
165.03,2.956,2.126,4.672
165.54,2.883,1.314,1.407
166.06,2.961,2.126,4.668
166.57,2.925,1.314,4.668
167.1,2.891,1.314,1.407
167.62,2.957,2.126,4.668
168.58,2.956,2.126,4.67
169.09,2.896,1.434,2.062
169.63,2.953,2.126,4.668
170.66,2.955,2.126,4.67
171.17,2.923,1.343,3.058
171.68,2.933,1.314,4.668
172.19,2.946,1.314,4.67
172.69,2.981,1.314,4.668
173.2,2.985,1.771,4.67
