#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %     MB     MB     MB 
 20260708    01:29:32       0      0      0      0      0      0      0     92     13      0 
 20260708    01:29:33       0      0      0      0      0      0      0     92     13      0 
 20260708    01:29:34       0      0      0      0      0      0      0     92     13      0 
 20260708    01:29:35       0      0      0      0      0      0      0     92     13      0 
 20260708    01:29:36       0      0      0      0      0      0      0     92     13      0 
 20260708    01:29:37       0      0      0      0      0      0      0     92     13      0 
 20260708    01:29:38       0      0      0      0      0      0      0     92     13      0 
 20260708    01:29:39       0      0      0      0      0      0      0    685     15      0 
 20260708    01:29:40       0     18      1      0      0      0      0   1969     15      0 
 20260708    01:29:41       0      5      2      0      0      0      0   2145     15      0 
 20260708    01:29:42       0     77     47      0      0      0      0   3575     15      0 
 20260708    01:29:43       0     11      1      0      0      0      0   2099     15      0 
 20260708    01:29:44       0     34     23      0      0      0      0   5153     15      0 
 20260708    01:29:45       0     15     10      0      0      0      0   5153     15      0 
 20260708    01:29:46       0      0      0      0      0      0      0   5153     15      0 
 20260708    01:29:47       0     13     10      0      0      0      0   5153     15      0 
 20260708    01:29:48       0      1      1      0      0      0      0   5153     15      0 
 20260708    01:29:49       0      0      0      0      0      0      0   5155     15      0 
 20260708    01:29:50       0     99     69      0      0      0      0   5153     15      0 
 20260708    01:29:51       0     25     15      0      0      0      0   5153     15      0 
 20260708    01:29:52       0     59     45      0      0      0      0   5153     15      0 
 20260708    01:29:53       0      2      2      0      0      0      0   5153     15      0 
 20260708    01:29:54       0     23      9      0      0      0      0   5153     15      0 
 20260708    01:29:55       0      2      1      0      0      0      0   5153     15      0 
 20260708    01:29:56       0      1      0      0      0      0      0   5153     15      0 
 20260708    01:29:57       0     88     57      0      0      0      0   3617     15      0 
 20260708    01:29:58       0      5      3      0      0      0      0   5153     15      0 
 20260708    01:29:59       0     88     57      0      0      0      0   3617     15      0 
 20260708    01:30:00       0     94     66      0      0      0      0   5153     15      0 
 20260708    01:30:01       0     20     13      0      0      0      0   5153     15      0 
 20260708    01:30:02       0      2      2      0      0      0      0   5153     15      0 
 20260708    01:30:03       0     29     12      0      0      0      0   5153     15      0 
 20260708    01:30:04       0     86     57      0      0      0      0   5153     15      0 
 20260708    01:30:05       0     25     15      0      0      0      0   5153     15      0 
 20260708    01:30:06       0      3      3      0      0      0      0   5153     15      0 
 20260708    01:30:07       0     88     57      0      0      0      0   3617     15      0 
 20260708    01:30:08       0     20     14      0      0      0      0   5157     15      0 
 20260708    01:30:09       0     10      6      0      0      0      0   5153     15      0 
 20260708    01:30:10       0     85     59      0      0      0      0   5155     15      0 
 20260708    01:30:11       0     10      2      0      0      0      0   5157     15      0 
 20260708    01:30:12       0     24     16      0      0      0      0   5157     15      0 
 20260708    01:30:13       0     24     17      0      0      0      0   5153     15      0 
 20260708    01:30:14       0     36     18      0      0      0      0   5153     15      0 
 20260708    01:30:15       0     33     19      0      0      0      0   5155     15      0 
#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %     MB     MB     MB 
 20260708    01:30:16       0      0      0      0      0      0      0   5153     15      0 
 20260708    01:30:17       0     78     53      0      0      0      0   3617     15      0 
 20260708    01:30:18       0      0      0      0      0      0      0   5157     15      0 
 20260708    01:30:19       0     46     26      0      0      0      0   5153     15      0 
 20260708    01:30:20       0     18     13      0      0      0      0   5153     15      0 
 20260708    01:30:21       0      0      0      0      0      0      0   5153     15      0 
 20260708    01:30:22       0     39     21      0      0      0      0   5153     15      0 
 20260708    01:30:23       0      1      0      0      0      0      0   5153     15      0 
 20260708    01:30:24       0     91     59      0      0      0      0   5153     15      0 
 20260708    01:30:25       0     21     14      0      0      0      0   5157     15      0 
 20260708    01:30:26       0      1      1      0      0      0      0   5157     15      0 
 20260708    01:30:27       0     27     12      0      0      0      0   5153     15      0 
 20260708    01:30:28       0     31     20      0      0      0      0   5159     15      0 
 20260708    01:30:29       0      3      3      0      0      0      0   5153     15      0 
 20260708    01:30:30       0     99     69      0      0      0      0   3617     15      0 
 20260708    01:30:31       0     14      0      0      0      0      0   5157     15      0 
 20260708    01:30:32       0     32     22      0      0      0      0   5155     15      0 
 20260708    01:30:33       0      9      6      0      0      0      0   5157     15      0 
 20260708    01:30:34       0     15      8      0      0      0      0   5153     15      0 
 20260708    01:30:35       0     88     57      0      0      0      0   5153     15      0 
 20260708    01:30:36       0      0      0      0      0      0      0   2043     15      0 
 20260708    01:30:37       0      0      0      0      0      0      0   5153     15      0 
 20260708    01:30:38       0     90     60      0      0      0      0   5153     15      0 
 20260708    01:30:39       0      0      0      0      0      0      0   5153     15      0 
 20260708    01:30:40       0     16     11      0      0      0      0   3617     15      0 
 20260708    01:30:41       0     24     17      0      0      0      0   5157     15      0 
 20260708    01:30:42       0     11      7      0      0      0      0   5153     15      0 
 20260708    01:30:43       0      0      0      0      0      0      0   2043     15      0 
 20260708    01:30:44       0     48     31      0      0      0      0   5157     15      0 
 20260708    01:30:45       0      4      2      0      0      0      0   5157     15      0 
 20260708    01:30:46       0     24      8      0      0      0      0   5153     15      0 
 20260708    01:30:47       0      0      0      0      0      0      0   3617     15      0 
 20260708    01:30:48       0     34     23      0      0      0      0   5157     15      0 
 20260708    01:30:49       0     15     10      0      0      0      0   5153     15      0 
 20260708    01:30:50       0     88     57      0      0      0      0   5153     15      0 
 20260708    01:30:51       0     18     12      0      0      0      0   5157     15      0 
 20260708    01:30:52       0      6      4      0      0      0      0   5153     15      0 
 20260708    01:30:53       0     52     31      0      0      0      0   5153     15      0 
 20260708    01:30:54       0      3      1      0      0      0      0   5157     15      0 
 20260708    01:30:55       0     91     61      0      0      0      0   5153     15      0 
 20260708    01:30:56       0     56     50      0      0      0      0   5155     15      0 
 20260708    01:30:57       0      1      1      0      0      0      0   5153     15      0 
 20260708    01:30:58       0      1      0      0      0      0      0   5153     15      0 
 20260708    01:30:59       0     91     61      0      0      0      0   5153     15      0 
#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %     MB     MB     MB 
 20260708    01:31:00       0      0      0      0      0      0      0   5153     15      0 
 20260708    01:31:01       0     43     24      0      0      0      0   5153     15      0 
 20260708    01:31:02       0     18     13      0      0      0      0   5153     15      0 
 20260708    01:31:03       0      0      0      0      0      0      0   5153     15      0 
 20260708    01:31:04       0     94     65      0      0      0      0   5153     15      0 
