t_s,rss_gb,cuda_alloc_gb,cuda_reserved_gb
0.0,0.649,0.0,0.0
0.53,0.729,0.0,0.0
1.03,0.808,0.0,0.0
1.54,0.86,0.0,0.0
2.04,0.878,0.0,0.0
2.55,0.886,0.0,0.0
3.05,0.918,0.0,0.0
3.56,0.906,0.0,0.0
4.07,0.918,0.0,0.0
4.58,0.931,0.0,0.0
5.09,0.924,0.0,0.0
5.6,0.905,0.0,0.0
6.11,1.049,0.0,0.0
6.87,1.322,0.084,0.094
7.6,2.298,0.084,0.094
8.11,1.598,0.694,1.355
8.61,2.569,0.694,1.355
9.13,1.801,1.418,1.527
9.64,1.917,1.397,1.478
10.15,1.98,2.224,2.439
10.66,2.489,1.379,1.468
11.17,2.826,1.314,1.466
11.68,2.883,1.314,1.407
12.2,2.94,2.126,4.668
12.77,2.87,1.314,4.668
13.28,2.915,1.314,4.67
13.79,2.962,2.126,4.668
14.96,2.939,1.314,4.668
15.47,2.925,1.314,4.67
15.99,2.966,2.126,4.668
16.85,2.939,1.314,4.67
17.36,2.95,1.314,4.67
17.88,2.96,2.126,4.668
18.38,2.921,1.314,4.67
18.89,2.893,1.403,2.062
19.41,2.97,2.126,4.668
19.99,2.921,1.351,4.668
20.5,3.014,1.314,4.668
21.0,2.959,2.126,4.668
22.14,2.939,1.314,4.668
22.65,2.925,1.327,4.668
23.17,2.967,2.126,4.668
24.54,2.937,1.314,4.668
25.05,2.947,1.314,4.67
25.57,2.959,2.126,4.668
26.55,2.894,1.314,4.67
27.06,2.944,1.314,4.67
27.57,2.963,2.126,4.668
28.35,2.94,1.314,4.668
28.86,2.927,1.314,4.67
29.37,2.959,2.126,4.668
30.47,2.902,1.314,4.67
30.98,2.95,1.314,4.67
31.5,2.955,2.126,4.668
32.26,2.945,1.314,4.668
32.76,2.927,1.367,4.668
33.29,2.958,2.126,4.668
34.54,2.888,1.314,4.67
35.05,2.954,1.314,4.67
35.57,2.962,2.126,4.668
36.42,2.934,1.314,4.672
36.93,2.877,1.314,1.407
37.44,2.967,1.771,4.668
37.95,2.957,2.126,4.668
38.46,2.95,2.126,4.668
39.06,2.962,2.126,4.672
39.56,2.987,1.314,3.058
40.07,3.002,1.314,4.668
40.58,3.007,1.314,4.672
41.1,2.958,2.126,4.668
41.6,2.971,2.126,4.675
42.11,2.977,1.314,3.058
42.66,2.966,1.314,4.668
43.17,2.97,2.126,4.67
43.68,2.962,2.126,4.668
44.67,2.934,1.314,4.67
45.17,2.9,1.343,3.058
45.68,2.99,1.771,4.668
46.19,2.99,1.771,4.672
46.74,2.969,2.126,4.668
47.25,2.94,1.314,4.668
47.76,2.975,1.314,3.058
48.29,2.962,2.126,4.668
49.49,2.962,1.314,4.668
50.01,2.9,1.314,1.407
50.53,2.962,2.126,4.668
51.61,2.901,1.314,4.672
52.12,2.892,1.855,2.062
52.64,2.97,2.126,4.668
53.15,2.939,1.314,4.672
53.66,2.974,1.314,3.058
54.16,2.978,1.771,4.668
54.67,2.966,2.126,4.675
55.18,2.962,2.126,4.668
56.15,2.901,1.314,4.675
56.66,2.892,1.314,1.407
57.18,2.971,2.126,4.668
57.78,2.939,1.314,4.672
58.29,2.916,1.343,3.058
58.8,2.994,1.314,4.668
59.31,3.006,1.314,4.672
59.9,2.962,2.193,4.668
60.41,2.962,3.233,4.67
60.92,2.97,2.126,4.668
61.45,2.939,1.314,4.672
61.96,2.933,1.314,3.058
62.47,2.918,1.333,4.672
62.98,2.93,1.317,4.672
63.49,2.982,1.771,4.668
64.08,2.957,2.126,4.67
64.59,2.967,2.126,4.668
65.51,2.931,1.314,4.668
66.02,2.919,1.327,4.67
66.54,2.971,2.126,4.668
67.83,2.939,1.314,4.67
68.34,2.893,1.314,1.407
68.87,2.967,2.126,4.668
69.43,2.935,1.314,4.672
69.94,2.897,1.343,3.058
70.45,2.962,2.126,4.668
70.96,2.933,1.314,4.672
71.47,2.968,1.314,3.058
71.98,2.983,1.771,4.668
72.49,2.983,1.771,4.672
73.0,2.962,2.126,4.668
73.51,2.901,1.314,4.672
74.02,2.942,1.314,3.058
74.54,2.987,1.771,4.668
75.05,2.962,2.126,4.672
75.56,2.958,2.126,4.668
76.2,2.935,1.314,4.672
76.71,2.893,1.414,2.062
77.3,2.966,1.32,4.668
77.81,2.966,2.126,4.672
78.32,2.971,2.126,4.668
79.19,2.939,1.314,4.672
79.69,2.897,1.398,2.062
80.21,2.987,1.771,4.668
80.72,2.962,2.126,4.668
81.23,2.971,2.126,4.668
82.67,2.939,1.314,4.672
83.18,2.897,1.407,2.062
83.69,2.999,1.771,4.668
84.2,2.974,2.126,4.668
84.72,2.963,2.126,4.668
86.58,2.948,1.314,4.668
87.09,2.935,1.314,4.67
87.6,2.971,2.126,4.668
89.16,2.949,1.314,4.668
89.67,2.931,1.344,4.67
90.18,2.975,2.126,4.668
91.68,2.946,1.314,4.668
92.19,2.926,1.344,4.67
92.7,2.969,2.126,4.668
94.1,2.937,1.314,4.67
94.62,2.951,1.314,1.407
95.14,2.973,2.126,4.668
95.83,2.941,1.314,4.672
96.33,2.895,1.461,2.062
96.85,2.987,1.771,4.668
97.36,2.965,2.126,4.675
97.88,2.971,2.126,4.668
98.77,2.91,1.314,4.672
99.28,2.893,1.314,1.407
99.84,2.953,2.126,4.668
100.35,2.965,1.314,4.67
100.86,2.969,2.126,4.668
101.37,2.892,1.314,4.668
101.88,2.954,1.314,4.67
102.39,2.963,2.126,4.668
103.37,2.901,1.314,4.672
103.88,2.893,1.4,2.062
104.39,2.97,2.126,4.668
104.9,2.97,2.126,4.67
105.41,2.986,1.314,3.058
105.94,2.975,2.126,4.668
106.6,2.935,1.314,4.668
107.11,2.951,1.314,4.67
107.63,2.959,2.126,4.668
108.96,2.947,1.314,4.668
109.47,2.931,1.314,4.67
110.0,2.975,2.126,4.668
111.32,2.951,1.314,4.668
111.83,2.927,1.314,4.67
112.34,2.955,2.126,4.668
113.8,2.897,1.314,4.67
114.31,2.95,1.314,1.407
114.84,2.959,2.159,4.668
115.71,2.935,1.314,4.675
116.22,2.893,1.434,2.062
116.74,2.976,1.771,4.668
117.24,2.96,2.126,4.668
117.75,3.014,1.314,3.058
118.28,2.967,2.126,4.668
119.58,2.935,1.314,4.67
120.09,2.943,1.314,4.67
120.6,2.971,2.126,4.668
122.26,2.939,1.314,4.67
122.77,2.893,1.314,1.407
123.3,2.967,2.126,4.668
124.32,2.935,1.314,4.672
124.83,2.889,1.704,1.911
125.35,2.962,2.126,4.668
125.86,2.893,1.314,4.668
126.37,2.899,1.434,2.062
126.88,2.967,2.126,4.668
127.57,2.949,1.314,4.668
128.08,2.927,1.355,4.67
128.6,2.963,2.126,4.668
129.8,2.939,1.314,4.668
130.31,2.943,1.314,4.67
130.83,2.971,2.126,4.668
132.04,2.935,1.314,4.672
132.55,2.992,1.314,3.058
133.06,2.926,1.314,4.672
133.57,2.934,1.347,4.672
134.09,2.974,2.126,4.668
134.6,2.896,1.314,4.668
135.11,2.951,1.314,4.67
135.62,2.967,2.126,4.668
137.04,2.897,1.314,4.67
137.55,2.914,1.343,3.058
138.06,2.972,2.126,4.668
138.78,2.91,1.314,4.675
139.29,2.959,1.314,1.407
139.81,2.975,2.126,4.668
140.32,2.975,2.126,4.675
140.83,2.983,1.314,3.058
141.34,2.963,2.126,4.668
141.94,2.902,1.314,4.675
142.45,2.889,1.327,1.407
142.97,2.963,2.126,4.668
143.63,2.944,1.314,4.668
144.14,2.927,1.361,4.67
144.65,2.959,2.126,4.668
146.0,2.945,1.314,4.668
146.51,2.927,1.318,4.67
147.03,2.963,2.126,4.668
148.47,2.893,1.314,4.668
148.98,2.951,1.314,4.67
149.52,2.955,2.126,4.668
150.44,2.889,1.314,4.668
150.95,2.942,1.314,4.67
151.47,2.963,2.126,4.668
152.75,2.902,1.314,4.672
153.26,2.893,1.343,3.058
153.78,2.902,1.314,4.668
154.28,2.927,1.326,4.672
154.8,2.967,2.126,4.668
155.3,2.967,2.126,4.668
155.81,2.981,1.314,3.058
156.32,2.959,2.126,4.668
157.32,2.949,1.314,4.668
157.83,2.927,1.334,4.67
158.36,2.968,2.126,4.668
159.71,2.898,1.314,4.672
160.22,2.89,1.327,1.407
160.74,2.899,1.314,1.407
161.25,2.898,1.314,3.058
161.76,2.902,1.314,4.668
162.27,2.906,1.318,4.67
162.78,2.963,2.126,4.668
164.0,2.927,1.314,4.672
164.51,2.906,1.343,3.058
165.02,2.963,2.126,4.668
165.52,2.902,1.314,4.668
166.03,2.948,1.314,4.67
166.55,2.959,2.126,4.668
167.52,2.894,1.314,4.67
168.03,2.955,1.314,4.67
168.6,2.976,2.126,4.668
169.64,2.944,1.314,4.67
170.15,2.939,1.314,3.058
170.66,2.967,1.323,4.668
171.17,2.931,1.354,4.67
171.69,2.996,1.771,4.668
172.19,2.992,1.771,4.67
172.71,2.967,2.126,4.668
173.52,2.905,1.314,4.67
174.03,2.888,1.314,1.407
174.55,2.958,2.126,4.668
175.24,2.939,1.314,4.672
175.75,2.909,1.343,3.058
176.27,2.999,1.771,4.668
176.78,2.999,1.314,4.67
177.29,2.957,1.32,4.668
177.8,2.995,1.771,4.67
178.33,2.966,2.126,4.668
178.84,2.97,2.126,4.67
179.35,3.032,1.314,3.058
179.86,2.962,3.233,4.668
180.37,2.952,2.126,4.67
180.88,2.978,1.314,3.058
181.39,2.926,1.314,4.67
181.9,2.93,1.35,4.67
182.43,2.964,2.126,4.668
183.19,2.902,1.314,4.67
183.7,2.893,1.314,1.407
184.24,2.972,2.126,4.668
184.88,2.971,2.126,4.668
185.39,2.967,2.126,4.668
185.9,2.967,2.126,4.668
186.41,2.926,1.314,3.058
186.92,2.894,1.314,4.67
187.43,2.946,1.314,1.407
187.95,2.954,2.126,4.668
188.46,2.967,2.126,4.67
188.97,2.959,2.126,4.668
189.61,2.945,1.314,4.67
190.12,2.97,1.314,3.058
190.63,2.936,1.314,4.67
191.14,2.944,1.314,4.672
191.65,3.017,1.314,4.668
192.16,2.927,1.358,4.67
192.67,2.988,1.771,4.668
193.18,2.963,1.318,4.672
193.69,2.964,2.126,4.668
194.23,2.967,1.314,4.668
194.74,2.932,1.368,4.668
195.26,2.972,2.126,4.668
196.9,2.94,1.314,4.675
197.41,2.911,1.343,3.058
197.93,2.977,2.126,4.668
198.56,2.936,1.314,4.67
199.07,2.886,1.314,1.407
199.59,2.964,2.176,4.668
200.23,2.901,1.314,4.668
200.74,2.949,1.314,4.67
201.25,2.972,2.126,4.668
202.16,2.946,1.314,4.668
202.67,2.928,1.359,4.67
203.2,2.968,2.126,4.668
204.47,2.95,1.314,4.668
204.97,2.928,1.314,4.67
205.49,2.972,2.126,4.668
206.73,2.946,1.314,4.668
207.25,2.943,1.314,4.67
207.76,2.968,2.126,4.668
209.09,2.898,1.314,4.67
209.6,2.951,1.314,4.67
210.12,2.972,2.126,4.668
210.91,2.94,1.314,4.672
211.42,2.894,1.414,2.062
211.94,2.966,2.126,4.668
212.44,2.971,2.126,4.67
212.95,2.971,2.126,4.668
213.75,2.942,1.314,4.67
214.26,2.951,1.314,4.67
214.77,2.894,1.314,1.407
215.72,2.949,1.314,1.407
216.23,3.014,1.314,1.407
216.74,3.092,1.314,1.407
