cell_id,centroid_x,centroid_y,reddot,blackdot,score
1,318.69,129.03,NaN,NaN,NaN
2,835.32,124.85,NaN,NaN,NaN
3,775.50,245.30,NaN,NaN,NaN
4,850.19,270.28,NaN,NaN,NaN
5,839.67,187.37,NaN,NaN,NaN
6,803.90,353.59,0,0,0.0000
7,78.12,361.06,NaN,NaN,NaN
8,701.12,49.03,0,0,0.0000
9,317.71,194.82,NaN,NaN,NaN
10,263.17,190.00,0,0,0.0000
11,744.84,176.09,2,2,0.0000
12,808.25,296.23,NaN,NaN,NaN
13,118.77,156.81,NaN,NaN,NaN
14,1298.67,884.73,NaN,NaN,NaN
15,1137.11,841.30,NaN,NaN,NaN
16,1194.38,863.51,NaN,NaN,NaN
17,904.82,77.14,0,0,0.0000
18,1625.20,161.63,3,4,0.0000
19,1457.44,821.21,0,0,0.0000
20,938.57,26.86,NaN,NaN,NaN
21,970.61,218.31,0,0,0.0000
22,1328.59,778.70,NaN,NaN,NaN
23,1403.68,876.15,NaN,NaN,NaN
24,909.31,282.54,0,0,0.0000
25,1650.60,206.66,NaN,NaN,NaN
26,1460.98,332.72,NaN,NaN,NaN
27,1377.25,773.38,2,2,0.0000
28,1103.72,883.71,3,3,0.0000
29,908.36,161.72,3,6,2.0000
30,1241.80,821.18,NaN,NaN,NaN
31,1413.28,760.56,NaN,NaN,NaN
32,1928.28,229.91,2,1,0.0000
33,1854.40,283.00,NaN,NaN,NaN
34,1810.10,841.47,NaN,NaN,NaN
35,2158.20,477.89,3,6,2.0000
36,1757.10,191.16,0,0,0.0000
37,2306.60,406.79,NaN,NaN,NaN
38,1905.64,813.09,0,0,0.0000
39,2262.63,439.98,NaN,NaN,NaN
40,2168.02,330.30,0,0,0.0000
41,2325.42,307.64,NaN,NaN,NaN
42,1680.48,318.35,2,3,0.0000
43,1873.02,632.27,0,0,0.0000
44,1935.55,98.65,NaN,NaN,NaN
45,2407.47,294.65,NaN,NaN,NaN
46,2246.78,312.44,0,0,0.0000
47,2079.40,368.65,NaN,NaN,NaN
48,1882.15,31.16,3,8,2.6667
49,1739.42,390.59,0,0,0.0000
50,1853.46,354.70,3,1,0.0000
51,2348.11,477.29,NaN,NaN,NaN
52,2393.50,368.16,NaN,NaN,NaN
53,1997.09,407.72,0,0,0.0000
54,2396.96,419.99,NaN,NaN,NaN
55,1819.28,216.63,2,3,0.0000
56,2007.14,372.99,NaN,NaN,NaN
57,2430.93,121.18,NaN,NaN,NaN
58,2336.49,365.84,NaN,NaN,NaN
59,2114.31,326.75,0,0,0.0000
60,1830.38,414.14,NaN,NaN,NaN
61,1709.90,286.19,NaN,NaN,NaN
62,2023.93,235.91,0,0,0.0000
63,1970.32,344.41,NaN,NaN,NaN
64,1879.05,397.42,NaN,NaN,NaN
65,2300.53,337.03,2,3,0.0000
66,2002.87,298.64,NaN,NaN,NaN
67,1785.78,389.52,2,4,2.0000
68,2208.62,396.14,NaN,NaN,NaN
69,2389.66,484.27,0,0,0.0000
70,2247.03,364.80,2,7,3.5000
71,2354.70,59.11,0,0,0.0000
72,2369.15,430.04,0,0,0.0000
73,2026.83,330.24,NaN,NaN,NaN
74,2375.83,321.51,NaN,NaN,NaN
75,3141.98,483.70,2,2,0.0000
76,3175.76,144.61,0,0,0.0000
77,3032.02,110.82,NaN,NaN,NaN
78,3133.81,231.81,2,3,0.0000
79,2474.01,319.12,NaN,NaN,NaN
80,2540.04,171.05,NaN,NaN,NaN
81,3129.53,366.24,NaN,NaN,NaN
82,3190.96,496.59,0,0,0.0000
83,2441.17,489.96,2,5,2.5000
84,2612.47,56.90,NaN,NaN,NaN
85,3130.89,57.22,2,1,0.0000
86,2469.89,210.01,NaN,NaN,NaN
87,2555.24,96.62,NaN,NaN,NaN
88,3104.21,324.79,0,0,0.0000
89,2543.38,43.13,NaN,NaN,NaN
90,2544.37,336.77,NaN,NaN,NaN
91,3131.03,289.09,0,0,0.0000
92,2521.45,212.48,NaN,NaN,NaN
93,3070.28,64.78,NaN,NaN,NaN
94,3063.24,582.92,NaN,NaN,NaN
95,3099.12,420.74,2,5,2.5000
96,2460.17,427.97,NaN,NaN,NaN
97,2555.06,380.26,NaN,NaN,NaN
98,3074.71,135.92,NaN,NaN,NaN
99,2435.77,378.66,NaN,NaN,NaN
100,2650.54,128.96,0,0,0.0000
101,3042.07,516.50,2,2,0.0000
102,2454.98,83.51,NaN,NaN,NaN
103,3034.88,20.54,0,0,0.0000
104,2941.41,543.66,0,0,0.0000
105,2513.82,490.76,NaN,NaN,NaN
106,2558.03,417.01,NaN,NaN,NaN
107,2486.15,477.91,2,4,2.0000
108,3085.24,544.39,NaN,NaN,NaN
109,2511.53,437.03,NaN,NaN,NaN
110,2486.81,386.38,NaN,NaN,NaN
111,2709.86,143.96,0,0,0.0000
112,2540.18,515.48,NaN,NaN,NaN
113,3042.65,432.10,0,0,0.0000
114,3063.92,380.85,NaN,NaN,NaN
115,2562.75,454.67,0,0,0.0000
116,3877.17,516.00,NaN,NaN,NaN
117,3528.26,227.25,0,0,0.0000
118,3702.28,323.99,NaN,NaN,NaN
119,3216.77,418.05,NaN,NaN,NaN
120,3539.88,157.76,0,0,0.0000
121,3761.75,412.57,0,0,0.0000
122,3330.09,739.13,2,7,3.5000
123,3315.49,682.51,NaN,NaN,NaN
124,3211.00,264.05,0,0,0.0000
125,3254.27,371.71,0,0,0.0000
126,3895.49,453.48,NaN,NaN,NaN
127,3312.44,620.87,NaN,NaN,NaN
128,3604.81,251.65,NaN,NaN,NaN
129,3855.50,600.02,0,0,0.0000
130,3646.58,691.55,0,0,0.0000
131,3453.67,226.11,3,4,0.0000
132,3242.11,106.71,3,2,0.0000
133,3512.33,479.74,0,0,0.0000
134,3240.42,306.51,0,0,0.0000
135,3947.54,639.87,2,4,2.0000
136,3932.27,558.83,NaN,NaN,NaN
137,3906.66,732.83,0,0,0.0000
138,3241.02,532.30,0,0,0.0000
139,3347.05,808.27,NaN,NaN,NaN
140,3272.11,494.37,2,4,2.0000
141,3233.46,499.09,4,5,0.0000
142,3659.77,401.19,NaN,NaN,NaN
143,3929.13,702.44,0,0,0.0000
144,3281.53,631.03,NaN,NaN,NaN
145,3605.29,193.24,0,0,0.0000
146,3668.79,720.63,0,0,0.0000
147,4716.47,892.39,NaN,NaN,NaN
148,4447.72,877.30,2,2,0.0000
149,4586.84,722.31,2,7,3.5000
150,4292.26,775.65,2,3,0.0000
151,4059.85,726.01,4,8,2.0000
152,4619.47,626.53,NaN,NaN,NaN
153,4439.15,794.13,NaN,NaN,NaN
154,4492.39,552.21,NaN,NaN,NaN
155,4485.44,739.01,NaN,NaN,NaN
156,4731.98,754.48,NaN,NaN,NaN
157,4155.14,843.39,0,0,0.0000
158,4322.90,853.93,0,0,0.0000
159,4521.51,862.76,0,0,0.0000
160,4164.24,778.19,NaN,NaN,NaN
161,4053.44,548.50,0,0,0.0000
162,4011.52,809.03,0,0,0.0000
163,4687.80,519.61,2,3,0.0000
164,4389.95,526.39,5,9,0.0000
165,3970.11,729.31,2,1,0.0000
166,4406.21,681.13,2,6,3.0000
167,4397.94,70.88,0,0,0.0000
168,4436.26,656.49,NaN,NaN,NaN
169,4695.25,641.93,NaN,NaN,NaN
170,4005.58,625.27,2,3,0.0000
171,4221.86,781.94,0,0,0.0000
172,4717.99,664.56,NaN,NaN,NaN
173,3973.18,575.50,2,1,0.0000
174,4513.32,488.96,NaN,NaN,NaN
175,4082.67,436.38,0,0,0.0000
176,4052.95,787.98,NaN,NaN,NaN
177,4005.74,446.92,0,0,0.0000
178,4356.26,498.81,0,0,0.0000
179,4257.46,649.33,3,4,0.0000
180,4056.95,604.29,0,0,0.0000
181,4158.94,631.65,0,0,0.0000
182,5267.58,167.30,NaN,NaN,NaN
183,5474.45,453.19,NaN,NaN,NaN
184,5084.30,342.92,3,10,3.3333
185,5449.25,168.51,NaN,NaN,NaN
186,5330.67,712.13,NaN,NaN,NaN
187,4739.37,574.73,NaN,NaN,NaN
188,5215.10,396.16,NaN,NaN,NaN
189,5320.46,826.62,NaN,NaN,NaN
190,5071.24,265.75,NaN,NaN,NaN
191,4944.08,149.45,NaN,NaN,NaN
192,5402.26,792.00,2,4,2.0000
193,4873.36,239.15,0,0,0.0000
194,5410.38,533.64,NaN,NaN,NaN
195,5386.96,868.57,NaN,NaN,NaN
196,5310.28,552.46,NaN,NaN,NaN
197,4963.49,368.80,0,0,0.0000
198,5387.84,422.16,3,7,2.3333
199,5300.11,85.05,3,5,0.0000
200,5288.40,235.11,NaN,NaN,NaN
201,5082.42,181.40,3,9,3.0000
202,5118.96,410.61,6,8,0.0000
203,5372.78,215.41,0,0,0.0000
204,4887.27,791.40,2,3,0.0000
205,5500.54,708.78,0,0,0.0000
206,5397.12,100.72,0,0,0.0000
207,4960.94,230.50,3,8,2.6667
208,5348.71,371.65,2,6,3.0000
209,5152.78,155.42,2,5,2.5000
210,5297.31,290.49,0,0,0.0000
211,5333.60,644.90,NaN,NaN,NaN
212,5463.25,610.46,0,0,0.0000
213,5261.46,457.69,NaN,NaN,NaN
214,4933.54,305.58,NaN,NaN,NaN
215,5174.35,470.49,2,2,0.0000
216,5376.27,35.52,NaN,NaN,NaN
217,5012.44,329.18,NaN,NaN,NaN
218,5278.24,777.84,NaN,NaN,NaN
219,5380.57,281.92,NaN,NaN,NaN
220,5494.93,847.30,NaN,NaN,NaN
221,5261.41,632.22,0,0,0.0000
222,4824.95,861.26,0,0,0.0000
223,4883.79,69.43,0,0,0.0000
224,5105.53,469.92,NaN,NaN,NaN
225,4808.63,706.56,0,0,0.0000
226,5244.39,827.19,NaN,NaN,NaN
227,5146.10,511.51,2,2,0.0000
228,5207.76,141.02,NaN,NaN,NaN
229,5452.84,748.77,2,3,0.0000
230,4785.07,648.70,NaN,NaN,NaN
231,5142.14,230.66,0,0,0.0000
232,4763.70,802.58,NaN,NaN,NaN
233,5113.45,59.23,2,5,2.5000
234,5461.31,71.48,NaN,NaN,NaN
235,4784.33,741.36,NaN,NaN,NaN
236,4816.76,810.31,0,0,0.0000
237,5503.01,570.21,3,7,2.3333
238,5420.97,638.40,NaN,NaN,NaN
239,4757.67,689.51,NaN,NaN,NaN
240,5081.54,88.58,NaN,NaN,NaN
241,4853.69,735.55,0,0,0.0000
242,4832.05,59.50,NaN,NaN,NaN
243,5426.34,13.41,NaN,NaN,NaN
244,5044.80,107.33,0,0,0.0000
245,4802.20,19.47,0,0,0.0000
246,4807.43,626.19,2,3,0.0000
247,5057.07,131.14,0,0,0.0000
248,5218.88,860.29,0,0,0.0000
249,5439.44,256.86,0,0,0.0000
250,4924.80,43.52,0,0,0.0000
251,4840.81,675.34,0,0,0.0000
252,4953.38,465.07,NaN,NaN,NaN
253,5210.12,562.29,NaN,NaN,NaN
