cell_id,centroid_x,centroid_y,reddot,blackdot,score
1,318.69,129.03,NaN,NaN,NaN
2,835.33,124.85,NaN,NaN,NaN
3,775.50,245.32,NaN,NaN,NaN
4,850.18,270.28,NaN,NaN,NaN
5,839.69,187.38,NaN,NaN,NaN
6,803.91,353.60,0,0,0.0000
7,78.12,361.06,NaN,NaN,NaN
8,701.12,49.03,0,0,0.0000
9,317.71,194.82,NaN,NaN,NaN
10,263.18,190.00,0,0,0.0000
11,744.86,176.07,2,2,0.0000
12,808.25,296.23,NaN,NaN,NaN
13,118.77,156.81,NaN,NaN,NaN
14,1298.67,884.73,NaN,NaN,NaN
15,1137.11,841.30,NaN,NaN,NaN
16,1194.36,863.52,NaN,NaN,NaN
17,904.67,76.93,0,0,0.0000
18,1625.19,161.65,3,4,0.0000
19,1457.44,821.21,0,0,0.0000
20,938.55,26.84,NaN,NaN,NaN
21,970.58,218.31,0,0,0.0000
22,1328.59,778.70,NaN,NaN,NaN
23,1403.65,876.16,NaN,NaN,NaN
24,909.31,282.54,0,0,0.0000
25,1650.60,206.66,NaN,NaN,NaN
26,1460.97,332.73,NaN,NaN,NaN
27,1377.25,773.38,2,2,0.0000
28,1103.72,883.71,3,3,0.0000
29,907.87,161.46,3,6,2.0000
30,1241.78,821.18,NaN,NaN,NaN
31,1413.30,760.59,NaN,NaN,NaN
32,1928.29,229.91,2,1,0.0000
33,1854.23,282.96,NaN,NaN,NaN
34,1810.11,841.49,NaN,NaN,NaN
35,2158.20,477.89,3,6,2.0000
36,1757.10,191.16,0,0,0.0000
37,2306.60,406.79,NaN,NaN,NaN
38,1905.64,813.09,0,0,0.0000
39,2262.63,439.98,NaN,NaN,NaN
40,2168.02,330.30,0,0,0.0000
41,2325.42,307.62,NaN,NaN,NaN
42,1680.47,318.37,2,3,0.0000
43,1873.02,632.27,0,0,0.0000
44,1935.55,98.65,NaN,NaN,NaN
45,2407.47,294.65,NaN,NaN,NaN
46,2246.77,312.43,0,0,0.0000
47,2079.40,368.65,NaN,NaN,NaN
48,1882.05,31.07,3,8,2.6667
49,1739.42,390.59,0,0,0.0000
50,1853.46,354.70,3,1,0.0000
51,2348.11,477.29,NaN,NaN,NaN
52,2393.50,368.16,NaN,NaN,NaN
53,1997.09,407.72,0,0,0.0000
54,2396.96,419.99,NaN,NaN,NaN
55,1819.25,216.64,2,3,0.0000
56,2007.14,372.99,NaN,NaN,NaN
57,2430.91,121.16,NaN,NaN,NaN
58,2336.49,365.84,NaN,NaN,NaN
59,2114.31,326.75,0,0,0.0000
60,1830.38,414.12,NaN,NaN,NaN
61,1709.92,286.19,NaN,NaN,NaN
62,2023.93,235.91,0,0,0.0000
63,1970.32,344.41,NaN,NaN,NaN
64,1879.05,397.42,NaN,NaN,NaN
65,2300.53,337.03,2,3,0.0000
66,2002.87,298.64,NaN,NaN,NaN
67,1785.76,389.53,2,4,2.0000
68,2208.62,396.14,NaN,NaN,NaN
69,2389.66,484.27,0,0,0.0000
70,2247.03,364.80,2,7,3.5000
71,2354.70,59.11,0,0,0.0000
72,2369.15,430.04,0,0,0.0000
73,2026.83,330.24,NaN,NaN,NaN
74,2375.83,321.51,NaN,NaN,NaN
75,3141.97,483.70,2,2,0.0000
76,3175.76,144.61,0,0,0.0000
77,3032.02,110.82,NaN,NaN,NaN
78,3133.81,231.80,2,3,0.0000
79,2474.01,319.12,NaN,NaN,NaN
80,2540.04,171.05,NaN,NaN,NaN
81,3129.53,366.22,NaN,NaN,NaN
82,3190.96,496.59,0,0,0.0000
83,2441.17,489.96,2,5,2.5000
84,2612.47,56.90,NaN,NaN,NaN
85,3130.89,57.22,2,1,0.0000
86,2469.89,210.00,NaN,NaN,NaN
87,2555.24,96.62,NaN,NaN,NaN
88,3104.20,324.80,0,0,0.0000
89,2543.39,43.12,NaN,NaN,NaN
90,2544.36,336.77,NaN,NaN,NaN
91,3131.03,289.09,0,0,0.0000
92,2521.45,212.48,NaN,NaN,NaN
93,3070.28,64.78,NaN,NaN,NaN
94,3063.24,582.92,NaN,NaN,NaN
95,2460.17,427.97,NaN,NaN,NaN
96,3099.08,420.75,2,5,2.5000
97,2555.06,380.26,NaN,NaN,NaN
98,3074.71,135.92,NaN,NaN,NaN
99,2435.77,378.66,NaN,NaN,NaN
100,2650.54,128.96,0,0,0.0000
101,3042.07,516.50,2,2,0.0000
102,2454.98,83.51,NaN,NaN,NaN
103,3034.88,20.54,0,0,0.0000
104,2941.41,543.66,0,0,0.0000
105,2513.82,490.76,NaN,NaN,NaN
106,2558.03,417.01,NaN,NaN,NaN
107,2486.15,477.91,2,4,2.0000
108,3085.24,544.39,NaN,NaN,NaN
109,2511.53,437.03,NaN,NaN,NaN
110,2486.81,386.38,NaN,NaN,NaN
111,2709.86,143.96,0,0,0.0000
112,2540.18,515.48,NaN,NaN,NaN
113,3042.56,432.06,0,0,0.0000
114,3063.93,380.88,NaN,NaN,NaN
115,2562.75,454.67,0,0,0.0000
116,3877.18,516.00,NaN,NaN,NaN
117,3528.24,227.25,0,0,0.0000
118,3702.28,323.99,NaN,NaN,NaN
119,3216.77,418.04,NaN,NaN,NaN
120,3539.88,157.76,0,0,0.0000
121,3761.76,412.57,0,0,0.0000
122,3330.09,739.13,2,7,3.5000
123,3315.49,682.50,NaN,NaN,NaN
124,3211.06,264.06,0,0,0.0000
125,3254.28,371.73,0,0,0.0000
126,3895.51,453.49,NaN,NaN,NaN
127,3312.44,620.87,NaN,NaN,NaN
128,3604.84,251.65,NaN,NaN,NaN
129,3855.50,600.02,0,0,0.0000
130,3646.58,691.55,0,0,0.0000
131,3453.66,226.09,3,4,0.0000
132,3242.11,106.73,3,2,0.0000
133,3240.40,306.48,0,0,0.0000
134,3512.37,479.74,0,0,0.0000
135,3947.55,639.85,2,4,2.0000
136,3932.27,558.83,NaN,NaN,NaN
137,3906.67,732.81,0,0,0.0000
138,3746.29,270.29,0,0,0.0000
139,3241.02,532.30,0,0,0.0000
140,3347.05,808.27,NaN,NaN,NaN
141,3272.11,494.40,2,4,2.0000
142,3233.50,499.09,4,5,0.0000
143,3659.79,401.16,NaN,NaN,NaN
144,3929.14,702.49,0,0,0.0000
145,3281.53,631.03,NaN,NaN,NaN
146,3605.33,193.23,0,0,0.0000
147,3668.76,720.64,0,0,0.0000
148,4716.47,892.39,NaN,NaN,NaN
149,4447.72,877.30,2,2,0.0000
150,4586.85,722.32,2,7,3.5000
151,4292.26,775.65,2,3,0.0000
152,4059.85,726.01,4,8,2.0000
153,4619.47,626.53,NaN,NaN,NaN
154,4439.15,794.13,NaN,NaN,NaN
155,4492.39,552.20,NaN,NaN,NaN
156,4485.44,739.01,NaN,NaN,NaN
157,4731.98,754.48,NaN,NaN,NaN
158,4155.14,843.39,0,0,0.0000
159,4322.90,853.93,0,0,0.0000
160,4521.51,862.76,0,0,0.0000
161,4164.24,778.19,NaN,NaN,NaN
162,4053.44,548.50,0,0,0.0000
163,4011.52,809.03,0,0,0.0000
164,4687.80,519.61,2,3,0.0000
165,4389.95,526.39,5,9,0.0000
166,3970.11,729.31,2,1,0.0000
167,4406.21,681.13,2,6,3.0000
168,4397.94,70.88,0,0,0.0000
169,4436.26,656.49,NaN,NaN,NaN
170,4005.58,625.27,2,3,0.0000
171,4695.26,641.91,NaN,NaN,NaN
172,4221.86,781.94,0,0,0.0000
173,4717.99,664.57,NaN,NaN,NaN
174,3973.18,575.50,2,1,0.0000
175,4513.32,488.96,NaN,NaN,NaN
176,4082.67,436.38,0,0,0.0000
177,4052.95,787.98,NaN,NaN,NaN
178,4005.74,446.92,0,0,0.0000
179,4356.26,498.81,0,0,0.0000
180,4257.46,649.33,3,4,0.0000
181,4056.95,604.29,0,0,0.0000
182,4158.94,631.65,0,0,0.0000
183,5267.58,167.30,NaN,NaN,NaN
184,5474.44,453.20,NaN,NaN,NaN
185,5084.30,342.93,3,10,3.3333
186,5449.25,168.51,NaN,NaN,NaN
