cell_id,centroid_x,centroid_y,reddot,blackdot,score
1,891.37,629.70,NaN,NaN,NaN
2,776.82,498.36,NaN,NaN,NaN
3,831.61,385.18,NaN,NaN,NaN
4,809.35,252.66,NaN,NaN,NaN
5,487.96,120.74,0,0,0.0000
6,744.69,142.90,NaN,NaN,NaN
7,68.76,613.05,4,1,0.0000
8,669.18,174.77,NaN,NaN,NaN
9,729.03,257.97,0,0,0.0000
10,828.35,52.06,NaN,NaN,NaN
11,853.54,105.92,2,4,2.0000
12,38.19,884.92,2,4,2.0000
13,734.53,642.67,NaN,NaN,NaN
14,365.57,865.49,NaN,NaN,NaN
15,121.41,802.86,0,0,0.0000
16,588.10,248.39,NaN,NaN,NaN
17,654.05,29.54,2,2,0.0000
18,188.77,825.21,NaN,NaN,NaN
19,726.92,567.90,3,2,0.0000
20,96.32,887.21,0,0,0.0000
21,290.01,29.05,0,0,0.0000
22,784.35,158.73,NaN,NaN,NaN
23,632.61,81.19,0,0,0.0000
24,457.21,839.49,0,0,0.0000
25,841.49,180.89,NaN,NaN,NaN
26,140.28,759.65,0,0,0.0000
27,317.10,814.49,2,4,2.0000
28,725.42,429.45,NaN,NaN,NaN
29,146.19,880.64,0,0,0.0000
30,764.52,356.61,NaN,NaN,NaN
31,548.00,114.59,3,4,0.0000
32,389.59,769.07,0,0,0.0000
33,105.43,708.54,0,0,0.0000
34,430.82,29.20,0,0,0.0000
35,679.17,381.55,0,0,0.0000
36,811.89,106.83,0,0,0.0000
37,735.02,376.90,0,0,0.0000
38,129.36,845.88,0,0,0.0000
39,603.80,45.64,2,2,0.0000
40,700.05,112.86,NaN,NaN,NaN
41,44.82,811.33,0,0,0.0000
42,345.84,742.94,NaN,NaN,NaN
43,779.28,597.51,3,3,0.0000
44,24.18,847.86,0,0,0.0000
45,598.55,128.00,NaN,NaN,NaN
46,80.91,832.96,0,0,0.0000
47,85.72,761.02,0,0,0.0000
48,467.09,157.39,0,0,0.0000
49,582.92,197.15,NaN,NaN,NaN
50,391.30,731.00,NaN,NaN,NaN
51,772.15,306.27,0,0,0.0000
52,683.99,252.53,NaN,NaN,NaN
53,1294.52,324.07,2,4,2.0000
54,1337.72,586.38,0,0,0.0000
55,1597.06,113.77,2,4,2.0000
56,1493.07,265.24,2,3,0.0000
57,1449.25,442.69,0,0,0.0000
58,1180.14,101.37,0,0,0.0000
59,1319.05,108.16,NaN,NaN,NaN
60,1404.62,312.67,0,0,0.0000
61,1650.31,529.62,4,4,0.0000
62,1614.89,315.37,2,7,3.5000
63,911.06,115.77,NaN,NaN,NaN
64,1064.33,129.71,4,6,0.0000
65,917.06,261.71,NaN,NaN,NaN
66,1042.18,649.47,2,3,0.0000
67,1213.92,170.02,NaN,NaN,NaN
68,1033.54,449.38,NaN,NaN,NaN
69,1327.69,850.32,NaN,NaN,NaN
70,1053.04,514.72,NaN,NaN,NaN
71,1495.09,117.52,NaN,NaN,NaN
72,1655.93,733.03,NaN,NaN,NaN
73,1204.06,671.54,2,5,2.5000
74,903.10,417.33,NaN,NaN,NaN
75,1255.58,36.88,NaN,NaN,NaN
76,1431.50,792.62,NaN,NaN,NaN
77,1398.22,662.88,0,0,0.0000
78,1202.26,727.45,NaN,NaN,NaN
79,976.64,110.57,NaN,NaN,NaN
80,1172.79,528.56,NaN,NaN,NaN
81,1120.78,169.86,NaN,NaN,NaN
82,1053.28,270.48,NaN,NaN,NaN
83,1527.75,523.94,NaN,NaN,NaN
84,1630.67,460.34,0,0,0.0000
85,1292.07,516.81,NaN,NaN,NaN
86,984.75,560.14,2,7,3.5000
87,998.78,35.55,2,6,3.0000
88,1142.24,361.34,NaN,NaN,NaN
89,1593.88,658.07,3,5,0.0000
